Turn;Planet_count_KI_1_SP_SCYLIOR;Research_KI_1_SP_SCYLIOR;Industry_KI_1_SP_SCYLIOR;Ships_KI_1_SP_SCYLIOR;Population_KI_1_SP_SCYLIOR;Planet_count_KI_6_SP_EAXAW;Research_KI_6_SP_EAXAW;Industry_KI_6_SP_EAXAW;Ships_KI_6_SP_EAXAW;Population_KI_6_SP_EAXAW;
1;1;11.8999996185;8.625;4;17.25;1;6.0;12.0;4;20.0;
2;1;11.8999996185;8.625;5;17.25;1;7.0;11.0;5;20.0;
3;1;11.8999996185;8.625;5;17.25;1;8.0;10.0;5;20.0;
4;1;11.8999996185;8.625;5;17.25;1;9.0;10.0;5;20.0;
5;1;12.8999996185;8.625;5;17.25;1;9.0;10.0;5;20.0;
6;1;13.8999996185;8.625;4;17.25;1;10.0;10.0;5;20.0;
7;1;14.8999996185;8.625;4;17.5949993134;2;11.0;10.1999998093;4;21.0;
8;2;16.156999588;8.79749965668;3;18.8861961365;2;11.3000001907;10.0;4;21.3999996185;
9;2;16.3317184448;8.94309806824;3;19.7067136765;2;11.4200000763;10.1999998093;4;21.7264003754;
10;2;16.8240280151;9.3333568573;3;20.416779995;2;11.5179204941;10.3632001877;4;21.9903717041;
11;2;18.8240280151;9.6677980423;3;21.0226662159;2;11.597111702;10.4951858521;4;23.0719120502;
12;2;20.8240280151;9.94955635071;3;21.5340260267;2;11.9215736389;11.0209560394;4;23.9749414921;
13;2;21.9002914429;10.1834592819;3;21.9622858763;2;13.9215736389;11.4571752548;5;24.7131726742;
14;2;22.9271316528;10.3752222061;2;22.3193571568;2;15.9215736389;11.8107032776;5;25.3067810535;
15;2;23.9546756744;10.5308046341;3;22.5548160076;2;16.94962883;12.0916318893;5;25.7784451246;
16;2;24.9829177856;10.625;3;22.6030313969;2;17.9593238831;12.3113050461;5;26.1504684687;
17;2;26.0118465424;10.625;3;22.6523760557;2;18.9691867828;12.4808797836;5;26.2221269608;
18;2;27.0414524078;10.625;3;22.7028282881;2;19.9792118073;12.5;5;26.2560760975;
19;2;27.6216964722;10.625;3;22.7543625832;2;20.989397049;12.5;5;26.2905418873;
20;2;27.6526184082;10.625;3;22.8069496155;2;21.8871631622;12.5;6;26.3255085945;
21;2;27.6841697693;10.625;4;22.8605561256;2;21.8976516724;12.5;6;26.3609591722;
22;2;27.7163333893;10.625;3;22.9151450396;2;21.9082870483;12.5;6;26.3968753815;
23;2;27.74908638;10.625;3;22.97067523;2;21.9190635681;12.5;6;26.4332377911;
24;2;27.7824058533;10.625;4;23.0271017551;2;21.9299716949;12.5;5;26.4700255394;
25;2;27.8162612915;10.625;4;23.0843759775;2;21.9410076141;12.5;5;26.5072168112;
26;2;27.8506259918;10.625;4;23.1424454451;2;21.9521656036;12.5;5;26.5447884798;
27;2;27.8854675293;10.625;4;23.2012542486;2;21.9634361267;12.5;7;26.5827163458;
28;2;27.920753479;10.625;4;23.2607431412;3;21.5;13.2913579941;6;26.6209751368;
29;2;27.956445694;10.625;4;23.3208494186;3;21.9862918854;12.5;6;26.6595385075;
30;2;27.9925098419;10.625;5;23.3815076351;3;19.9978618622;13.5;6;26.6983793974;
31;2;28.0289039612;10.625;5;23.4426498413;3;19.009513855;14.5;7;26.7374696732;
32;2;28.0655899048;10.625;5;23.5042052269;4;17.9691162109;15.5;6;35.2767804861;
33;2;28.1025238037;10.625;5;23.5661010742;4;17.5;17.31731987;6;35.6562824249;
34;2;28.1396598816;12.625;5;23.6282629967;4;17.5;18.3354892731;6;36.0194884539;
35;2;28.1769580841;14.625;5;23.6906147003;4;17.5;19.3537349701;6;36.365018487;
36;2;28.2143688202;16.625;5;23.7530794144;4;18.0;20.3720397949;5;36.6918970346;
37;2;28.2518482208;18.625;6;23.8155794144;4;19.0;21.3903884888;5;36.9995415211;
38;2;28.2893486023;20.625;8;23.878036499;4;20.0;22.4087696075;5;37.287733078;
39;2;28.3268222809;20.625;8;23.940372467;4;20.6224689484;23.4271678925;5;37.5565781593;
40;2;28.3642234802;20.625;9;24.0025100708;4;20.7254486084;24.4455661774;5;37.8064625263;
41;3;28.401506424;20.625;8;24.0643725395;4;21.8199119568;22.4639511108;6;38.0379986763;
42;3;28.4386234283;20.625;9;24.1258842945;4;20.9061431885;23.4823093414;6;38.2519791126;
43;3;28.4755306244;20.625;9;24.186971426;4;20.9845180511;24.5006256104;7;38.4493257999;
44;3;28.5121822357;20.625;9;24.2475619316;4;22.0554618835;24.5006256104;7;38.6310498714;
45;3;28.548538208;20.625;9;24.3075861931;4;23.7281608582;25.5006256104;7;38.793856144;
46;3;28.5845527649;20.625;9;24.3669772148;4;24.1749992371;26.5006256104;8;38.8329925537;
47;3;28.6201858521;20.625;9;24.4256706238;4;25.8049087524;27.3500003815;8;38.8718836308;
48;3;28.6554031372;20.625;9;25.4836053848;4;26.1749992371;27.3500003815;8;38.9105007648;
49;3;29.6901626587;21.625;9;25.5407235622;4;27.8258361816;26.3500003815;8;38.9488155842;
50;3;30.7244338989;22.625;10;25.596971035;4;27.9249992371;27.3500003815;8;38.9868011475;
51;3;30.7581825256;23.625;10;25.6522974968;4;27.9249992371;27.4939289093;8;39.0244314671;
52;3;30.7913780212;24.625;11;25.7066559792;6;28.9249992371;28.5112400055;6;40.0616812706;
53;3;30.8239936829;25.625;11;25.7600040436;6;29.9249992371;28.3500003815;6;40.2685264349;
54;3;30.8560028076;26.3250007629;12;25.8123030663;6;30.977602005;29.3500003815;6;40.501855135;
55;3;30.8873825073;26.3250007629;11;25.8635182381;6;30.3350715637;31.3500003815;6;40.7651832104;
56;3;30.9181098938;26.3250007629;11;26.8398656845;6;31.1244258881;31.3500003815;6;41.0622338057;
57;4;31.4859199524;26.7444381714;10;27.6715590954;6;30.4817466736;32.3499984741;6;41.3968508244;
58;4;31.9665794373;27.0913848877;12;28.3753941059;6;30.5716285706;32.6110534668;6;42.772872448;
59;4;32.370174408;27.3744697571;13;28.9701631069;6;32.4235839844;32.3499984741;6;43.223954916;
60;4;32.707988739;27.603302002;13;29.4744070768;6;33.5488891602;33.3499984741;7;43.7239382267;
61;4;32.9911422729;27.7873802185;13;29.6984730959;6;32.9210014343;35.3499984741;8;44.2753772736;
62;4;33.1058578491;27.8320960999;13;29.8780183792;7;33.8437957764;35.3499984741;7;44.8798174858;
63;4;33.1935348511;27.8554878235;13;30.0560257435;7;34.0146331787;36.3499984741;7;45.5374459028;
64;4;33.2799720764;27.8792533875;14;31.2320926189;7;34.2012710571;36.9279174805;7;46.2467485666;
65;5;34.3649330139;28.9033794403;13;31.355840385;7;33.6009750366;37.944355011;7;47.0140814781;
66;5;35.4482002258;29.9278564453;14;31.4819191694;7;33.8090209961;38.3470077515;7;49.2174756527;
67;5;36.0725784302;30.952671051;15;31.6095098853;7;34.433971405;38.8805923462;7;51.2533164024;
68;5;36.12758255;31.9778137207;16;31.7378774881;7;35.8546981812;37.8713111877;7;54.1434714794;
69;5;34.1057128906;34.0032653809;16;31.8663657308;7;36.5502548218;40.1790847778;7;55.9069161415;
70;5;33.0860290527;35.0290184021;17;31.9943947792;8;39.011680603;42.911655426;5;58.7833784819;
71;5;32.8594360352;36.0550537109;18;32.1214565635;8;41.442199707;43.5171432495;6;60.5469859838;
72;6;32.8434906006;37.0813522339;17;32.2471109629;9;42.2623291016;45.5258865356;5;62.2644300461;
73;6;32.4000015259;39.1079025269;17;32.3709812164;9;39.4785041809;49.5395278931;5;63.9161251783;
74;6;32.4000015259;41.1346817017;18;32.4927493334;9;38.8985710144;52.1489677429;5;65.4867086411;
75;6;32.4000015259;43.1616783142;18;32.61215204;9;38.2836761475;53.9242172241;5;66.96611166;
76;6;32.4000015259;45.1888656616;19;32.7289751768;9;37.6309051514;55.0449180603;5;68.3498955965;
77;6;32.4000015259;47.2162284851;19;32.8430503011;9;36.9390792847;56.1746520996;6;70.6200969219;
78;6;32.4000015259;48.5572929382;19;32.9542491436;9;37.2002105713;58.315246582;6;72.7118206024;
79;6;32.4000015259;49.5785865784;20;33.0624793768;9;38.8110580444;61.4765815735;7;73.8307842016;
80;6;32.4000015259;50.6006317139;20;33.1676814556;9;37.8110580444;65.6448059082;8;74.9020638466;
81;6;32.4000015259;51.6233406067;20;33.2690144181;10;36.8110580444;69.8199386597;7;75.9348579645;
82;6;32.4000015259;52.0216331482;20;33.3006344438;10;35.8110580444;74.001914978;8;76.9383243322;
83;8;32.4000015259;52.0454330444;15;62.3331236839;10;32.8110580444;78.7685012817;9;77.8271683455;
84;8;34.4000015259;54.0696792603;15;63.6713672876;10;31.2999992371;82.7425308228;9;78.6142591238;
85;8;36.4000015259;56.0942993164;16;64.8712427616;10;31.2999992371;83.0251312256;11;79.4057370424;
86;8;38.4000015259;58.1192398071;17;65.9330547452;10;29.2999992371;86.3072662354;13;80.2078206539;
87;8;40.4000015259;60.1444396973;17;66.8619179726;11;28.2999992371;89.5921478271;12;81.0354685783;
88;8;42.4000015259;62.1698455811;18;67.6664817333;11;30.2999992371;84.1920318604;12;82.8863114119;
89;8;44.4000015259;62.1954193115;18;68.357655704;12;30.0;87.3522796631;11;83.8176183701;
90;8;45.4000015259;62.7791786194;16;68.947491765;12;30.0;92.5036392212;13;84.7692921162;
91;8;44.0113983154;64.8120803833;16;69.4482948184;13;31.0;97.7875366211;13;85.7380491495;
92;8;43.1508712769;66.8450469971;17;69.6480510235;13;33.0;99.0955963135;13;86.7203570604;
93;9;43.2000045776;65.8780136108;20;69.6840513945;13;33.0;101.257545471;15;87.7124929428;
94;9;41.2000045776;67.9109344482;19;69.7200111747;14;34.7872009277;104.678100586;14;88.7106089592;
95;9;40.2000045776;69.9437713623;20;69.7558771968;14;37.299041748;107.58114624;14;89.7108000517;
96;9;40.2000045776;68.9764709473;20;69.7915999293;14;39.4116592407;110.58114624;15;90.7091718912;
97;9;38.2000007629;71.0090026855;22;69.8271328807;14;41.053768158;114.58114624;15;91.7019115686;
98;11;37.2000007629;73.0413284302;15;84.8624329567;14;42.1390838623;119.067344666;15;92.6853479147;
99;11;37.2000007629;75.4234085083;15;86.7041352391;14;43.2218589783;123.146835327;13;93.6560099125;
100;11;37.2000007629;78.0160675049;16;88.467569232;14;44.3017082214;127.512458801;14;94.6106715202;
