Turn;Planet_count_KI_1_SP_SCYLIOR;Research_KI_1_SP_SCYLIOR;Industry_KI_1_SP_SCYLIOR;Ships_KI_1_SP_SCYLIOR;Population_KI_1_SP_SCYLIOR;Planet_count_KI_6_SP_EAXAW;Research_KI_6_SP_EAXAW;Industry_KI_6_SP_EAXAW;Ships_KI_6_SP_EAXAW;Population_KI_6_SP_EAXAW;
1;1;11.8999996185;8.625;4;17.25;1;6.0;12.0;4;20.0;
2;1;11.8999996185;8.625;4;17.25;1;7.0;11.0;5;20.0;
3;1;11.8999996185;8.625;4;17.25;1;8.0;10.0;5;20.0;
4;1;11.8999996185;8.625;5;17.25;1;9.0;10.0;5;20.0;
5;1;12.8999996185;8.625;5;17.25;1;9.0;10.0;5;20.0;
6;1;13.8999996185;8.625;5;17.25;1;10.0;10.0;5;20.0;
7;1;14.8999996185;8.625;5;17.5949993134;1;11.0;10.0;5;20.0;
8;1;15.5569992065;8.79749965668;5;17.8861961365;1;11.0;10.0;4;20.3999996185;
9;2;16.3317184448;8.94309806824;4;19.6667137146;1;11.1199998856;10.1999998093;4;20.7264003754;
10;2;16.8000278473;9.3333568573;4;20.365596056;1;11.2179203033;10.3632001877;4;20.9903717041;
11;2;18.8000278473;9.6677980423;4;20.9597036839;1;11.2971115112;10.4951858521;4;22.0419120789;
12;2;20.8000278473;9.94955635071;4;21.4586846828;1;11.6125736237;11.0209560394;5;22.9143505096;
13;2;21.8550872803;10.1834592819;4;21.8739616871;1;13.2971115112;11.4571752548;5;23.6214065552;
14;2;22.1243782043;10.3752222061;4;22.2174443007;1;14.2971115112;11.8107032776;5;24.1832637787;
15;2;22.3304672241;10.5308046341;4;22.4387089014;1;15.2971115112;12.0916318893;5;24.6226100922;
16;2;22.4632263184;10.625;4;22.4721269608;1;16.2971115112;12.3113050461;5;24.9617595673;
17;2;22.4832763672;10.625;4;22.5060760975;1;17.2971115112;12.4808797836;5;25.0;
18;2;22.5036449432;10.625;4;22.5405418873;1;18.2971115112;12.5;5;25.0;
19;2;22.5243244171;10.625;4;22.5755085945;1;19.2971115112;12.5;6;25.0;
20;2;22.5453052521;10.625;4;22.6109591722;1;19.5;12.5;6;25.0;
21;2;24.566576004;10.625;5;22.6468753815;1;19.5;12.5;6;25.0;
22;2;25.5881252289;10.625;5;22.6832377911;1;19.5;12.5;6;25.0;
23;2;26.6099433899;10.625;5;22.7200255394;1;19.5;12.5;6;25.0;
