Turn;Planet_count_KI_1_SP_SCYLIOR;Research_KI_1_SP_SCYLIOR;Industry_KI_1_SP_SCYLIOR;Ships_KI_1_SP_SCYLIOR;Population_KI_1_SP_SCYLIOR;Planet_count_KI_6_SP_EAXAW;Research_KI_6_SP_EAXAW;Industry_KI_6_SP_EAXAW;Ships_KI_6_SP_EAXAW;Population_KI_6_SP_EAXAW;
1;1;11.8999996185;8.625;4;17.25;1;6.0;12.0;4;20.0;
2;1;11.8999996185;8.625;5;17.25;1;7.0;11.0;5;20.0;
3;1;11.8999996185;8.625;5;17.25;1;8.0;10.0;5;20.0;
4;1;11.8999996185;8.625;6;17.25;2;9.0;10.1999998093;4;21.0;
5;1;12.8999996185;8.625;6;17.25;2;9.0;10.0;4;21.0399999619;
6;2;14.5;8.625;4;18.25;2;10.0;10.0;4;22.0811839104;
7;2;15.5;8.625;4;18.7174992561;2;11.0;10.5;4;22.9635536671;
8;2;16.2304992676;8.79749965668;4;19.1448272467;2;11.5520000458;10.9200000763;4;23.9268877506;
9;2;16.4868965149;8.94309806824;4;20.114030838;2;11.8245639801;11.3742723465;4;24.7233617306;
10;2;17.0684185028;9.3333568573;3;20.9971549511;2;12.0464611053;11.7441015244;3;25.3721904755;
11;2;19.0684185028;9.6677980423;3;21.8030670881;2;12.2234535217;12.0390892029;3;26.9107141495;
12;2;21.0684185028;9.94955635071;3;22.5440151691;2;12.6512136459;12.7520227432;3;28.1782441139;
13;2;22.5062847137;10.1834592819;3;23.2339217663;2;14.6512136459;13.3253479004;4;29.2002773285;
14;2;22.9403533936;10.3752222061;3;23.88697505;2;16.6512145996;13.771654129;4;30.0151735544;
15;2;23.3321857452;10.5308046341;3;24.4546608925;2;17.6512145996;14.1099815369;4;30.6647918224;
16;2;23.6727962494;10.625;3;24.8727197647;2;18.6512145996;14.3611440659;4;31.0990209579;
17;2;23.9236316681;10.625;3;25.3301706314;2;19.6512145996;14.5;4;31.2648642063;
18;2;24.198102951;10.625;3;25.8267202377;2;20.6512145996;14.5;5;31.4400544167;
19;2;24.4960327148;10.625;3;26.3609733582;2;21.6512145996;14.5;5;31.6245212555;
20;2;24.8165836334;10.625;3;26.9302859306;2;22.6512145996;14.5;5;31.8180923462;
21;2;27.1581726074;10.625;4;27.5306758881;2;22.7000007629;14.5;5;32.0204851627;
22;2;28.5184059143;10.625;4;28.1568169594;2;22.7000007629;14.5;6;32.231300354;
23;2;29.8940906525;10.625;4;28.8021335602;3;22.7000007629;14.5;5;32.4500174522;
24;2;31.2812805176;10.625;4;29.4590082169;3;22.7000007629;14.5;5;32.6759929657;
25;2;31.6754055023;10.625;4;30.119093895;3;22.7000007629;14.5;5;32.9084630013;
26;2;32.0714569092;10.625;4;30.7737131119;3;23.7000007629;14.5;4;33.1465482712;
27;2;32.464225769;10.625;3;31.414305687;3;23.9439659119;14.5;4;32.9892649651;
28;3;32.8485832214;10.625;2;32.0328741074;3;23.896780014;14.3000001907;4;32.8755345345;
29;3;33.2197265625;10.625;2;32.622387886;3;23.8626594543;14.1199998856;5;32.8002066612;
30;3;31.2197246552;11.625;2;33.1770887375;3;21.9372615814;15.1199998856;5;32.7584733963;
31;3;30.2197246552;12.625;3;33.6926860809;3;21.01222229;16.1199989319;5;32.7458539009;
32;4;29.2197246552;13.625;3;34.1664180756;3;20.0871677399;17.1199989319;5;32.7581834793;
33;4;28.2197246552;14.625;4;34.596997261;3;19.1617259979;18.1199989319;5;32.7916078568;
34;4;27.2197246552;15.625;4;34.9844608307;3;18.2355251312;19.1199989319;6;32.8425731659;
35;4;26.75;17.625;4;35.3299570084;4;17.3082103729;20.1199989319;5;32.90782547;
36;4;26.75;19.625;3;35.6354980469;4;16.3794441223;21.1199989319;5;32.9844117165;
37;4;26.75;21.625;3;35.9037160873;4;15.9769096375;22.1199989319;5;33.0696692467;
38;4;26.75;23.625;4;36.1376314163;4;16.0443267822;23.1199989319;5;33.1612234116;
39;4;27.75;22.625;5;36.3404560089;4;16.1094512939;24.1199989319;5;33.256980896;
40;4;28.75;21.625;5;36.5;4;16.1720695496;25.1199989319;5;34.3551192284;
41;4;29.75;20.625;6;36.5;4;16.1720695496;23.6199989319;6;34.5040738583;
42;4;30.75;20.625;5;36.5;4;16.0;24.1199989319;5;35.8573576212;
43;4;31.75;20.625;5;36.5;4;16.3431930542;25.1199989319;5;36.9630419016;
44;4;32.75;20.625;6;36.5;4;17.0;26.742641449;5;37.861199975;
45;4;33.75;20.625;6;36.5;4;17.0;26.742641449;5;37.7389563322;
46;4;34.75;20.625;5;36.5;4;19.0;27.742641449;6;37.6426458359;
47;5;35.75;20.625;5;36.5;4;19.0;28.742641449;7;37.5691001415;
48;5;33.75;21.625;5;36.5;4;20.0;29.742641449;7;37.515545845;
49;5;32.75;22.625;6;36.5;4;22.4854259491;30.1199989319;8;37.4795591831;
50;6;31.75;23.625;5;36.5;4;24.506696701;29.1199989319;7;37.4590212107;
51;6;30.75;24.625;6;36.5;4;26.2014465332;28.3937664032;5;37.4452480078;
52;6;29.75;25.625;6;36.5;4;27.2335739136;28.3043899536;6;37.3608326912;
53;6;28.75;26.625;6;36.5;4;27.2082481384;28.2239513397;6;37.2942248583;
54;6;27.75;27.625;5;37.8687496185;4;27.1882686615;28.151556015;6;37.2437343597;
55;6;27.2281265259;28.9343757629;6;39.0226593018;4;26.5518417358;29.0863990784;6;37.207821846;
56;6;27.6187667847;29.5113296509;6;39.9819107056;4;27.1623458862;28.027759552;6;37.1850831509;
57;6;27.9322776794;29.9909553528;6;42.7703399658;4;27.1555252075;27.9749832153;5;37.1742353439;
58;6;30.1802082062;32.3851699829;5;43.4925670624;4;26.456489563;28.9274845123;5;38.1741044521;
59;6;33.3739547729;32.5466270447;7;43.8878679276;4;28.1522331238;28.8847351074;6;38.2036116123;
60;6;34.4000015259;33.5683288574;7;44.1985192299;4;29.1550827026;29.8462619781;7;38.2419655323;
61;6;35.4000015259;34.5683288574;7;44.3342149258;4;29.1605319977;30.8116359711;8;38.2882484198;
62;7;33.4000015259;37.5683288574;8;44.4236829281;4;26.3682823181;33.7804718018;9;38.341611743;
63;7;32.4000015259;38.5683288574;8;44.5154957771;4;27.3514556885;34.13022995;7;38.4012744427;
64;7;32.4000015259;40.8260803223;8;44.6096320152;4;29.1898117065;33.2781295776;6;38.4665125608;
65;7;32.4000015259;41.8731460571;8;44.7060627937;4;27.2031097412;34.2658691406;6;38.5366537571;
66;7;32.4000015259;43.8972549438;9;44.8047521114;5;24.8493690491;36.2559623718;5;60.3610754013;
67;7;32.4000015259;45.9219245911;10;44.9056565762;5;27.6804065704;34.2481765747;5;61.5266988277;
68;7;32.4000015259;47.9471511841;11;46.0087251663;5;26.8394317627;37.2588653564;5;62.5015040636;
69;7;33.4000015259;50.9729194641;11;46.0888992548;5;27.2694320679;39.4118423462;5;65.0271219015;
70;7;34.4000015259;53.9992141724;11;46.1736122966;5;27.2694320679;38.8478240967;6;67.1183497906;
71;7;34.9715003967;55.6105575562;12;46.262540102;5;26.8314857483;39.176361084;6;68.8364192247;
72;7;34.9593505859;56.665145874;13;46.3553754687;5;26.8394317627;39.1246986389;7;70.246363163;
73;7;33.4000015259;55.8603363037;13;46.451826036;5;26.8394317627;40.0879402161;6;71.1824370623;
74;7;33.9385757446;56.7770996094;14;46.551612258;5;27.1526641846;42.0643081665;7;71.661303401;
75;7;34.9297180176;57.8343772888;15;46.6544651389;5;28.207195282;44.0753898621;7;72.1192549467;
76;8;34.9217453003;57.8924446106;13;56.760125339;5;29.0;44.0865135193;9;72.556142807;
77;8;35.4000015259;57.9756278992;15;57.3683414459;5;28.1000003815;47.0976676941;11;72.9720555544;
78;9;36.908115387;60.0053710938;16;57.9513683319;5;28.1000003815;49.4442062378;11;73.3672670126;
79;9;36.4000015259;61.0354232788;17;58.5058852434;5;28.1000003815;51.5470352173;12;73.7421958447;
80;9;36.4000015259;64.0657501221;16;59.0295975208;5;28.1000003815;53.6486358643;11;74.097365737;
81;9;36.4000015259;66.1926498413;16;59.5212044716;5;29.1000003815;52.7486763;13;74.3507725;
82;9;36.4000015259;68.2542037964;16;59.9803124666;5;28.1000003815;54.846824646;11;74.5574264526;
83;9;37.4000015259;68.3161010742;15;60.4073086977;5;28.1000003815;56.9427871704;10;74.7587492466;
84;9;38.4000015259;68.7789993286;16;60.8032138944;5;29.1000003815;55.5562973022;10;74.9542359114;
85;10;39.4000015259;68.8387756348;15;61.1695301533;5;29.1000003815;54.6471176147;11;75.1434570551;
86;10;37.4000015259;69.6473846436;15;61.5080952048;6;30.1000003815;54.7350540161;9;90.3260608912;
87;10;36.4000015259;73.3471755981;13;61.8209474683;6;30.1000003815;54.8199539185;10;91.5517733097;
88;10;36.4000015259;76.2278900146;14;62.1102195978;6;30.1000003815;57.9016723633;10;92.6753731966;
89;10;36.4000015259;78.3127975464;14;62.2823749185;6;32.0999984741;57.9801368713;13;93.6861871481;
90;10;36.4000015259;80.3976669312;14;62.4033643603;6;33.0999984741;57.2698364258;13;94.5805014372;
91;10;36.4000015259;82.4823608398;15;63.5239259601;6;33.0999984741;59.2676124573;14;95.3606023788;
92;10;37.4000015259;85.5667572021;15;63.5688844919;6;34.0999984741;61.2727355957;14;96.0333049297;
93;10;39.4000015259;85.6507110596;17;63.6205713153;6;34.5461845398;62.0589408875;13;96.608358264;
94;10;38.4000015259;88.734161377;17;63.6780750751;6;34.6457443237;62.0765571594;14;97.096984148;
95;10;38.4000015259;91.8169326782;18;63.7405668497;6;34.7274169922;62.0989189148;16;97.5107274055;
96;10;39.4000015259;91.8989486694;17;63.8072924018;6;34.793762207;62.1249847412;16;97.7619274855;
97;10;38.4000015259;93.9800949097;16;64.0045936108;6;34.8250007629;62.163646698;18;97.8503289223;
98;10;39.4000015259;91.5626602173;15;64.4506813288;6;34.8250007629;62.205165863;16;97.8716015816;
99;10;39.4000015259;91.2785873413;15;64.9087163806;6;34.8250007629;62.2158050537;17;97.8927206993;
100;10;38.4000015259;94.9314346313;16;65.3775644898;6;34.8250007629;62.2263641357;17;97.9136784077;
