Turn;Planet_count_KI_1_SP_SCYLIOR;Research_KI_1_SP_SCYLIOR;Industry_KI_1_SP_SCYLIOR;Ships_KI_1_SP_SCYLIOR;Population_KI_1_SP_SCYLIOR;Planet_count_KI_6_SP_EAXAW;Research_KI_6_SP_EAXAW;Industry_KI_6_SP_EAXAW;Ships_KI_6_SP_EAXAW;Population_KI_6_SP_EAXAW;
83;4;30.4000015259;34.7573814392;11;33.2905442715;5;16.5;35.0;12;36.864818573;
84;4;31.4000015259;35.7645111084;12;33.3054997921;5;16.0;36.0;12;37.0705862045;
85;4;30.4000015259;34.7719917297;12;33.3210597038;5;16.0;37.0;12;39.2731118202;
86;4;30.4000015259;34.7797698975;12;33.3371442556;5;18.0;40.0;12;39.5621008873;
87;4;31.4000015259;35.7878112793;13;33.3536809087;5;20.0;43.0;13;41.5349936485;
88;4;30.4000015259;34.796081543;12;33.3706036806;5;20.0;46.0;13;43.1710807085;
89;4;30.4000015259;34.8045425415;12;33.3878526092;5;20.0;49.0;14;44.5256302357;
90;4;31.4000015259;35.813167572;13;33.4053729177;5;20.0;52.0;16;45.6587319374;
91;4;30.4000015259;34.8219299316;12;33.4231148958;6;20.0;53.665145874;14;46.4538674355;
92;4;30.4000015259;34.8307991028;8;33.4410331845;6;20.0;54.7028579712;14;47.0301876068;
93;4;31.4000015259;35.8397598267;8;33.4590863585;6;20.0;55.7421760559;15;47.6012405157;
94;4;30.4000015259;34.8487854004;9;33.4772368073;6;20.0;56.7831115723;15;48.1652450562;
95;4;30.4000015259;34.8578605652;9;33.4954500794;6;21.0;54.8256645203;15;48.7205609083;
96;4;31.4000015259;35.8669662476;9;33.5136947632;6;20.0;55.8698272705;15;49.2657055855;
97;4;30.4000015259;34.8760910034;10;33.5161526799;6;20.0;56.9155807495;15;49.799369812;
98;4;30.4000015259;34.8773193359;10;33.514537394;6;21.0;54.9629058838;15;50.3204298019;
99;4;31.4000015259;35.8765106201;10;33.5130836368;6;20.0;56.0117683411;15;51.827944994;
100;4;30.4000015259;35.4283981323;10;33.5117752552;6;21.0;58.0621185303;15;52.3511644602;
