Turn;Planet_count_KI_1_SP_ABADDONI;Research_KI_1_SP_ABADDONI;Industry_KI_1_SP_ABADDONI;Ships_KI_1_SP_ABADDONI;Population_KI_1_SP_ABADDONI;Planet_count_KI_6_SP_FULVER;Research_KI_6_SP_FULVER;Industry_KI_6_SP_FULVER;Ships_KI_6_SP_FULVER;Population_KI_6_SP_FULVER;
69;9;32.2000007629;60.0815429688;10;65.9345322847;5;24.356464386;37.5;13;58.6156587601;
70;9;33.2000007629;63.4600372314;11;66.2976846695;5;24.4072723389;38.5;13;58.8177556992;
71;9;33.2000007629;66.5873565674;11;66.6228992939;5;24.4527454376;39.5;14;58.997756958;
72;9;33.2000007629;69.7169647217;12;66.9555290937;5;24.4932441711;40.5;14;59.1573896408;
73;9;33.2000007629;72.848739624;16;67.2953470945;5;24.5291633606;41.5;14;59.25;
74;8;28.4955120087;68.8196487427;17;53.6420875788;6;24.5499992371;42.5;10;73.25;
75;8;30.1622982025;70.4104614258;17;53.9954448938;6;25.5499992371;44.5;10;75.4368753433;
76;9;31.1951389313;73.4104614258;17;54.3550730944;6;26.8627510071;47.0;11;77.2174263;
77;9;32.2281227112;76.4104614258;19;54.7205860615;7;27.1168842316;49.3899993896;10;88.6450452805;
78;9;32.6888275146;80.4104614258;19;55.0915573835;7;29.3205318451;52.6872596741;9;90.2771959305;
79;9;34.294342041;80.6694641113;19;55.4675217867;7;31.4822921753;55.9097442627;8;91.4931898117;
80;9;32.0;81.7837982178;18;55.8479759693;7;33.5769195557;58.0;6;92.1876411438;
81;10;30.6321792603;83.5191421509;15;70.2323805094;6;29.6239738464;54.5999984741;7;78.7781486511;
82;11;30.0;87.6665267944;12;83.443852663;5;25.6647529602;50.5999984741;7;67.0;
83;11;33.0;90.3100814819;14;84.269964695;5;25.6749992371;50.5999984741;9;67.0;
84;11;33.0;95.505355835;14;85.362326622;5;25.6749992371;50.5999984741;10;67.0;
85;11;34.0;100.727226257;14;86.4151066542;5;25.6749992371;50.5999984741;10;67.0;
86;11;36.0;102.951171875;14;87.4296462536;5;25.6749992371;50.5999984741;10;67.0;
87;11;36.0;107.178993225;14;88.4046784639;6;25.6749992371;50.5999984741;10;77.0;
88;11;36.2070960999;109.410308838;15;89.3403273821;6;24.6749992371;53.5999984741;10;77.5;
89;11;37.295173645;108.644699097;16;91.2377934456;6;24.6749992371;56.5999984741;10;77.9724998474;
90;11;37.3727645874;111.88168335;18;92.1290260553;6;25.2999992371;59.5999984741;11;78.4144172668;
91;11;38.4405555725;115.12071991;19;92.9870054722;6;26.2999992371;62.5999984741;12;78.8236904144;
92;11;40.4993438721;112.361221313;21;93.8142896891;6;24.2999992371;65.5999984741;13;79.1992473602;
93;11;38.5499916077;115.60256958;21;94.6134060621;6;25.2999992371;66.5999984741;13;79.5409183502;
94;11;38.5933799744;118.844078064;22;95.2517126799;7;24.2999992371;67.5999984741;12;79.8493099213;
95;11;40.5999984741;116.085037231;23;95.8616827726;7;24.2999992371;68.5999984741;12;80.125658989;
96;11;39.4964141846;121.225418091;22;96.4466149807;7;24.2999992371;69.5999984741;13;80.3716783524;
97;11;39.5;123.770179749;23;97.0146958828;7;25.2999992371;70.5999984741;13;80.5894126892;
98;11;39.5;127.07157135;24;97.5802514553;7;26.2999992371;73.5999984741;13;80.7811031342;
99;11;39.5760421753;129.317092896;25;98.1416835785;7;27.2999992371;75.5999984741;13;80.9490804672;
100;11;39.5922622681;132.502029419;27;98.6974383593;7;29.2999992371;74.5999984741;14;81.0;
