Turn;Planet_count_KI_1_SP_ABADDONI;Research_KI_1_SP_ABADDONI;Industry_KI_1_SP_ABADDONI;Ships_KI_1_SP_ABADDONI;Population_KI_1_SP_ABADDONI;Planet_count_KI_6_SP_FULVER;Research_KI_6_SP_FULVER;Industry_KI_6_SP_FULVER;Ships_KI_6_SP_FULVER;Population_KI_6_SP_FULVER;
92;6;26.0;39.5;18;75.0;4;21.3999996185;32.7593994141;8;47.5412938595;
93;6;27.0;40.5;18;75.1499999762;4;21.3999996185;33.7706451416;8;48.5637768507;
94;6;27.0;41.5;18;75.320775032;4;22.3999996185;35.7818908691;9;48.6262360811;
95;6;28.0;44.5;18;75.5146545172;4;23.3999996185;37.7931175232;9;48.6898456812;
96;6;29.0;44.5;19;75.7340574265;4;23.3999996185;39.8043289185;9;48.754597187;
97;6;30.0;46.5;19;75.9814370871;4;23.3999996185;41.8155212402;10;48.820479393;
98;6;30.0;48.5;20;76.2592060566;4;23.3999996185;43.8266868591;11;48.8874781132;
99;6;30.0;48.5;20;76.5696389675;4;23.3999996185;44.8378181458;10;48.9555760622;
100;6;30.0;49.5;21;76.9147508144;4;23.3999996185;45.8489151001;9;49.0247528553;
101;6;30.0;52.5;21;77.296153307;4;23.3999996185;46.8599700928;9;49.0949845314;
102;6;30.0;55.5;20;77.7148916721;4;23.3999996185;47.8709754944;10;49.1662437916;
103;6;30.0;52.5;21;78.1712703705;4;24.3999996185;45.8819351196;10;49.2384997606;
104;6;30.0;53.5;21;78.6646785736;4;23.3999996185;46.8928375244;11;49.3117179871;
105;6;31.0;52.5;20;79.1934347153;4;23.3999996185;47.903678894;10;49.3858603239;
106;6;30.0;54.5;21;79.7546668053;4;24.3999996185;45.9144554138;10;49.4608850479;
107;6;30.0;56.5;23;80.3442516327;4;23.3999996185;46.925163269;10;49.5367466211;
108;6;31.0;52.5;23;80.9568367004;4;23.3999996185;47.935798645;11;49.6133959293;
109;6;30.0;52.5;23;81.5859546661;4;24.3999996185;45.9463615417;12;49.6907801628;
110;6;30.0;53.5;25;82.224240303;4;23.3999996185;46.9568405151;12;49.7688430548;
111;6;29.0;52.5;25;82.8637371063;4;23.3999996185;47.9672317505;12;49.8475248814;
