Turn;Planet_count_KI_1_SP_ABADDONI;Research_KI_1_SP_ABADDONI;Industry_KI_1_SP_ABADDONI;Ships_KI_1_SP_ABADDONI;Population_KI_1_SP_ABADDONI;Planet_count_KI_6_SP_FULVER;Research_KI_6_SP_FULVER;Industry_KI_6_SP_FULVER;Ships_KI_6_SP_FULVER;Population_KI_6_SP_FULVER;
1;1;6.0;12.0;4;20.0;1;6.0;12.0;4;20.0;
2;2;7.0;11.1999998093;3;21.0;1;7.0;11.0;5;20.0;
3;2;8.14999961853;10.0;3;22.0800000429;1;8.0;10.0;6;20.0;
4;2;8.31199932098;10.5;3;23.0055361986;1;8.0;10.0;6;20.0;
5;2;8.45083045959;10.9200000763;3;23.7869932652;1;8.0;10.0;6;20.0;
6;2;9.55879116058;11.2650718689;3;24.4407743216;1;9.0;10.0;6;20.0;
7;2;10.4991750717;11.543302536;3;24.9860498905;1;9.5;10.0;6;20.0;
8;2;10.6218605042;11.7641716003;3;25.6921106577;1;9.5;10.0;6;20.3999996185;
9;2;10.7807245255;12.0549411774;3;26.2810046673;1;9.59000015259;10.1999998093;6;20.7264003754;
10;2;10.9132261276;12.2827939987;3;26.7754909992;1;9.66343975067;10.3632001877;6;20.9903717041;
11;2;11.0244855881;12.4589796066;4;27.0087807178;1;9.72283363342;10.4951858521;6;22.0419120789;
12;2;13.9452018738;12.5;4;27.1693067551;1;9.95943069458;11.0209560394;6;22.9143505096;
13;2;15.9452018738;12.5;4;27.3391785622;1;10.1557292938;11.4571752548;6;23.6214065552;
14;2;17.053571701;12.5;4;27.518378973;1;10.3148164749;11.8107032776;6;24.1832637787;
15;2;18.0938930511;12.5;4;27.7067945004;1;11.3148164749;12.0916318893;6;24.6226100922;
16;2;19.1362838745;12.5;4;27.9042065144;1;12.3148164749;12.3113050461;6;24.9617595673;
17;2;20.1807022095;12.5;4;28.1102828979;1;12.6163959503;12.4808797836;6;25.0;
18;2;20.3248138428;12.5;4;28.3245725632;1;14.3148164749;12.5;6;25.0;
19;2;19.625;13.4973716736;4;28.5465018749;1;15.3148164749;12.5;6;25.0;
20;2;19.625;13.5639505386;6;28.7753753662;1;16.3148155212;12.5;6;25.0;
21;2;19.625;13.6326122284;6;29.0103783607;1;17.3148155212;12.5;8;25.0;
22;2;19.625;13.7031135559;7;29.2505850792;1;17.625;12.5;8;25.0;
23;2;20.5813827515;12.5;7;29.4949688911;1;17.625;12.5;8;25.0;
24;2;19.625;13.5;8;29.7424182892;1;17.625;12.5;9;25.0;
25;2;17.625;14.9227256775;9;29.9917550087;1;17.625;12.5;9;25.0;
26;2;16.625;15.9975261688;9;30.2417545319;1;17.625;12.5;9;25.0;
27;2;16.625;15.5;9;30.4911699295;1;17.625;12.5;9;25.0;
28;2;15.8605136871;16.5;9;30.7387576103;1;17.625;12.5;9;25.0;
29;2;15.291220665;17.5;9;30.983300209;2;17.625;12.5;7;27.4373626709;
30;2;15.3462429047;18.5;9;31.223631382;2;18.625;12.5;8;27.5729444027;
31;3;15.4003171921;19.5;7;44.2086586952;2;19.625;12.5;8;27.7125794888;
32;3;15.0;21.5;7;45.0748815536;2;20.2353305817;12.5;8;27.8560049534;
33;3;16.0;23.5;7;45.8804392815;2;20.2676010132;12.5;8;28.0029177666;
34;3;17.0;25.5;7;46.6219100952;2;20.3006572723;12.5;8;28.1529760361;
35;3;18.0;27.0612354279;7;47.2981739044;2;20.3344192505;12.5;8;28.30580163;
36;3;19.0;28.1637115479;8;47.9100790024;2;20.3688049316;12.5;8;28.4609825611;
37;3;21.0;26.2616271973;8;48.4600276947;2;20.4037208557;12.5;8;28.6180772781;
38;3;21.0;27.3547916412;8;48.9515476227;2;20.4390678406;12.5;7;28.7766187191;
39;3;22.0;26.3547916412;8;49.3888874054;2;20.4747390747;12.5;7;28.9361197948;
40;3;24.0;25.3547916412;9;49.7766752243;2;20.5106277466;12.5;7;29.0960788727;
41;3;23.4551544189;27.3547916412;10;50.1066465378;2;20.5466175079;12.5;8;29.2559866905;
42;3;23.5375003815;28.6783237457;10;50.2439756393;2;20.5825977325;12.5;8;29.4153313637;
43;3;24.5375003815;26.7469882965;11;50.3718967438;2;20.6184501648;12.5;8;29.5736064911;
44;3;23.5375003815;27.8109474182;12;50.4907150269;2;20.6540622711;12.5;8;29.7303161621;
45;3;23.5375003815;30.8109474182;12;50.6007852554;2;18.6893215179;13.5;8;29.8849825859;
46;3;23.5375003815;33.8109474182;12;50.7024993896;2;17.7241210938;14.5;9;30.0371508598;
47;3;23.5375003815;36.8109474182;13;50.75;2;16.7583580017;15.5;10;30.1863942146;
48;3;23.5375003815;39.8109474182;13;50.75;2;15.7919387817;16.5;11;30.3323187828;
49;3;23.5375003815;39.8109474182;16;50.75;2;16.8247718811;18.5;11;30.4745678902;
50;3;23.5375003815;39.8109474182;16;50.75;2;17.8567771912;19.5;10;30.61282444;
51;3;24.5375003815;38.8109474182;16;50.75;2;18.8878860474;20.5;10;30.7468123436;
52;3;23.5375003815;38.5;16;50.75;2;19.9180335999;21.5;10;30.8762989044;
53;3;23.5375003815;39.5;17;50.75;2;20.9471664429;22.5;11;31.0010938644;
54;3;24.5375003815;37.5;18;50.75;2;20.9752464294;22.5;11;31.121049881;
55;3;23.5375003815;39.5;20;50.75;2;21.0022354126;22.5;12;31.236061573;
56;3;23.5375003815;41.5;20;50.75;3;21.0281143188;22.5;11;31.3460617065;
57;3;24.5375003815;40.5;20;50.75;3;21.0528640747;22.5;11;31.4510216713;
58;3;23.5375003815;39.5;21;50.75;3;21.0764808655;22.5;11;31.5509467125;
59;3;23.5375003815;39.5;22;50.75;3;21.0989627838;22.5;12;31.6458735466;
60;3;24.5375003815;37.5;22;50.75;3;21.1203212738;22.5;12;31.7358670235;
61;3;23.5375003815;38.5;23;50.75;3;21.1405696869;22.5;10;31.8210172653;
62;3;23.5375003815;39.5;23;50.75;3;21.1597290039;22.5;11;31.9014358521;
63;3;24.5375003815;37.5;24;50.75;3;21.177822113;22.5;11;31.9772524834;
64;3;23.5375003815;38.5;25;50.75;3;21.1948814392;22.5;11;32.0;
65;3;23.5375003815;39.5;23;50.75;3;21.2000007629;22.5;9;33.0;
66;3;24.5375003815;37.5;23;50.75;3;22.2000007629;23.5;8;33.0399999619;
67;4;23.5375003815;39.5;23;50.75;3;23.2000007629;24.5;8;33.0811839104;
68;4;23.5375003815;41.5;23;50.75;3;23.2000007629;25.5;9;33.1235535145;
69;4;24.5375003815;40.5;23;50.75;3;23.4528007507;26.5;9;33.1671074629;
70;4;23.5375003815;42.5;23;52.3068752289;3;23.462600708;27.5;10;33.211841464;
71;4;23.7070941925;44.0900001526;24;53.574760437;3;23.2000007629;28.1059207916;11;33.2577478886;
72;4;23.8514575958;45.173538208;24;54.5946207047;4;23.4829940796;27.5;10;33.3048160076;
73;4;24.9733371735;43.2507858276;22;55.4090204239;4;23.2000007629;28.1524085999;10;33.3530313969;
74;4;26.0755138397;42.321975708;22;55.7747268677;4;23.5044326782;27.5;10;33.4023760557;
75;4;24.1000003815;41.321975708;23;55.8944940567;4;23.2000007629;28.2011871338;11;33.4528282881;
76;4;25.1000003815;40.321975708;21;56.0;4;23.5268878937;27.5;11;33.5043625832;
77;4;26.1000003815;40.5;19;56.0;4;23.538482666;27.5;11;34.5870368481;
78;4;26.3500003815;41.5;18;56.0;4;23.4249992371;28.7935180664;11;35.4529432058;
79;4;24.3500003815;42.5;19;56.0;4;23.6005020142;29.2264709473;11;36.1365785599;
80;4;25.1000003815;40.5;19;56.0;4;24.1307315826;28.6872596741;11;36.6738414764;
81;4;24.1000003815;42.5;17;56.0;4;23.8343849182;29.8369216919;11;37.9497753382;
82;5;24.1000003815;42.5;14;56.0;4;25.3136997223;30.0;12;38.108243227;
83;5;25.1000003815;40.5;14;56.0;4;26.335855484;31.0;12;38.2726311684;
84;5;24.1000003815;41.5;14;56.0;4;26.6113414764;32.0;12;38.4428941011;
85;5;24.1000003815;42.5;14;56.0;4;26.3821353912;33.0;12;38.6189582348;
86;5;25.1000003815;41.5;14;56.0;4;23.875;36.0;12;38.8007196188;
87;5;24.1000003815;43.5;17;56.0;4;22.875;37.9003601074;12;38.9880429506;
88;5;24.1000003815;45.5;17;56.0;4;21.875;38.9940223694;12;39.1807613373;
89;5;25.1000003815;44.5;17;56.0;4;20.875;40.0903816223;12;39.3786753416;
90;5;24.1000003815;46.5;17;56.0;4;19.875;41.1893386841;14;39.5815532207;
91;5;24.1000003815;45.5;17;56.0;4;19.5750007629;42.2907791138;14;39.7891310453;
92;5;25.1000003815;42.5;17;56.0;4;19.5750007629;43.3945655823;14;40.0011130571;
93;5;24.1000003815;44.5;18;56.0;4;19.5750007629;44.5005569458;15;40.2171735764;
94;5;22.1000003815;44.5;17;56.0;4;19.5750007629;45.6085853577;13;40.4369575977;
95;5;22.1000003815;42.5;18;56.0;4;19.5750007629;46.7184791565;10;40.6600830555;
96;5;20.1000003815;44.5;17;56.0;4;19.5750007629;47.8300437927;11;40.8861427307;
97;5;19.1000003815;46.5;18;56.0;4;19.5750007629;48.943069458;9;41.1147072315;
98;5;21.1000003815;43.5;19;56.0;4;19.5750007629;50.0573539734;10;41.3453271389;
99;5;18.1000003815;44.5;19;56.0;4;20.5750007629;48.1726646423;11;41.5775370598;
100;5;17.1000003815;46.5;18;56.0;4;19.5750007629;49.2887687683;11;41.8108575344;
101;6;17.1000003815;45.5;17;56.0;4;19.5750007629;50.4054298401;11;42.0448000431;
102;7;16.0;47.5;11;76.0;4;20.5750007629;48.5223999023;12;42.2788701057;
103;7;17.0;50.5;11;78.7999992371;4;19.5750007629;49.6394348145;14;42.5125713348;
104;7;21.0;49.5;11;80.5196002722;4;19.5750007629;50.7562866211;14;42.7454082966;
105;7;21.0;54.5;11;82.0061769485;4;20.5750007629;48.8727035522;14;42.9768919945;
106;7;22.0;59.5;13;83.2651332617;4;19.5750007629;49.988445282;15;43.2065415382;
107;7;25.0;58.5;13;85.3213033676;4;19.5750007629;51.1032714844;17;43.4338896275;
108;7;25.0;63.5;14;86.2301682234;4;20.5750007629;49.2169418335;17;43.6584849358;
109;7;28.0;66.4907226562;16;87.0104272366;4;19.5750007629;50.3292427063;17;43.8798961639;
110;7;30.0;66.6296081543;18;87.6302207708;4;19.5750007629;51.4399452209;18;44.0977137089;
