Turn;Planet_count_KI_1_SP_EGASSEM;Research_KI_1_SP_EGASSEM;Industry_KI_1_SP_EGASSEM;Ships_KI_1_SP_EGASSEM;Population_KI_1_SP_EGASSEM;Planet_count_KI_6_SP_EAXAW;Research_KI_6_SP_EAXAW;Industry_KI_6_SP_EAXAW;Ships_KI_6_SP_EAXAW;Population_KI_6_SP_EAXAW;
1;1;6.0;13.3000001907;4;17.0;1;6.0;12.0;4;20.0;
2;1;7.0;12.3000001907;5;17.0;1;7.0;11.0;5;20.0;
3;1;7.55000019073;11.3000001907;4;17.0;1;8.0;10.0;5;20.0;
4;1;7.55000019073;10.3000001907;4;17.0;1;9.0;10.0;5;20.0;
5;1;7.55000019073;9.30000019073;3;17.0;1;9.0;10.0;5;20.0;
6;1;8.55000019073;8.5;3;17.0;1;10.0;10.0;5;20.0;
7;1;8.82499980927;8.5;3;17.0;2;11.0;10.1999998093;4;21.0;
8;1;8.82499980927;8.5;3;17.0;2;11.3000001907;10.0;4;21.3999996185;
9;1;8.82499980927;8.5;3;17.3400001526;2;11.4200000763;10.1999998093;4;21.7264003754;
10;1;8.9015007019;8.67000007629;3;17.6278438568;2;11.5179204941;10.3632001877;4;21.9903717041;
11;1;8.96626472473;8.81392192841;3;17.869726181;2;11.597111702;10.4951858521;4;23.0719120502;
12;1;9.02068901062;8.93486309052;3;18.786491394;2;11.9215736389;11.0209560394;4;23.9749414921;
13;1;9.22696018219;9.39324569702;4;19.5780620575;2;13.9215736389;11.4571752548;5;24.7131726742;
14;1;11.0206890106;9.78903102875;4;20.2480106354;2;15.9215736389;11.8107032776;5;25.3067810535;
15;1;12.0206890106;10.1240053177;4;20.8052330017;2;16.94962883;12.0916318893;5;25.7784451246;
16;1;13.0206890106;10.4026165009;4;21.2618598938;2;17.9593238831;12.3113050461;5;26.1504684687;
17;1;14.0206890106;10.6309299469;4;21.6314201355;2;18.9691867828;12.4808797836;5;26.2221269608;
18;1;15.0206890106;10.8157100677;4;21.9274635315;2;19.9792118073;12.5;4;26.2560760975;
19;1;16.0206890106;10.9637317657;4;22.0;2;20.989397049;12.5;4;26.2905418873;
20;1;16.9500007629;11.0;4;22.0;2;21.8871631622;12.5;5;26.3255085945;
21;1;16.9500007629;11.0;4;22.0;2;21.8976516724;12.5;5;26.3609591722;
22;1;16.9500007629;11.0;5;22.0;2;21.9082870483;12.5;5;26.3968753815;
23;1;16.9500007629;11.0;6;22.0;2;21.9190635681;12.5;5;26.4332377911;
24;1;16.9500007629;11.0;6;22.0;2;21.9299716949;12.5;5;26.4700255394;
25;1;14.9500007629;12.0;6;22.0;2;21.9410076141;12.5;6;26.5072168112;
26;1;13.9500007629;13.0;6;22.0;3;21.9521656036;12.5;5;26.5447884798;
27;2;14.9500007629;11.0;5;31.3613920212;3;21.9634361267;12.5;5;26.5827163458;
28;2;16.9500007629;12.0;7;31.795630455;3;21.5;13.2913579941;5;26.6209751368;
29;2;18.9500007629;13.0;7;32.2074747086;3;21.9862918854;12.5;5;26.6595385075;
30;2;18.9500007629;14.0;7;32.5945959091;3;19.9978618622;13.5;5;26.6983793974;
31;2;18.9500007629;15.0;7;32.9553842545;3;19.009513855;14.5;5;26.7374696732;
32;3;18.9500007629;15.382153511;6;33.288933754;3;18.0212402344;15.5;5;26.7767804861;
33;3;16.9500007629;17.3821525574;8;33.5949840546;3;17.033033371;16.5;5;26.8162822723;
34;3;15.9500007629;19.3821525574;8;33.8738451004;3;16.044883728;17.5;5;26.8559447527;
35;3;14.9500007629;21.3821525574;9;34.1263017654;3;15.0567836761;18.5;5;26.8957372904;
36;3;14.0;23.3821525574;10;34.3535118103;3;14.5687217712;19.5;5;26.9356285334;
37;3;14.0;24.6474590302;10;34.5569105148;3;14.5806884766;20.5;6;26.9755871296;
38;3;14.0;25.7898368835;10;34.7381181717;3;14.5926761627;21.5;6;27.015581131;
39;3;14.0;26.916683197;10;34.8988580704;3;14.6046743393;22.5;7;27.0555787086;
40;3;14.0;28.0292015076;10;35.0;3;14.6166734695;23.5;7;27.0955479145;
41;3;14.0;29.0999984741;11;35.0;3;14.6286640167;24.5;7;27.135456562;
42;3;14.0;30.0999984741;13;35.0;3;15.6406364441;22.5;7;27.17527318;
43;3;14.0;31.0999984741;14;35.0;4;15.6525821686;24.0;7;28.2149660587;
44;3;14.0;32.0999984741;14;35.0;5;16.6644897461;24.5;8;28.3645039797;
45;3;14.0;33.0999984741;16;35.0;5;17.6763515472;22.5;8;28.5247352123;
46;3;14.0;34.0999984741;17;35.0;5;16.6881561279;23.5;8;29.9923037291;
47;3;14.0;35.0999984741;17;35.0;5;17.0;23.5;9;31.2078433037;
48;3;14.0;36.0999984741;17;35.0;6;18.6655540466;24.5;6;47.2064421177;
49;3;14.0;37.0999984741;18;35.0;6;20.689081192;26.5;6;48.7798916101;
50;3;14.0;38.0999984741;19;35.0;6;22.7128391266;29.2754020691;6;50.1385846138;
51;3;14.0;39.0999984741;17;35.0;6;24.0;32.4822807312;7;51.0532608032;
52;3;15.0;37.0999984741;18;35.0;6;24.0;33.5;6;51.8696191311;
53;3;14.0;38.0999984741;18;35.0;6;25.0;34.5;6;52.6282508373;
54;3;14.0;39.0999984741;18;35.0;6;25.8299999237;35.5;6;53.3357388973;
55;3;15.0;37.0999984741;19;35.0;6;25.8299999237;36.5;6;53.999276638;
56;3;16.0;37.0999984741;19;35.0;6;25.8299999237;37.5;5;54.6260054111;
57;3;17.0;37.0999984741;20;35.0;6;25.8299999237;38.5;4;55.1288189888;
58;5;18.0;37.0999984741;17;70.0;6;25.8299999237;40.5;3;56.5279178619;
59;5;20.9500007629;39.0999984741;17;71.9500007629;6;27.7602367401;41.5;4;56.969170332;
60;5;22.9500007629;41.0999984741;17;73.6369743347;6;28.7840003967;43.5;5;57.421503067;
61;5;22.9500007629;42.0999984741;17;75.0652484894;6;28.8075332642;45.5;5;57.8829629421;
62;6;23.9500007629;44.0999984741;16;77.2526035309;6;28.8307933807;47.5;5;58.3513402939;
63;6;25.9500007629;46.0999984741;16;78.3974717855;6;28.8537445068;49.5;6;58.8242119551;
64;6;26.9500007629;47.0999984741;16;79.384517312;6;27.8299999237;52.0779190063;6;59.298994422;
65;6;27.9500007629;48.0999984741;17;80.2314316034;6;29.8299999237;50.0943527222;7;59.1964085102;
66;6;28.9500007629;49.0999984741;18;80.7542406321;8;30.7647247314;50.9110641479;7;60.1415374279;
67;6;29.9500007629;49.0999984741;18;81.1779980659;8;30.6442527771;52.1199989319;8;60.2568646669;
68;6;30.6500015259;50.0999984741;19;81.5280458927;8;31.5358276367;51.6032714844;8;61.4492214918;
69;7;30.6500015259;51.0999984741;19;81.9255042076;8;30.7158889771;53.9116401672;9;62.4943708181;
70;7;30.6500015259;52.0999984741;20;82.3738229275;8;30.8541221619;56.1434173584;9;63.1913044453;
71;7;30.6500015259;53.0999984741;19;82.875718832;8;31.8964042664;54.9428710938;9;65.7175502777;
72;7;30.6500015259;54.0999984741;20;83.4328255653;8;31.2421340942;56.6551017761;8;68.8598116636;
73;7;30.6500015259;55.0999984741;21;84.0453166962;8;34.0761032104;58.2575836182;7;70.8406070471;
74;7;30.6500015259;56.0999984741;20;84.711534977;9;35.1902999878;61.59141922;6;71.65835917;
