Turn;Planet_count_KI_1_SP_EGASSEM;Research_KI_1_SP_EGASSEM;Industry_KI_1_SP_EGASSEM;Ships_KI_1_SP_EGASSEM;Population_KI_1_SP_EGASSEM;Planet_count_KI_6_SP_EAXAW;Research_KI_6_SP_EAXAW;Industry_KI_6_SP_EAXAW;Ships_KI_6_SP_EAXAW;Population_KI_6_SP_EAXAW;
89;15;51.7569618225;120.026641846;18;139.335215926;5;20.0;55.0;16;60.4652097225;
90;15;53.3716506958;122.333091736;17;141.243537545;5;20.0;58.0;16;60.1419107914;
91;15;53.6590957642;124.560317993;21;143.212846637;5;21.0;58.0;16;61.8169606924;
92;15;53.7199134827;127.557853699;22;145.236504793;5;20.0;60.0;17;63.1685510874;
93;15;55.7835884094;128.555633545;23;147.306657314;6;20.0;62.0;17;64.1773695946;
94;15;54.8501014709;131.553649902;23;149.413925171;6;21.0;61.0;18;64.7717802525;
95;15;53.9194221497;133.551849365;23;152.547145844;6;20.0;63.0;18;65.3000967503;
96;15;54.9914665222;136.476837158;21;154.693252087;6;21.0;62.0;19;65.7438123226;
97;15;56.0661315918;138.651596069;21;156.837393045;6;21.0;61.0;15;65.9856828451;
98;15;57.1432723999;137.127868652;21;158.96334064;6;20.0;63.0;15;66.1634101868;
99;15;57.2227325439;139.457611084;22;161.054180503;6;21.0;62.0;15;66.261562109;
100;15;59.3043022156;145.193954468;24;163.093216896;7;21.0;61.0;11;86.3597719669;
