Turn;Planet_count_KI_1_SP_EGASSEM;Research_KI_1_SP_EGASSEM;Industry_KI_1_SP_EGASSEM;Ships_KI_1_SP_EGASSEM;Population_KI_1_SP_EGASSEM;Planet_count_KI_6_SP_EAXAW;Research_KI_6_SP_EAXAW;Industry_KI_6_SP_EAXAW;Ships_KI_6_SP_EAXAW;Population_KI_6_SP_EAXAW;
1;1;6.0;13.3000001907;4;17.0;1;6.0;12.0;4;20.0;
2;1;7.0;12.3000001907;5;17.0;1;7.0;11.0;5;20.0;
3;1;7.55000019073;11.3000001907;3;17.0;1;8.0;10.0;5;20.0;
4;1;7.55000019073;10.3000001907;3;17.0;1;9.0;10.0;5;20.0;
5;1;7.55000019073;9.30000019073;3;17.0;1;9.0;10.0;5;20.0;
6;1;8.55000019073;8.5;3;17.0;1;10.0;10.0;5;20.0;
7;1;8.82499980927;8.5;3;17.0;2;11.0;10.3999996185;4;21.0;
8;1;8.82499980927;8.5;3;17.0;2;11.3000001907;10.0;4;21.4999996424;
9;1;8.82499980927;8.5;3;17.3400001526;2;11.4499998093;10.1999998093;4;21.9353003502;
10;1;8.9015007019;8.67000007629;3;17.6278438568;2;11.5805902481;10.3632001877;4;22.3176362514;
11;1;8.96626472473;8.81392192841;3;17.869726181;2;11.6952905655;10.4951858521;4;23.5373773575;
12;1;9.02068901062;8.93486309052;3;18.786491394;2;12.0612134933;11.0209560394;4;24.5968167782;
13;1;9.22696018219;9.39324569702;4;19.5780620575;2;14.0612134933;11.4571752548;5;25.5111111403;
14;1;11.0206890106;9.78903102875;4;20.2480106354;2;16.0612125397;11.8107032776;5;26.3018171787;
15;1;12.0206890106;10.1240053177;4;20.8052330017;2;17.2481403351;12.0916318893;5;26.9928781986;
16;1;13.0206890106;10.4026165009;4;21.2618598938;2;18.3236541748;12.3113050461;5;27.6076834202;
17;1;14.0206890106;10.6309299469;4;21.6314201355;2;19.4063510895;12.4808797836;5;27.9463441372;
18;1;15.0206890106;10.8157100677;4;21.9274635315;2;20.4964771271;12.5;5;28.2720229626;
19;1;16.0206890106;10.9637317657;4;22.0;2;21.5941810608;12.5;5;28.6230447292;
20;1;16.9500007629;11.0;5;22.0;2;22.5869140625;12.5;6;28.9990065098;
21;1;16.9500007629;11.0;5;22.0;2;22.6997013092;12.5;6;29.3989467621;
22;1;16.9500007629;11.0;6;22.0;2;22.819683075;12.5;6;29.8212919235;
23;1;16.9500007629;11.0;7;22.0;2;22.9463882446;12.5;7;30.2638244629;
24;1;16.9500007629;11.0;7;22.0;3;23.0791473389;12.5;6;30.7236814499;
25;1;16.9500007629;11.0;7;22.0;3;23.2171039581;12.5;6;31.19739151;
26;1;16.9500007629;11.0;7;22.0;3;21.5;13.5;6;31.680949688;
27;1;16.9500007629;11.0;8;22.0;3;22.5;12.5;6;32.1699318886;
28;1;16.9500007629;11.0;8;22.0;3;23.5;12.5;6;32.6596431732;
29;1;16.9500007629;11.0;8;22.0;3;23.7978935242;12.5;6;33.1452922821;
30;1;16.9500007629;11.0;8;22.0;3;21.7978935242;13.5;6;33.6221752167;
31;1;16.9500007629;11.0;8;22.0;3;21.5;14.5;6;34.0858602524;
32;1;16.9500007629;11.0;8;22.0;3;21.5;15.5;6;34.5323524475;
33;1;14.9500007629;12.0;8;22.0;3;21.5;16.5;6;34.9582242966;
34;1;13.9500007629;13.0;8;22.0;3;21.5;17.5;6;35.3607130051;
35;1;12.9500007629;14.0;8;22.0;3;21.5;18.5;6;35.7377691269;
36;1;12.0;15.0;8;22.0;3;21.5;19.5;6;36.088060379;
37;1;12.0;16.0;9;22.0;3;22.5;17.5;6;36.4109382629;
38;1;12.0;17.0;9;22.0;3;21.5;18.5;7;36.7063741684;
39;1;12.0;18.0;9;22.0;3;21.5;19.5;7;36.9748744965;
40;1;12.0;19.0;9;22.0;3;21.5;20.5;7;37.2173805237;
41;1;12.0;20.0;9;22.0;3;22.5;18.5;7;38.4351701736;
42;1;12.0;21.0;10;22.0;3;22.5;20.0;8;38.7597597837;
43;1;12.0;22.0;10;22.0;3;24.5;20.0;9;39.0782493353;
44;1;12.0;23.0;11;22.0;3;25.8826293945;22.0;9;39.3938150406;
45;1;12.0;24.0;11;22.0;3;26.9313163757;24.0;9;39.6183350086;
46;1;12.0;25.0;11;22.0;3;27.8854999542;26.0;10;39.8187118769;
47;1;12.0;26.0;12;22.0;4;26.7510528564;27.5;8;55.0402543545;
48;1;12.0;27.0;12;22.0;4;27.2600002289;28.5;8;56.0342636108;
49;1;12.0;28.0;13;22.0;4;28.876750946;29.5;9;56.9712564945;
50;1;12.0;29.0;13;22.0;4;27.9490089417;31.5;9;57.8513143063;
51;1;12.0;30.0;14;22.0;4;28.0278873444;32.7992706299;9;58.6775727272;
52;1;13.0;28.0;15;22.0;4;28.6035518646;33.748374939;10;59.4552733898;
53;1;12.0;29.0;16;22.0;4;29.6960659027;34.7048683167;10;60.1908130646;
54;1;12.0;30.0;17;22.0;4;30.7953643799;35.6680908203;11;60.8908801079;
55;1;13.0;28.0;17;22.0;4;31.4893474579;36.637298584;12;61.5617604256;
56;1;12.0;29.0;16;22.0;5;31.6781578064;37.6117248535;11;62.1151270866;
57;1;12.0;30.0;17;22.0;5;31.8310852051;38.5999984741;12;62.5695996284;
58;1;13.0;28.0;19;22.0;5;32.953792572;36.5999984741;12;63.0391392708;
59;1;12.0;29.0;20;22.0;5;32.0805664062;37.5999984741;12;63.5199065208;
60;1;12.0;30.0;20;22.0;5;32.2103767395;38.5999984741;13;64.007601738;
61;1;12.0;31.0;21;22.0;5;33.3420524597;36.5999984741;13;64.4976010323;
62;1;12.0;32.0;21;22.0;5;30.4500007629;38.5999984741;13;65.9851250648;
63;1;12.0;33.0;22;22.0;5;32.4500007629;39.5999984741;14;66.5054206848;
64;1;12.0;34.0;22;22.0;5;33.4500007629;39.5999984741;14;69.1652382612;
65;1;12.0;35.0;23;22.0;6;34.4094772339;41.0429992676;10;86.4630930424;
66;1;13.0;33.0;24;22.0;6;33.7411499023;44.9954452515;11;89.4880781174;
67;1;12.0;34.0;25;22.0;7;33.8791046143;48.5200233459;11;92.1377483606;
68;1;12.0;35.0;26;22.0;7;32.9770126343;49.4809646606;11;94.2797746658;
69;1;13.0;33.0;26;22.0;7;33.4641876221;49.6637611389;11;95.8255082369;
70;1;12.0;34.0;27;22.0;7;34.4874610901;51.5819854736;12;97.2008193731;
71;1;12.0;35.0;28;22.0;7;31.7617034912;52.5105819702;12;98.3027766943;
72;1;13.0;33.0;27;22.0;7;30.2999992371;57.2604064941;12;99.2305724621;
73;1;12.0;34.0;27;22.0;7;30.2999992371;61.2510681152;12;101.041338325;
74;2;12.0;35.0;26;22.0;7;31.4698867798;63.2509536743;12;101.807855844;
75;2;13.0;33.0;27;22.0;7;30.4698867798;66.2884063721;12;106.428480387;
76;2;12.0;34.0;28;22.0;7;31.0842819214;69.3258361816;13;110.280680776;
77;2;12.0;35.0;27;22.0;7;31.133140564;73.3095474243;14;113.453780413;
78;3;13.0;33.0;27;22.0;7;33.184803009;72.0836715698;14;116.052580714;
79;3;12.0;34.0;27;22.0;7;30.2392559052;74.0655212402;15;118.009524703;
80;3;12.0;35.0;27;22.0;8;29.4698867798;78.0655212402;14;119.241564035;
