Turn;Planet_count_KI_1_SP_SCYLIOR;Research_KI_1_SP_SCYLIOR;Industry_KI_1_SP_SCYLIOR;Ships_KI_1_SP_SCYLIOR;Population_KI_1_SP_SCYLIOR;Planet_count_KI_6_SP_SLY;Research_KI_6_SP_SLY;Industry_KI_6_SP_SLY;Ships_KI_6_SP_SLY;Population_KI_6_SP_SLY;
66;4;29.4000015259;33.0;15;44.4469566345;6;44.5374984741;53.0;23;86.7709121704;
67;4;30.4000015259;32.0;15;44.5979511738;6;45.5374984741;53.0;23;87.373208046;
68;4;31.4000015259;32.0;15;44.7452175617;6;46.5374984741;53.0;24;90.3947515488;
69;4;29.4000015259;33.0;16;44.8885418177;6;47.7070922852;53.8400001526;24;93.0091252327;
70;4;30.4000015259;32.0;16;45.0277463198;6;48.7226791382;54.4629440308;25;95.2890195847;
71;4;31.4000015259;32.0;16;45.1626894474;6;49.2222747803;54.9158058167;25;97.0594706535;
72;4;29.4000015259;33.0;16;45.2932642698;6;49.6198272705;55.0;25;98.2970848083;
73;4;30.4000015259;32.0;17;45.4193987846;6;49.6999969482;55.0;25;100.382711411;
74;4;31.4000015259;32.0;17;45.541051507;6;48.6999969482;57.0;28;101.345074177;
75;4;29.4000015259;33.0;17;45.6582115889;6;48.6999969482;59.0;28;102.304374695;
76;4;30.4000015259;32.0;16;45.7708953619;6;47.6999969482;61.0;28;103.244600177;
77;4;31.4000015259;32.0;16;45.8791437149;6;46.6999969482;65.0;27;104.150877953;
78;4;29.4000015259;33.0;16;45.9830194712;6;45.6999969482;68.0;25;105.010501504;
79;4;30.4000015259;32.0;17;46.0826042891;6;44.6999969482;71.0;25;105.813683391;
80;4;31.4000015259;32.0;17;46.1779968739;6;43.6999969482;74.0;26;106.55394125;
81;4;29.4000015259;33.0;17;46.2238043547;7;44.6999969482;74.0;26;107.228109479;
82;4;30.4000015259;32.0;18;46.2462974787;7;45.6999969482;75.0;25;107.83602643;
83;4;31.4000015259;32.0;18;46.2687973976;7;46.6999969482;76.0;25;108.379999042;
