Turn;Planet_count_KI_1_SP_SCYLIOR;Research_KI_1_SP_SCYLIOR;Industry_KI_1_SP_SCYLIOR;Ships_KI_1_SP_SCYLIOR;Population_KI_1_SP_SCYLIOR;Planet_count_KI_6_SP_SLY;Research_KI_6_SP_SLY;Industry_KI_6_SP_SLY;Ships_KI_6_SP_SLY;Population_KI_6_SP_SLY;
106;10;38.4000015259;102.316947937;17;102.507218957;12;30.0086288452;91.9125976562;15;97.6148839593;
107;10;38.4000015259;104.367622375;18;103.310464621;12;33.017250061;93.0501098633;15;99.1865392625;
108;10;38.4000015259;106.415992737;18;104.918790102;12;34.0614585876;97.7680511475;17;99.758821249;
109;11;38.4000015259;107.909049988;17;106.702568054;12;35.1009254456;102.032562256;18;100.915341318;
110;11;38.4000015259;109.204521179;18;108.665275335;12;35.5432891846;106.277572632;19;101.964501798;
111;11;38.4000015259;110.499931335;18;111.804182053;12;36.3975601196;107.503112793;18;102.941969797;
112;11;39.4000015259;112.792785645;19;115.348730326;12;35.871963501;110.709510803;19;103.850010633;
113;11;41.4000015259;116.080657959;19;119.153912902;12;35.5801048279;114.041526794;19;104.693365574;
114;11;43.4000015259;120.361228943;21;122.204324365;12;36.7191009521;113.427200317;20;106.478498623;
115;11;44.4000015259;124.632415771;22;126.41686976;12;36.7984695435;116.731033325;22;107.232878327;
116;11;45.4000015259;129.89239502;21;129.856710196;12;37.831993103;120.137680054;22;107.944542825;
117;11;46.4000015259;134.139648438;17;135.198342681;12;38.8919372559;118.576873779;18;108.527618513;
118;11;46.9759979248;138.44102478;18;140.253391027;12;37.9695129395;121.508132935;18;108.973849297;
119;12;48.4312705994;142.522171021;17;145.031049252;12;38.977355957;125.507324219;19;111.133109555;
120;14;48.783290863;145.408508301;16;149.548321009;12;40.0753326416;127.668609619;20;113.327012874;
121;14;49.050743103;147.128692627;17;153.738972187;12;42.2678108215;127.797393799;20;115.535365283;
122;14;49.2000007629;148.668304443;18;157.399352312;12;41.4562759399;130.000396729;20;117.740406282;
123;14;49.2000007629;150.914001465;18;160.84841609;12;41.0775871277;132.089691162;23;120.927227259;
124;14;50.2000007629;154.057556152;18;164.185546041;12;44.4987449646;128.423294067;23;123.143538013;
125;14;50.2000007629;151.187438965;19;168.382762194;12;46.1680145264;131.64151001;25;125.32191059;
126;14;53.2000007629;151.304412842;20;172.470503569;12;48.6678733826;131.862991333;25;127.453055546;
127;14;55.2000007629;151.409393311;20;176.37473464;12;48.9367599487;132.086700439;26;129.527961016;
128;14;58.2000007629;152.5;20;178.849559903;12;50.2098693848;134.311538696;27;131.537529588;
129;14;61.2000007629;154.5;22;181.148516536;13;52.483543396;132.536407471;30;133.472647548;
130;14;63.2000007629;157.5;19;183.257334232;13;52.4703941345;133.760192871;29;135.324627548;
131;14;66.1999969482;159.5;19;185.02505374;13;52.7676239014;135.981750488;31;136.893948808;
132;14;66.1999969482;161.5;19;186.579699516;13;54.0211029053;133.200042725;32;138.395465434;
133;14;69.1999969482;160.5;23;188.006016016;13;54.2617759705;131.414031982;33;139.828737915;
134;14;72.1999969482;160.5;24;189.318641543;13;53.4876899719;132.622772217;33;141.186835125;
135;14;76.1999969482;160.5;24;190.534696102;13;54.6976661682;130.825408936;35;143.466172665;
136;14;80.1999969482;160.5;25;191.671334982;13;55.891242981;130.021209717;37;144.906101838;
137;14;84.1999969482;160.5;28;192.594351053;13;56.0686187744;132.209533691;38;146.322951108;
138;14;88.1999969482;160.5;29;193.411369681;13;57.5757789612;131.389862061;38;147.730992451;
139;14;92.1999969482;160.5;28;194.23685956;13;57.8042221069;130.561782837;37;149.14694199;
140;14;93.1999969482;158.5;28;194.468307495;14;57.0369606018;132.725036621;36;150.589157671;
141;14;94.9000015259;162.140014648;29;194.763184547;14;57.5888748169;131.879440308;36;152.076685876;
142;14;96.9000015259;163.816009521;27;195.113001108;14;57.7465362549;131.024932861;35;153.460683808;
143;14;98.9000015259;165.524414062;28;195.509930611;14;56.8117256165;133.161529541;38;154.941090032;
144;14;100.900001526;167.261962891;28;195.946790457;14;61.9233398438;132.161529541;38;156.470671505;
145;14;102.048614502;169.625762939;25;196.417015553;14;63.7102241516;134.161529541;36;158.116251573;
146;14;102.853759766;172.413192749;27;196.914626598;14;64.8462982178;139.161529541;36;160.882076338;
147;14;103.678375244;175.221862793;28;197.434199572;14;69.9833984375;139.161529541;37;162.811559811;
148;14;104.52053833;178.049697876;31;197.970844984;14;71.1431884766;142.161529541;38;164.818755358;
149;14;105.378479004;180.894714355;32;198.520167112;14;71.5315475464;148.161529541;39;166.778242707;
150;14;107.624443054;184.927001953;33;199.07823205;14;75.6701507568;149.161529541;41;168.740358979;
151;14;109.718261719;187.874710083;34;199.641528845;14;76.6152496338;151.161529541;42;170.65620783;
152;14;111.810043335;190.827636719;36;200.206942797;14;77.9469909668;157.161529541;44;172.479875416;
153;14;113.098800659;193.78527832;38;200.771712542;15;80.0846939087;157.161529541;43;174.173950732;
154;14;114.183792114;196.747146606;39;201.33340621;15;79.2215652466;160.161529541;44;175.713315994;
155;14;115.264465332;199.71282959;41;201.88988328;15;78.3573608398;167.161529541;46;177.08640331;
156;14;116.340522766;202.681945801;42;202.439275026;15;80.4918212891;166.161529541;48;178.293986559;
157;14;117.411720276;205.654144287;42;202.979944229;15;79.624710083;169.161529541;48;179.346301347;
158;14;118.478012085;208.629135132;43;203.448086262;15;78.7558135986;174.443344116;49;180.25954172;
159;14;119.470779419;211.606628418;45;203.875267506;15;80.8849105835;173.509597778;49;181.992821872;
160;14;120.426208496;214.586364746;46;204.298307419;15;81.0118103027;176.57800293;51;182.769138634;
161;14;121.38608551;216.490859985;47;204.715734959;15;79.0969238281;184.498184204;51;183.341649473;
162;14;122.349975586;217.431793213;43;205.126243591;15;79.9210586548;190.005340576;46;183.822916597;
163;14;121.317474365;206.459686279;45;205.528681755;15;81.2616348267;195.729064941;47;184.332584769;
164;14;122.288230896;212.330749512;46;205.873638153;17;82.2211227417;202.263122559;45;184.873442739;
165;14;125.261909485;218.28767395;43;206.151102066;17;81.6077728271;207.971328735;46;185.448256373;
