Turn;Planet_count_KI_1_SP_EGASSEM;Research_KI_1_SP_EGASSEM;Industry_KI_1_SP_EGASSEM;Ships_KI_1_SP_EGASSEM;Population_KI_1_SP_EGASSEM;Planet_count_KI_6_SP_REPLICON;Research_KI_6_SP_REPLICON;Industry_KI_6_SP_REPLICON;Ships_KI_6_SP_REPLICON;Population_KI_6_SP_REPLICON;
1;1;6.0;13.3000001907;4;17.0;1;6.0;14.0;4;20.0;
2;1;7.0;12.3000001907;4;17.0;1;7.0;13.0;6;20.0;
3;1;7.55000019073;11.3000001907;4;17.0;1;8.0;12.0;5;20.0;
4;1;7.55000019073;10.3000001907;4;17.0;1;8.0;11.0;5;20.0;
5;1;7.55000019073;9.30000019073;4;17.0;1;8.0;10.0;5;20.0;
6;1;8.55000019073;8.5;4;17.0;1;9.0;10.0;5;20.0;
7;1;8.82499980927;8.5;4;17.0;1;9.5;10.0;5;20.0;
8;1;8.82499980927;8.5;4;17.0;1;9.5;10.0;5;20.3999996185;
9;1;8.82499980927;8.5;4;17.3400001526;1;9.59000015259;10.1999998093;5;20.7264003754;
10;1;8.9015007019;8.67000007629;4;17.6278438568;1;9.66343975067;10.3632001877;5;20.9903717041;
11;1;8.96626472473;8.81392192841;4;17.869726181;1;9.72283363342;10.4951858521;5;22.0419120789;
12;1;9.02068901062;8.93486309052;4;18.786491394;1;9.95943069458;11.0209560394;5;22.9143505096;
13;1;9.22696018219;9.39324569702;4;19.5780620575;1;11.7228336334;11.4571752548;5;23.6214065552;
14;1;11.0206890106;9.78903102875;4;20.2480106354;1;12.7228336334;11.8107032776;5;24.1832637787;
15;1;12.0206890106;10.1240053177;4;20.8052330017;1;13.7228336334;12.0916318893;5;24.6226100922;
16;1;13.0206890106;10.4026165009;4;21.2618598938;1;14.7228336334;12.3113050461;5;24.9617595673;
17;1;14.0206890106;10.6309299469;3;21.6314201355;1;15.7228336334;12.4808797836;5;25.0;
18;1;15.0206890106;10.8157100677;3;21.9274635315;1;16.7228336334;12.5;6;25.0;
19;1;16.0206890106;10.9637317657;4;22.0;1;17.625;12.5;6;25.0;
20;1;16.9500007629;11.0;5;22.0;1;17.625;12.5;7;25.0;
21;2;16.9500007629;11.0;4;22.0;1;17.625;12.5;7;25.0;
22;2;16.9500007629;11.0;4;22.0;1;17.625;12.5;7;25.0;
23;2;16.9500007629;11.0;4;22.0;1;17.625;12.5;8;25.0;
24;2;16.9500007629;11.0;5;22.0;1;17.625;12.5;8;25.0;
25;2;16.9500007629;11.0;6;22.0;1;17.625;12.5;8;25.0;
26;2;16.9500007629;11.0;6;22.0;1;17.625;12.5;7;25.0;
27;2;16.9500007629;11.0;6;22.0;1;17.625;12.5;7;25.0;
28;2;16.9500007629;11.0;7;22.0;1;17.625;12.5;7;25.0;
29;3;16.9500007629;11.0;5;37.0;2;18.625;13.1000003815;6;26.0;
30;3;15.9500007629;12.0;5;37.75;2;19.625;13.1000003815;6;26.0299999714;
31;3;15.9500007629;13.0;5;38.4193744659;2;17.8567504883;13.5;6;26.0605909824;
32;4;16.9500007629;14.5;4;40.0072898865;2;16.8636322021;14.5;6;26.091766119;
33;4;18.0;15.0;4;40.6237696409;2;15.8706474304;15.5;6;26.1235172749;
34;4;19.2491874695;16.0;4;41.176692009;2;14.8777914047;16.5;6;26.1558350325;
35;4;20.2757072449;17.0;4;41.6734207869;2;14.2600631714;17.5;6;26.1887089014;
36;4;20.4265193939;18.0;4;42.122140646;2;14.2674598694;18.5;6;26.2221269608;
37;4;20.5274810791;19.0;4;42.5312086344;2;14.2749786377;19.5;6;26.2560760975;
38;4;20.6195220947;20.0;4;42.8149644136;2;14.282617569;20.5;6;26.2905418873;
39;4;20.6833667755;21.0;5;42.9952818155;2;14.2903718948;21.5;6;26.3255085945;
40;4;20.7239379883;22.0;6;43.1899158955;2;14.2982397079;22.5;6;26.3609591722;
41;4;20.7677307129;23.0;6;43.399273634;2;14.3062152863;23.5;9;26.3968753815;
42;4;20.8148365021;24.0;6;43.6236231327;3;14.3142967224;24.5;8;26.4332377911;
43;4;20.8653144836;25.0;7;43.8630647659;3;14.3224782944;25.5;8;26.4700255394;
44;4;20.9191894531;26.0;8;44.1175034046;3;14.3307552338;26.5;10;26.5072168112;
45;4;20.9764385223;27.0;8;44.3866217136;4;14.3391237259;27.5;9;26.5447884798;
46;4;21.036989212;28.0;10;44.6698577404;4;14.347577095;28.5;9;26.5827163458;
47;4;21.1007175446;29.0;10;44.9663875103;4;14.3561115265;29.5;11;26.6209751368;
48;4;21.1674365997;30.0;11;45.2751159668;4;15.3647193909;27.5;13;26.6595385075;
49;4;22.2369003296;30.0;12;45.5946760178;4;14.3733959198;28.5;13;26.6983793974;
50;4;23.308801651;31.0;12;45.9234399796;4;14.3821353912;29.5;14;26.7374696732;
51;4;24.382774353;32.0;13;46.2595415115;4;15.3909301758;27.5;15;26.7767804861;
52;4;25.4583969116;33.0;14;46.6009097099;4;14.3997755051;28.5;15;26.8162822723;
53;4;26.4852046967;34.0;14;46.9453148842;4;14.4086637497;29.5;16;26.8559447527;
54;4;26.5626964569;33.0;12;47.2904214859;5;15.0;28.5;13;36.8957372904;
55;4;26.6403446198;32.0;14;47.633852005;5;17.0;29.5;13;37.3356281519;
56;3;20.4426174164;26.0;14;28.9732499123;6;19.0;30.5;10;56.749986887;
57;3;20.5189819336;25.0;14;29.3063445091;6;21.0;32.5;11;57.1375198364;
58;4;20.5939292908;24.0;15;40.7529520988;5;21.0;30.5;11;46.0555787086;
59;5;21.6669788361;24.0;14;41.387368679;5;21.625;31.5;11;46.0955479145;
60;5;22.737701416;24.0;14;41.9823455811;5;21.625;32.3859939575;11;46.135456562;
61;6;22.8057174683;24.0;13;57.5370321274;5;22.625;32.4219093323;12;46.17527318;
62;6;23.8707103729;26.0;13;58.8012981415;5;23.625;31.4577445984;12;46.2149660587;
63;6;24.932434082;28.0;13;59.9450120926;5;24.625;30.4934692383;12;46.2545039654;
64;6;24.9906997681;30.0;13;60.9683542252;5;25.625;29.5290527344;12;46.293856144;
65;6;25.0453948975;32.0;13;61.8752794266;5;25.8999996185;29.5644702911;12;46.3329925537;
66;6;23.0453948975;35.0;14;63.6725540161;5;25.8999996185;29.5996932983;13;46.3718836308;
67;6;25.0453948975;37.0;14;64.2947170734;5;25.8999996185;29.6346950531;16;46.4105007648;
68;6;27.0453948975;40.0;14;64.812691927;5;25.8999996185;29.6694507599;16;46.4488155842;
69;6;27.4667778015;42.2000007629;14;65.264136076;5;25.8999996185;29.7039337158;16;46.4868011475;
70;6;27.5108108521;44.2000007629;15;65.5633928776;5;25.8999996185;29.7381210327;18;46.5244314671;
71;6;27.5517635345;46.2000007629;15;65.732485652;5;25.8999996185;29.771987915;18;46.5616812706;
72;6;27.5898094177;47.2000007629;16;65.889460206;5;25.8999996185;29.805513382;18;46.5985264778;
73;6;27.6251296997;48.2000007629;16;65.9721269608;5;25.8999996185;29.8386726379;19;46.6349442005;
74;6;25.632648468;50.2000007629;17;66.0060760975;5;25.8999996185;29.8714485168;19;46.6709127426;
75;6;25.2326183319;52.2000007629;17;67.7849770784;5;25.8999996185;29.9038219452;20;46.7064116001;
76;6;23.2431983948;55.0890007019;19;69.2904030085;5;25.8999996185;29.9357700348;20;46.7414214611;
77;6;25.2540378571;53.0141906738;20;70.5552015305;5;25.8999996185;29.9672794342;21;46.7759244442;
78;7;27.2651309967;52.5013656616;20;71.6131006479;5;25.8999996185;29.9983329773;21;46.8099038601;
79;7;25.7125511169;53.8966674805;20;72.2596292496;5;25.8999996185;30.0289134979;21;46.84334445;
80;7;26.7380599976;53.0999984741;21;72.4583038092;5;25.8999996185;30.059009552;22;48.4746654034;
