Turn;Planet_count_KI_1_SP_GYSACHE;Research_KI_1_SP_GYSACHE;Industry_KI_1_SP_GYSACHE;Ships_KI_1_SP_GYSACHE;Population_KI_1_SP_GYSACHE;Planet_count_KI_6_SP_CHATO;Research_KI_6_SP_CHATO;Industry_KI_6_SP_CHATO;Ships_KI_6_SP_CHATO;Population_KI_6_SP_CHATO;
78;7;31.5999984741;45.2814102173;12;44.825802207;2;30.7999992371;26.0;15;32.0;
79;7;31.5517349243;44.6162643433;12;45.7491914034;2;30.7999992371;26.0;16;32.0;
80;7;28.5999984741;49.4009056091;14;46.4743750095;2;30.7999992371;26.0;11;32.0;
81;8;27.5999984741;53.0643768311;13;47.2156995535;2;30.7999992371;26.0;6;32.0;
82;8;26.5999984741;55.2436828613;13;47.26864779;2;30.7999992371;26.0;6;32.0;
83;8;25.5999984741;57.4312362671;13;47.392758131;2;30.7999992371;26.0;7;32.0;
84;8;25.5999984741;56.6267356873;14;47.5823050737;2;30.7999992371;26.0;7;32.0;
85;8;25.5999984741;59.4312362671;14;47.8318240643;2;30.7999992371;26.0;7;32.0;
86;8;27.5999984741;58.4312362671;14;48.1360644102;2;30.7999992371;26.0;7;32.0;
87;8;29.5999984741;58.4312362671;15;48.4899498224;2;30.7999992371;26.0;8;32.0;
88;8;31.5130615234;59.4312362671;15;48.8885540962;2;30.7999992371;26.0;8;32.0;
89;8;32.4917526245;60.4312362671;15;49.3270726204;2;30.7999992371;26.0;8;32.0;
90;8;31.4917545319;62.675907135;16;49.8008162975;2;30.7999992371;26.0;9;32.0;
91;8;31.5999984741;65.5898132324;16;50.3052079678;2;30.7999992371;26.0;9;32.0;
92;8;32.5999984741;68.5123291016;16;50.8357806206;2;30.7999992371;26.0;10;32.0;
93;8;33.5999984741;71.4425964355;17;51.3881878853;3;30.7999992371;26.0;9;32.0;
94;8;35.5999984741;71.3798370361;18;51.9582188129;3;30.7999992371;26.0;11;32.0;
95;8;35.0575332642;73.0187225342;19;52.541810751;3;30.7999992371;26.0;11;32.0;
96;9;36.0117797852;71.2044525146;18;53.1350705624;3;30.7999992371;26.0;11;32.1999998093;
97;9;36.9706039429;70.3925323486;18;53.7342908382;3;30.7999992371;26.1000003815;9;32.401599884;
98;9;37.7078323364;70.5814437866;18;54.335975647;3;30.7999992371;26.200799942;9;32.6040029526;
99;9;35.6744766235;71.7698364258;19;54.9368536472;3;30.7999992371;26.3020019531;11;32.806394577;
100;9;34.8701705933;75.6189422607;20;55.5338976383;3;28.7999992371;27.4031982422;12;33.007956028;
