Turn;Planet_count_KI_1_SP_GYSACHE;Research_KI_1_SP_GYSACHE;Industry_KI_1_SP_GYSACHE;Ships_KI_1_SP_GYSACHE;Population_KI_1_SP_GYSACHE;Planet_count_KI_6_SP_CHATO;Research_KI_6_SP_CHATO;Industry_KI_6_SP_CHATO;Ships_KI_6_SP_CHATO;Population_KI_6_SP_CHATO;
1;1;6.0;14.0;4;20.0;1;13.0;10.0;4;20.0;
2;1;7.0;13.0;6;20.0;1;13.0;10.0;5;20.0;
3;1;8.0;12.0;6;20.0;1;13.0;10.0;5;20.0;
4;1;9.0;11.0;6;20.0;1;14.0;10.0;5;20.0;
5;2;10.0;10.3000001907;5;21.0;1;15.0;10.0;5;20.0;
6;2;11.4499998093;10.0;5;21.0900000334;1;16.0;10.0;4;20.3999996185;
7;2;12.4905004501;10.0;5;21.1871190071;1;17.0;10.1999998093;4;20.7264003754;
8;2;13.5342035294;10.0;5;21.7036092281;2;18.0358409882;10.3632001877;3;22.8194274902;
9;2;14.5866241455;10.1999998093;5;22.1564130783;2;18.6916561127;10.9097137451;2;23.7716035843;
10;2;14.9703855515;10.3632001877;5;23.4291926622;2;20.6916561127;11.3658018112;2;24.5557456017;
11;2;15.5431365967;10.9097137451;5;24.540822506;2;22.6916561127;11.7372808456;2;25.1909515858;
12;2;16.0433712006;11.3658018112;5;25.5043385029;2;23.7657871246;12.0336990356;3;25.6996334791;
13;2;18.6328907013;11.7372808456;5;26.3401436806;2;24.7919197083;12.2662630081;3;26.10437572;
14;2;20.6328907013;12.0336990356;5;27.0718023777;2;25.8187599182;12.446267128;3;26.2577478886;
15;2;21.9614181519;12.2662630081;5;27.7228300571;2;26.8463039398;12.5;3;26.3048160076;
16;2;23.092376709;12.446267128;5;28.1464314461;2;27.874546051;12.5;3;26.3530313969;
17;2;24.2346363068;12.5;5;28.4879314899;2;28.9034748077;12.5;3;26.4023760557;
18;2;25.3883113861;12.5;6;28.8545851707;2;29.841424942;12.5;3;26.4528282881;
19;2;26.5533065796;12.5;6;29.2456488609;2;29.8716964722;12.5;4;26.5043625832;
20;2;27.1605415344;12.5;6;29.659784317;2;29.9026184082;12.5;4;26.5569496155;
21;2;27.3469028473;12.5;6;30.0950183868;2;29.9341697693;12.5;4;26.6105561256;
22;2;27.5427589417;12.5;6;30.5487289429;3;29.9663333893;12.5;3;26.6651450396;
23;3;27.7469291687;12.5;6;31.0176672935;3;29.99908638;12.5;3;26.72067523;
24;4;27.957950592;12.5;5;31.4980173111;3;30.0324058533;12.5;3;26.7771017551;
25;4;25.957950592;13.5;5;31.9854974747;3;30.0662612915;12.5;4;26.8343759775;
26;4;25.25;14.5;5;32.4754953384;4;30.1006259918;12.5;3;26.8924454451;
27;4;25.25;15.5;5;32.9632344246;4;30.1354675293;12.5;3;26.9512542486;
28;4;24.25;14.5;5;33.4439563751;4;30.170753479;12.5;3;27.0107431412;
29;4;24.25;14.5;5;33.9131059647;4;30.206445694;12.5;3;27.0708494186;
30;4;24.25;15.5;5;34.3665065765;4;29.0;13.5;3;27.1315076351;
31;4;24.25;16.5;5;34.8005027771;4;29.0;13.5657539368;3;27.1926498413;
32;4;23.25;15.5;5;35.2120742798;4;29.0;13.5963249207;3;28.2542052269;
33;4;23.25;15.5;5;35.5988998413;4;31.0;16.5963249207;3;28.3161010742;
34;4;22.25;14.5;7;35.9593791962;4;32.3896598816;19.5963249207;3;28.3782629967;
35;4;22.25;15.5;7;36.2926120758;4;33.0269584656;22.5963249207;3;28.4406147003;
36;4;22.25;16.5;7;36.5983467102;4;33.0643692017;25.5;3;28.5030794144;
37;4;22.25;17.5;8;36.8768987656;4;33.1018486023;27.5;4;29.5655794144;
38;4;23.5946044922;18.5;9;37.1290569305;4;34.1393470764;28.5;5;29.6780364513;
39;4;24.7080764771;19.5;9;37.3559846878;4;35.1768226624;29.5;5;29.7923474312;
40;4;25.8101921082;20.5;10;37.5591192245;4;35.8754081726;30.5;6;29.908460021;
41;4;26.9016036987;21.5;10;37.7400808334;4;35.9450759888;31.5;7;30.0263172388;
42;4;27.9830360413;22.5;11;37.900595665;4;36.0157928467;32.5;7;30.1458575726;
43;4;29.055267334;22.5;11;38.0;4;36.0875167847;32.5;8;30.2670147419;
44;5;30.1000003815;22.5;8;66.75;4;36.1602096558;32.5;9;30.3897176981;
45;5;32.0999984741;23.5;9;68.7625007629;4;36.233833313;32.5;9;30.5138903856;
46;5;33.0999984741;24.5;9;70.2967796326;4;36.3083343506;32.5;10;30.6394513845;
