Turn;Planet_count_KI_1_SP_GYSACHE;Research_KI_1_SP_GYSACHE;Industry_KI_1_SP_GYSACHE;Ships_KI_1_SP_GYSACHE;Population_KI_1_SP_GYSACHE;Planet_count_KI_6_SP_CHATO;Research_KI_6_SP_CHATO;Industry_KI_6_SP_CHATO;Ships_KI_6_SP_CHATO;Population_KI_6_SP_CHATO;
1;1;6.0;14.0;4;20.0;1;13.0;10.0;4;20.0;
2;1;7.0;13.0;6;20.0;1;13.0;10.0;5;20.0;
3;1;8.0;12.0;6;20.0;1;13.0;10.0;5;20.0;
4;1;9.0;11.0;6;20.0;1;14.0;10.0;4;20.0;
5;1;10.0;10.0;6;20.0;1;15.0;10.0;4;20.0;
6;1;11.0;10.0;6;20.0;1;16.0;10.0;4;20.3999996185;
7;1;12.0;10.0;6;20.0;2;17.6000003815;10.1999998093;3;21.7264003754;
8;1;13.0;10.0;6;20.3999996185;2;18.0358409882;10.3632001877;3;22.8394274712;
9;1;14.0;10.1999998093;6;20.7264003754;2;18.7036552429;10.9097137451;3;23.7717995644;
10;2;14.3268795013;10.8632001877;5;22.8194274902;2;20.7036552429;11.3658018112;3;24.5351434946;
11;2;15.2687425613;10.9097137451;5;23.8616036177;2;22.7036552429;11.7372808456;3;25.1485489607;
12;2;15.7377223969;11.3658018112;5;24.7499927282;2;23.7403469086;12.0336990356;4;25.6344225407;
13;2;18.3272418976;12.3749961853;5;25.5051221848;2;24.7527942657;12.2662630081;4;26.0153459311;
14;2;19.8187427521;12.7525615692;5;26.1508610249;2;25.7653427124;12.446267128;4;26.1438889503;
15;2;20.8187427521;13.0754308701;5;26.7112461329;2;26.7779884338;12.5;4;26.1651208401;
16;2;21.8187427521;13.3556232452;5;27.0402543545;2;27.7907276154;12.5;4;26.1864993572;
17;2;22.8187427521;13.5201272964;5;27.2842636108;2;28.8035545349;12.5;4;26.2080165148;
18;2;23.8187427521;13.870557785;5;27.5518820286;2;29.7248096466;12.5;4;26.2296639681;
19;2;24.8187427521;14.0311288834;5;27.8440244198;2;29.7377986908;12.5;5;26.2514331341;
20;2;25.25;14.2064142227;5;28.1613030434;2;29.7508602142;12.5;6;26.2733153105;
21;2;25.25;14.3967819214;6;28.5039470196;2;29.7639884949;12.5;7;26.2953014374;
22;2;25.25;14.6023683548;6;28.871723175;2;29.7771816254;12.5;7;26.3173824549;
23;2;25.25;14.8230342865;6;29.263862133;2;29.790430069;12.5;7;26.3395489454;
24;2;25.25;15.0583171844;6;29.6789975166;2;29.803730011;12.5;7;26.3617914915;
25;3;24.25;14.0583171844;5;30.1151270866;2;29.817073822;12.5;7;26.3841004372;
26;3;24.25;14.5;5;30.5695996284;2;29.8304595947;12.5;7;26.4064661264;
27;3;23.7563209534;15.5;5;31.0391392708;2;29.8438796997;12.5;7;26.428878665;
28;3;22.9676132202;16.5;5;31.5199065208;2;29.8573265076;12.5;7;26.4513280392;
29;3;22.1839580536;17.5;6;32.007601738;2;29.8707962036;12.5;7;26.4738043547;
30;3;21.403421402;18.5;6;32.4976010323;2;29.0;13.2369022369;7;26.4962974787;
31;3;20.6239204407;19.5;6;32.9851250648;2;29.0;13.2481489182;7;26.5187973976;
32;3;19.8433074951;20.5;6;33.465420723;2;29.0;13.2593984604;8;26.5412938595;
33;3;18.8433074951;19.5;7;33.9339466095;2;29.0;15.2593984604;8;26.5637768507;
34;3;18.8433074951;19.5;7;35.3865451813;2;29.0;17.2593994141;8;26.5862361193;
35;3;18.8433074951;18.5;7;35.8495895863;2;29.0;19.2593994141;9;26.6086617708;
36;3;19.8433074951;19.5;8;36.2906801701;2;29.0;21.2593994141;9;26.6310436726;
37;3;18.8433074951;19.2424144745;8;36.7075202465;2;29.0;23.2593994141;9;26.6533719301;
38;3;19.7412948608;18.5;8;37.0985348225;2;29.0;23.3266868591;10;26.6756366491;
39;3;20.7555828094;18.5;8;37.4628447294;2;29.0;23.3378181458;10;26.6978281736;
40;3;21.7701263428;18.5;9;37.8002153635;2;29.0;23.3489151001;11;26.7199368477;
41;3;22.7849197388;21.5;9;38.1109733582;2;29.0;23.3599681854;11;26.7419531345;
42;3;23.7999572754;24.5;10;38.3959143162;2;29.0;23.3709754944;12;26.7638677359;
43;4;24.25;27.5;9;38.6562006474;2;29.0;23.3819332123;12;26.7856714725;
44;4;25.25;29.5;10;38.8932642937;2;29.0;23.3928356171;13;26.8073554039;
45;4;26.8464794159;31.5;10;39.1087161303;2;29.0;23.403678894;13;26.8289107084;
