Turn;Planet_count_KI_1_SP_GYSACHE;Research_KI_1_SP_GYSACHE;Industry_KI_1_SP_GYSACHE;Ships_KI_1_SP_GYSACHE;Population_KI_1_SP_GYSACHE;Planet_count_KI_6_SP_CHATO;Research_KI_6_SP_CHATO;Industry_KI_6_SP_CHATO;Ships_KI_6_SP_CHATO;Population_KI_6_SP_CHATO;
1;1;6.0;14.0;4;20.0;1;13.0;10.0;4;20.0;
2;2;7.0;13.3000001907;5;21.0;1;13.0;10.0;4;20.0;
3;2;8.30000019073;12.0;5;21.0900000334;1;13.0;10.0;3;20.0;
4;2;9.32699966431;11.0;4;21.1871190071;1;14.0;10.0;3;20.0;
5;2;10.3561353683;10.0;4;21.2917383909;1;15.0;10.0;3;20.0;
6;2;11.5812826157;10.0;4;21.4042263031;1;16.0;10.0;3;20.3999996185;
7;2;12.631901741;10.0;3;21.5249304771;1;17.0;10.1999998093;3;20.7264003754;
8;2;13.6862182617;10.0;3;22.0694183111;1;17.4358406067;10.3632001877;3;21.8194274902;
9;2;14.7512378693;10.1999998093;2;22.5515855551;1;18.0916557312;10.9097137451;3;22.7316036224;
10;2;15.1482124329;10.3632001877;2;23.8668255806;1;19.0916557312;11.3658018112;3;23.4745616913;
11;2;15.7400722504;10.9097137451;2;25.0237190723;1;20.0916557312;11.7372808456;3;24.0673980713;
12;2;16.2606735229;11.3658018112;2;26.0350353718;1;21.0916557312;12.0336990356;4;24.5325260162;
13;2;18.850194931;11.7372808456;2;26.9207777977;1;22.0916557312;12.2662630081;4;24.892534256;
14;2;20.850194931;12.0336990356;2;27.703961134;1;23.0916557312;12.446267128;4;25.0;
15;2;22.2458877563;12.2662630081;2;28.4073903561;2;25.0916557312;12.5;3;26.0;
16;2;23.400428772;12.446267128;2;28.8833937645;2;27.0916557312;12.5;3;26.0499999523;
17;2;24.5662689209;12.5;2;29.2762613297;2;28.7216567993;12.5;3;26.1019749641;
18;2;25.7430610657;12.5;3;29.692073822;2;29.6611843109;12.5;4;26.1559499502;
19;2;26.9301757812;12.5;3;30.1288084984;2;29.6935691833;12.5;4;26.2119446993;
20;2;27.557964325;12.5;4;30.5837950706;2;29.7271671295;12.5;4;26.269973278;
21;2;27.7627067566;12.5;4;31.0537385941;2;29.7619838715;12.5;4;26.3300433159;
22;2;27.9741821289;12.5;4;31.534784317;2;29.7980270386;12.5;4;26.3921557665;
23;2;28.1906528473;12.5;4;32.0226202011;2;29.8352928162;12.5;4;26.4563041925;
24;2;28.4101791382;12.5;4;32.5126152039;2;29.8737831116;12.5;4;26.5224741697;
25;2;28.6306762695;12.5;4;32.9999876022;2;29.9134845734;12.5;4;26.5906432867;
26;2;28.8499946594;12.5;5;33.4799880981;3;29.0;13.2953214645;3;26.6607804298;
27;2;29.0659942627;12.5;5;33.9480848312;3;29.0;13.3303899765;3;26.7328453064;
28;2;29.276638031;12.5;6;34.4001340866;3;29.0;13.3664226532;3;26.8067884445;
29;2;29.4800605774;12.5;6;34.8325281143;3;29.0;13.4033946991;3;26.8825509548;
30;2;27.4800605774;13.5;6;35.2422962189;3;27.0;14.4412755966;3;26.9600640535;
31;2;26.4800605774;14.5;6;35.6271715164;3;28.0;13.4800319672;3;27.0392494202;
32;2;25.4800605774;13.5;4;35.9856081009;3;26.0;14.5196247101;3;27.120018959;
33;2;24.4800605774;13.5;3;36.3167572021;3;27.0;16.5196247101;3;27.2022752762;
34;2;23.4800605774;13.5;2;36.6204128265;3;28.0;18.5196247101;3;27.2859115601;
35;2;23.25;13.5;2;36.8969306946;3;29.0;20.5196247101;3;27.3708124161;
36;2;24.25;14.5;2;37.1471309662;3;29.0;22.5196247101;4;27.4568536282;
37;2;23.25;16.5;3;37.3722009659;3;29.0;23.5196247101;4;27.5439035892;
38;2;23.25;18.5;5;37.5735960007;3;29.0;23.7719516754;4;27.6318233013;
39;2;24.25;20.5;6;37.7529459;3;29.0;23.8159122467;4;27.7204678059;
40;2;25.25;22.5;6;37.9119815826;3;29.0;23.8602333069;4;27.8096864223;
41;2;24.25;22.5;6;38.0;3;29.0;23.9048423767;4;27.8993241787;
42;2;24.25;23.5;7;38.0;3;29.0;23.9496612549;5;28.989222765;
43;2;24.25;24.5;7;38.0;4;30.0;24.9946117401;4;29.2092214823;
44;2;24.25;25.5;7;38.0;4;32.0;27.0396118164;3;30.4445897341;
45;2;24.25;26.5;7;38.0;4;33.0;29.0845794678;4;30.7365965843;
46;2;24.1000003815;27.5;8;38.0;5;33.0;31.1294364929;4;31.047721386;
47;2;23.1000003815;28.5;8;38.0;5;34.6197128296;33.1741027832;4;31.379255414;
48;2;22.1000003815;29.5;8;38.0;5;34.7653617859;34.2184944153;5;31.7324422598;
49;3;21.1000003815;30.5;7;38.0;5;34.9244155884;34.2625427246;5;32.108428359;
50;3;20.1000003815;31.5;8;38.0;5;35.0976638794;34.3061599731;5;32.5082037449;
51;3;19.8500003815;32.5;8;38.0;5;35.2857780457;34.3492889404;5;32.9325342178;
52;3;19.8500003815;33.5;8;38.0;5;35.4893035889;34.3918457031;6;34.3818864822;
53;3;19.8500003815;34.5;9;38.0;6;36.7085990906;35.4337768555;5;34.8963485956;
54;3;19.8500003815;35.5;9;38.0;6;37.1023674011;37.1762008667;6;36.5348619223;
55;3;19.8500003815;36.5;9;38.0;6;35.7023658752;39.7559356689;7;37.9936443567;
56;3;19.8500003815;37.5;9;39.0;6;36.0680007935;42.2264862061;8;39.3059798479;
57;3;20.8500003815;39.5;10;39.0199999809;7;36.4247131348;44.0694389343;6;62.2554258108;
58;3;21.8500003815;41.5;10;39.0401959419;7;37.6916885376;45.6467933655;6;64.5828360319;
59;3;22.8500003815;40.5;12;39.0605818033;7;38.7999992371;47.1078567505;7;67.5287114382;
60;4;22.0886306763;42.5;10;39.0811508894;7;40.7999992371;49.4921646118;6;69.317990303;
61;4;22.0932598114;44.5;10;39.1018965244;7;42.7999992371;51.8869361877;5;70.9284528494;
62;4;22.8500003815;43.0509490967;12;39.1228116751;7;43.7999992371;54.2886428833;6;72.3822695017;
63;4;22.1026325226;43.5;12;40.5338892937;7;44.7999992371;55.6933403015;6;73.7021135092;
64;4;20.8500003815;43.0719451904;12;41.6846005917;7;45.7999992371;57.0969009399;7;74.7591563463;
65;4;21.1121520996;42.5;12;42.6110799313;7;46.7999992371;58.1011009216;8;75.6367835999;
66;4;19.8500003815;42.0932502747;17;43.3515321016;7;47.7999992371;58.5131149292;9;76.4909876585;
67;4;20.1218032837;41.5;17;43.7937613726;8;48.7999992371;58.9129219055;8;77.3156869411;
68;4;21.1266746521;42.5;18;44.024657011;8;48.9000015259;55.9947738647;8;78.1060892344;
69;4;22.1315727234;43.5;18;44.2277735472;8;49.9000015259;55.6493988037;10;78.8411543369;
70;4;23.016002655;44.5;19;44.2953014374;8;46.9000015259;55.7340507507;10;79.5048435926;
71;4;23.0414428711;45.5;20;44.3173824549;8;46.9000015259;55.7688941956;11;80.1300672293;
72;5;23.0464115143;46.5;19;44.3395489454;8;47.9000015259;56.8294754028;10;80.7171308994;
73;6;22.75;48.1697731018;15;46.3725346327;7;46.9000015259;53.3900871277;10;79.1963680983;
74;6;23.75;50.180896759;15;46.4549498558;7;46.9000015259;55.4512634277;11;79.6506595612;
75;6;25.75;49.1920509338;13;46.5379737616;7;46.9000015259;57.512512207;12;80.0716106892;
76;6;24.75;53.180896759;13;46.6215285063;7;46.9000015259;59.5736846924;12;80.4618233442;
77;6;24.75;56.180896759;13;46.7055332661;7;46.9000015259;61.6346359253;13;80.8239966631;
78;6;25.75;56.180896759;14;46.7899054289;8;46.9000015259;63.6952133179;12;81.0594238043;
79;6;24.75;59.180896759;15;46.8745604753;8;46.9000015259;65.7552719116;14;81.2377138138;
80;6;24.75;61.3700294495;15;46.9594120979;8;45.9000015259;67.1188583374;16;81.4150352478;
81;6;25.75;60.4012031555;14;47.0443732738;8;40.9000015259;71.490524292;17;81.5910670757;
82;5;22.75;56.180896759;15;44.5637768507;9;37.9000015259;74.6137466431;15;84.2685813904;
83;5;22.75;58.180896759;16;44.5862361193;9;36.9000015259;78.7358474731;16;84.5036268234;
84;5;23.75;57.180896759;16;44.6086617708;9;37.0999984741;79.856628418;18;84.7364649773;
85;5;22.75;59.180896759;16;44.6310436726;9;35.0999984741;83.9758987427;18;84.9667615891;
86;5;22.75;61.180896759;17;44.6533719301;9;34.0999984741;88.0934677124;19;85.1942033768;
87;5;23.75;60.180896759;16;44.6756366491;9;35.0999984741;87.1371231079;20;85.4184980392;
88;5;22.75;62.180896759;17;44.6978281736;10;32.0999984741;91.1808395386;20;86.1581370831;
89;5;22.75;64.1808929443;17;44.7199368477;11;32.0999984741;95.2946777344;19;86.9192225933;
90;5;23.75;62.3599700928;17;44.7419531345;11;33.0999984741;96.1257781982;19;87.6978423595;
91;5;22.75;63.3709754944;18;44.7638677359;11;33.0999984741;96.5414733887;20;88.4896919727;
92;5;22.75;64.3819351196;19;44.7856714725;11;32.0999984741;99.9632339478;21;89.2901818752;
93;5;23.75;62.3928375244;20;44.8073554039;11;34.0999984741;98.0929641724;21;90.0945599079;
94;5;22.75;63.403678894;21;44.8289107084;11;33.0999984741;99.2258529663;22;90.8980419636;
95;5;22.75;64.4144592285;24;44.8503289223;11;32.0999984741;103.361480713;24;92.6959443092;
96;5;23.75;62.425163269;24;44.8716015816;11;34.0999984741;105.499382019;25;93.6438022852;
97;5;22.75;63.435798645;25;44.8927206993;12;36.0999984741;104.639053345;26;94.6012240648;
98;5;22.75;64.4463653564;24;44.9136784077;12;34.0999984741;109.779968262;27;95.5673770905;
99;5;23.75;62.4568405151;24;44.9344670773;12;35.0999984741;111.921577454;27;96.5420385599;
100;5;22.75;63.4672317505;25;44.9550794363;12;36.0999984741;111.063308716;28;97.5255634785;
