Turn;Planet_count_KI_1_SP_EGASSEM;Research_KI_1_SP_EGASSEM;Industry_KI_1_SP_EGASSEM;Ships_KI_1_SP_EGASSEM;Population_KI_1_SP_EGASSEM;Planet_count_KI_6_SP_FULVER;Research_KI_6_SP_FULVER;Industry_KI_6_SP_FULVER;Ships_KI_6_SP_FULVER;Population_KI_6_SP_FULVER;
1;1;6.0;13.3000001907;4;17.0;1;6.0;12.0;4;20.0;
2;1;7.0;12.3000001907;5;17.0;1;7.0;11.0;5;20.0;
3;1;7.55000019073;11.3000001907;4;17.0;1;8.0;10.0;5;20.0;
4;1;7.55000019073;10.3000001907;4;17.0;1;8.0;10.0;5;20.0;
5;2;7.55000019073;9.69999980927;3;18.0;1;8.0;10.0;5;20.0;
6;2;8.7750005722;8.5;3;18.0225000381;1;9.0;10.0;5;20.0;
7;2;9.05506229401;8.5;3;18.0452762842;2;9.5;10.1999998093;4;21.0;
8;2;9.06018733978;8.5;3;18.0683217049;2;9.72500038147;10.0;4;21.4399995804;
9;2;9.06537246704;8.5;3;18.4423123598;2;9.82400035858;10.1999998093;3;21.8075842857;
10;2;9.14952087402;8.67000007629;3;18.7648533583;2;9.90670585632;10.3632001877;3;22.1139252186;
11;2;9.2220916748;8.81392192841;3;19.0421307087;2;9.97563362122;10.4951858521;3;23.2202551365;
12;2;9.28448009491;8.93486309052;3;20.006701827;2;10.2245578766;11.0209560394;4;24.1495091915;
13;2;9.50150775909;9.39324569702;4;20.8474444151;2;12.000743866;11.4571752548;4;24.9154186249;
14;2;11.3063001633;9.78903102875;4;21.5679222345;2;14.000743866;11.8107032776;4;25.5381718874;
15;2;13.3063001633;10.1240053177;4;22.1770182848;2;16.000743866;12.0916318893;4;26.0404549837;
16;2;15.0206890106;10.9513301849;4;22.6868458986;2;17.0418491364;12.3113050461;4;26.4445723295;
17;2;16.3413105011;10.6309299469;4;23.1109120846;2;18.0564670563;12.4808797836;4;26.5497941971;
18;2;17.3535747528;10.8157100677;4;23.4627398252;2;19.0715370178;12.5;4;26.6187632084;
19;2;18.3661270142;10.9637317657;4;23.5923075676;2;19.9892215729;12.5;5;26.6896851063;
20;2;19.3082695007;11.0;4;23.6505492926;2;20.0051784515;12.5;6;26.7625159025;
21;2;19.3213748932;11.0;5;23.7099599838;2;20.021566391;12.5;7;26.8372021914;
22;2;19.3347415924;11.0;5;23.770493269;2;20.0383701324;12.5;7;26.9136811495;
23;2;18.9500007629;11.8852462769;5;23.8320976496;2;20.0555782318;12.5;7;26.9918802977;
24;2;18.9500007629;11.9160490036;5;23.8947169781;2;20.0731735229;12.5;7;27.0717172623;
25;2;18.9500007629;11.9473581314;5;23.9582901001;2;20.0911369324;12.5;8;27.1531002522;
26;3;18.9500007629;11.97914505;4;24.0227513313;2;20.1094474792;12.5;8;27.2359278202;
27;3;18.9500007629;11.0;4;24.0880305767;2;20.1280841827;12.5;8;27.320089817;
28;3;18.9500007629;12.0;5;24.1540534496;2;20.14702034;12.5;8;27.4054670334;
29;3;18.9500007629;12.0770263672;6;24.2207417488;2;20.166229248;12.5;8;27.4919323921;
30;4;18.9500007629;12.110370636;5;24.2880136967;2;19.625;13.5;8;27.5793509483;
31;4;17.4648036957;12.0;5;24.3557844162;2;18.2053546906;13.5;8;27.6675815582;
32;4;16.480052948;13.0;5;24.4239659309;2;17.2252063751;14.5;7;27.7564766407;
33;4;15.4953927994;14.0;5;24.4924681187;2;16.2452068329;15.5;7;27.8458836079;
34;4;14.5608053207;15.0;6;25.5611987114;2;15.2653236389;16.5;7;27.9356460571;
35;4;15.5762691498;16.0;6;25.7700642347;2;15.625;15.5;7;28.0256047249;
36;4;16.5917644501;17.0;6;25.996974349;2;14.6807613373;15.5;9;28.1155982018;
37;4;16.6072692871;18.0;7;26.2436783314;2;14.0;17.5;9;28.2054646015;
38;4;16.6227607727;19.0;8;26.5119775534;2;14.0;19.1027317047;9;28.2950425148;
39;4;16.638217926;20.0;8;26.8036829233;2;14.0;20.1475219727;10;28.3841719627;
40;4;16.6536216736;21.0;8;27.1205596924;2;14.0;21.1920852661;11;28.4726960659;
41;4;16.6689491272;22.0;9;27.4642567635;2;15.0;19.2363471985;11;28.5604617596;
42;4;16.684179306;23.0;10;27.8362212181;2;16.0;18.2802314758;12;28.647320509;
43;4;16.6992950439;24.0;8;28.2375984192;2;14.8206472397;17.5;12;28.7331302166;
44;4;16.7142734528;25.0;9;28.6691191196;2;14.8399543762;18.5;12;28.8177554607;
45;4;16.7290992737;26.0;9;29.1309814453;2;15.0;17.5;12;28.9010682106;
46;4;16.7437496185;27.0;9;29.6227312088;2;14.87774086;17.5;13;28.9829490185;
47;4;16.7582111359;28.0;9;30.143153429;2;14.8961639404;18.5;13;29.0632872581;
48;4;16.7724685669;29.0;9;30.6901848316;2;14.9142398834;19.5;14;29.1419816017;
49;4;16.7865028381;30.0;9;31.2608644962;2;14.9319458008;20.5;14;29.218940258;
50;4;17.8003005981;28.0;9;31.851329565;2;15.9492616653;19.5;15;29.2940821648;
51;4;18.0;29.0;10;32.4568707943;2;16.0;19.5;15;29.3673357964;
52;4;19.8271408081;30.0;10;33.072053194;2;17.0;20.5;15;29.4386396408;
53;4;20.0;31.0;11;33.6908977032;2;18.9986934662;21.5;15;29.5079426765;
54;4;20.9500007629;32.0;12;34.3071146011;2;20.0142860413;22.5;16;29.5752038956;
55;4;20.9500007629;33.0;13;34.9143753052;2;19.625;23.5;16;29.6403913498;
56;4;20.9500007629;33.0;14;35.5065915585;2;19.625;24.5;16;29.7034826279;
57;4;20.9500007629;33.0;15;36.078183651;2;19.625;24.8517417908;17;29.7644639015;
58;4;20.9500007629;33.0;15;36.6243066788;2;20.625;22.8517417908;17;29.8233304024;
59;4;20.9500007629;32.6484031677;15;37.141017437;2;20.7102489471;22.5;17;29.8800849915;
60;4;20.9500007629;31.6920471191;15;37.6253733635;2;20.7230186462;22.5;17;29.9347376823;
61;5;20.9500007629;30.7344207764;15;38.0754561424;2;19.625;23.5;17;29.9873056412;
62;5;20.9500007629;29.7755241394;15;38.4903311729;4;19.625;24.5;14;50.0;
63;5;20.9500007629;29.8153553009;15;38.8378238678;4;18.625;24.5;16;51.2000007629;
64;5;20.9500007629;29.8250007629;12;39.1414642334;4;18.625;26.5;16;52.2175998688;
65;5;20.9500007629;29.8250007629;12;39.4132852554;4;18.625;29.5;17;53.0579586029;
66;5;20.9500007629;29.8250007629;10;39.6550569534;4;18.625;32.5;18;53.736333847;
67;5;20.9500007629;29.8250007629;11;40.8688602448;4;19.0;35.0;18;54.273645401;
68;5;21.9500007629;30.8250007629;11;41.0569553375;4;20.0;36.0;19;54.6926937103;
69;5;22.9500007629;31.8250007629;11;41.2216787338;4;21.0;37.0;19;55.0;
70;5;23.1750011444;32.8250007629;12;41.25;5;22.0;38.0;19;55.0;
71;5;24.1312503815;32.8250007629;13;41.25;5;23.0;39.0;20;55.0;
72;5;24.1312503815;33.8250007629;14;41.25;5;23.5;40.0;20;55.0;
73;5;24.1312503815;34.0;14;41.25;5;23.5;41.0;21;55.0;
74;5;24.1312503815;35.0;14;41.25;5;23.5;42.0;21;55.0;
75;5;24.1312503815;36.0;14;41.25;5;24.5;40.0;22;55.0;
