Turn;Planet_count_KI_1_SP_EGASSEM;Research_KI_1_SP_EGASSEM;Industry_KI_1_SP_EGASSEM;Ships_KI_1_SP_EGASSEM;Population_KI_1_SP_EGASSEM;Planet_count_KI_6_SP_FULVER;Research_KI_6_SP_FULVER;Industry_KI_6_SP_FULVER;Ships_KI_6_SP_FULVER;Population_KI_6_SP_FULVER;
1;1;6.0;13.3000001907;4;17.0;1;6.0;12.0;4;20.0;
2;1;7.0;12.3000001907;5;17.0;1;7.0;11.0;5;20.0;
3;1;7.55000019073;11.3000001907;5;17.0;1;8.0;10.0;6;20.0;
4;1;7.55000019073;10.3000001907;5;17.0;1;8.0;10.0;6;20.0;
5;1;7.55000019073;9.30000019073;5;17.0;1;8.0;10.0;5;20.0;
6;1;8.55000019073;8.5;5;17.0;1;9.0;10.0;5;20.0;
7;1;8.82499980927;8.5;5;17.0;1;9.5;10.0;5;20.0;
8;1;8.82499980927;8.5;5;17.0;1;9.5;10.0;5;20.3999996185;
9;1;8.82499980927;8.5;5;17.3400001526;1;9.59000015259;10.1999998093;5;20.7264003754;
10;1;8.9015007019;8.67000007629;5;17.6278438568;1;9.66343975067;10.3632001877;5;20.9903717041;
11;1;8.96626472473;8.81392192841;5;17.869726181;1;9.72283363342;10.4951858521;5;22.0419120789;
12;1;9.02068901062;8.93486309052;5;18.786491394;1;9.95943069458;11.0209560394;5;22.9143505096;
13;1;9.22696018219;9.39324569702;6;19.5780620575;1;10.1557292938;11.4571752548;5;23.6214065552;
14;1;11.0206890106;9.78903102875;6;20.2480106354;1;10.3148164749;11.8107032776;5;24.1832637787;
15;1;12.0206890106;10.1240053177;6;20.8052330017;1;11.3148164749;12.0916318893;5;24.6226100922;
16;2;14.0206890106;10.8026161194;5;22.2618598938;1;12.3148164749;12.3113050461;5;24.9617595673;
17;2;16.0206890106;11.0309295654;5;22.7389200926;1;12.6163959503;12.4808797836;5;25.0;
18;2;17.2698764801;10.8157100677;5;23.1528291702;1;14.3148164749;12.5;5;25.0;
19;2;18.2963962555;10.9637317657;5;23.3543308973;1;15.3148164749;12.5;6;25.0;
20;2;19.2547245026;11.0;5;23.4951226711;1;16.3148155212;12.5;6;25.0;
21;2;19.286403656;11.0;5;23.6484457254;1;17.3148155212;12.5;6;25.0;
22;2;18.9500007629;11.8242225647;6;23.8149644136;1;17.625;12.5;6;25.0;
23;2;18.9500007629;11.9074821472;7;23.9952818155;1;17.625;12.5;6;25.0;
24;2;18.9500007629;11.9976406097;7;24.1899158955;1;17.625;12.5;6;25.0;
25;2;18.9500007629;12.0949583054;7;24.399273634;1;17.625;12.5;7;25.0;
26;2;18.9500007629;12.1996364594;6;24.6236231327;1;17.625;12.5;7;25.0;
27;2;18.9500007629;12.3118114471;6;24.8630647659;1;17.625;12.5;7;25.0;
28;2;18.9500007629;12.4315319061;8;25.1175034046;1;17.625;12.5;7;25.0;
29;2;19.6514396667;11.0;8;25.3866217136;1;17.625;12.5;7;25.0;
30;2;19.7119903564;11.0;8;25.6698577404;1;17.625;12.5;7;25.0;
31;2;17.775718689;12.0;8;25.9663875103;1;17.625;12.5;7;25.0;
32;3;16.8424377441;13.0;7;34.8283586502;2;17.625;12.5;6;25.0;
33;3;16.911901474;14.0;7;35.6137933731;2;18.625;13.0;5;26.0;
34;3;17.0338020325;15.0;8;36.3917894363;2;19.625;13.0;5;26.0900000334;
35;3;18.1077728271;16.0;8;37.1569633484;2;19.625;13.0450000763;5;26.1871190071;
36;3;19.1833972931;17.0;8;37.9043812752;2;19.625;13.0935592651;6;26.2917383909;
37;3;19.0;19.0;8;38.6296572685;2;19.625;13.1458692551;6;26.4042263031;
38;3;19.2053031921;21.0;8;39.3290205002;2;19.625;13.2021131516;6;26.5249304771;
39;4;19.311580658;23.0;7;39.9993486404;2;19.9681091309;12.5;6;26.6541694403;
40;4;19.4096488953;25.0;7;40.6381707191;2;19.625;13.3270845413;6;26.7922235727;
41;4;19.4994773865;27.0;7;41.2436509132;2;19.625;13.3961114883;6;26.9393253326;
42;4;19.5811920166;29.0;7;41.8145499229;2;19.625;13.4696626663;7;27.0956480503;
43;4;19.6550598145;30.8679122925;7;42.3501801491;2;20.0965213776;12.5;7;27.261295557;
44;4;19.7214546204;32.1507987976;7;42.8503494263;2;19.625;13.5;8;27.4362905025;
45;4;19.7808170319;33.4228630066;7;43.3153066635;3;17.625;14.7181453705;7;27.6205644608;
46;4;19.8336448669;34.6828422546;7;43.7456798553;4;16.625;15.8102817535;6;37.8139474392;
47;4;19.8804607391;35.9297294617;7;45.069776535;4;16.625;16.5;6;38.4161589146;
48;4;20.8999996185;37.1627998352;7;45.402867198;4;16.625;18.5;6;39.0012028217;
49;4;23.8999996185;35.1627998352;7;45.7269530296;4;16.0;20.5;7;39.5672996044;
50;4;24.2561359406;37.1627998352;8;46.0424183607;4;16.0;22.5;7;40.1132266521;
51;4;26.2875213623;36.1627998352;8;46.3498535156;4;17.0;23.5;7;40.6382529736;
52;4;28.3212680817;37.0;9;46.6500134468;4;18.0;25.5;8;41.1420550346;
53;4;29.1281452179;38.0;9;46.9437764883;4;19.0;27.5;8;41.6246304512;
54;4;29.1651630402;37.0;9;47.2320991755;4;20.0;29.5;8;42.0862107277;
55;4;29.198972702;36.0;10;47.5159759521;4;21.0;31.5;8;42.5271801949;
56;4;29.2297458649;35.0;10;47.7963993549;4;22.625;32.5;8;42.948012352;
57;4;29.2576694489;34.0;9;48.011295557;4;22.7789878845;33.5;7;43.3492183685;
58;4;27.9360580444;34.0;9;48.1862905025;4;21.625;35.5;8;43.6272368431;
59;5;27.5808887482;34.0;9;48.3705644608;4;21.625;37.5;9;43.8733024597;
60;5;27.6361694336;34.0;9;48.5639474392;4;22.625;36.5;11;44.1156759262;
61;5;27.694185257;35.0;9;48.766159296;5;21.625;37.5999984741;10;44.353228569;
62;5;27.7548484802;36.0;11;48.9768030643;5;21.625;38.5999984741;12;44.5849161148;
63;6;27.8180408478;37.0;10;64.195360899;5;22.625;36.5999984741;12;44.8097963333;
64;6;28.8836078644;39.0;10;65.1711919308;5;23.1572036743;36.5999984741;12;45.0270428658;
65;6;29.9513568878;41.0;10;67.0729091167;5;23.2060852051;36.5999984741;12;45.2359538078;
66;5;28.8500003815;39.0;11;63.8472899199;6;21.625;37.5999984741;10;49.3394935131;
67;5;30.8500003815;41.6749992371;10;64.4533886909;6;23.625;37.5999984741;9;50.7681322098;
68;5;32.2061386108;43.6749992371;10;64.9930647612;6;26.3409900665;39.5999984741;10;51.2317709923;
69;5;33.2375221252;44.6749992371;11;65.4733161926;6;26.625;42.5999984741;9;51.6903343201;
70;6;34.271270752;45.6749992371;12;65.901948452;6;27.0141048431;45.5999984741;10;52.1426045895;
71;6;35.3074798584;45.6749992371;12;67.8365978003;6;27.3414955139;48.5999984741;10;52.5874117613;
72;6;34.4288253784;46.8926887512;12;69.5025638342;6;28.4262504578;47.5999984741;11;53.0236424208;
73;6;36.5447731018;46.6864700317;13;70.9321824312;6;27.2386016846;49.2059211731;11;53.4502513409;
74;6;38.6560974121;47.0766830444;14;72.1592857838;6;28.5961647034;46.5999984741;12;53.8662736416;
75;6;39.4614448547;47.4037895203;14;72.9946722984;6;27.3869895935;47.5999984741;13;54.2708380222;
