Turn;Planet_count_KI_1_SP_TRITH;Research_KI_1_SP_TRITH;Industry_KI_1_SP_TRITH;Ships_KI_1_SP_TRITH;Population_KI_1_SP_TRITH;Planet_count_KI_6_SP_HUMAN;Research_KI_6_SP_HUMAN;Industry_KI_6_SP_HUMAN;Ships_KI_6_SP_HUMAN;Population_KI_6_SP_HUMAN;
1;1;11.3999996185;16.0;4;32.0;1;9.0;10.0;4;20.0;
2;2;11.5999994278;16.0;5;33.0;1;9.0;10.0;5;20.0;
3;2;11.5999994278;16.0;5;32.5247998238;1;9.0;10.0;5;20.0;
4;2;11.5049600601;15.7695999146;5;31.7929909229;1;9.0;10.0;5;20.0;
5;2;12.5968675613;15.4147834778;5;31.1343644857;1;10.0;10.0;5;20.0;
6;2;13.590880394;15.0954494476;5;30.5415995121;1;11.0;10.0;5;20.0;
7;2;14.1624794006;14.8080482483;5;30.0844961405;1;11.0;10.0;5;20.3999996185;
8;2;14.025349617;14.5875797272;5;29.6731035113;2;11.4200000763;10.1999998093;4;21.7264003754;
9;2;13.9019317627;14.3891582489;5;29.6360900998;2;11.5179204941;10.3632001877;4;21.9903717041;
10;2;16.0253677368;14.3633460999;5;29.6043456197;2;11.597111702;10.4951858521;4;23.0719120502;
11;2;18.0253677368;14.3401155472;4;29.5773496032;2;11.9215736389;11.0209560394;4;23.9749414921;
12;2;20.0253677368;14.3192081451;4;29.5546329618;2;13.9215736389;11.4571752548;4;24.7131726742;
13;2;21.0387039185;14.3003911972;4;29.535774231;2;15.9215736389;11.8107032776;5;25.3067810535;
14;2;22.0432071686;14.2834558487;5;29.5203937888;2;16.94962883;12.0916318893;4;25.7784451246;
15;2;22.8561172485;14.2682142258;5;29.5081480742;2;17.9593238831;12.3113050461;4;26.1504684687;
16;2;22.8524436951;14.2544965744;5;29.498729825;2;18.9691867828;12.4808797836;4;26.2221269608;
17;2;22.8496208191;14.2421512604;4;29.4918581247;2;19.9792118073;12.5;3;26.2560760975;
18;3;22.8475570679;14.2310400009;3;29.487282753;2;20.989397049;12.5;3;26.2905418873;
19;3;22.8461837769;14.221039772;3;29.4847780466;2;21.8871631622;12.5;4;26.3255085945;
20;3;22.8454322815;14.2120399475;5;29.4841372967;2;21.8976516724;12.5;5;26.3609591722;
21;4;22.8452415466;14.2039394379;4;29.4851785898;2;21.9082870483;12.5;5;26.3968753815;
22;4;22.8455543518;14.1966495514;4;29.4877332449;2;21.9190635681;12.5;4;26.4332377911;
23;4;22.846321106;14.1900882721;4;29.4916516542;2;21.9299716949;12.5;4;26.4700255394;
24;4;22.510509491;14.7458257675;3;29.4967992306;3;21.9410076141;12.5;3;26.5072168112;
25;4;20.8522281647;15.1841831207;3;29.5030510426;3;21.5;12.5;3;26.5447884798;
26;4;19.8569736481;16.1841831207;4;30.5102955103;3;21.9634361267;12.5;4;26.5827163458;
27;4;19.8617286682;17.1841831207;4;30.716760993;3;21.9748153687;12.5;4;26.6209751368;
28;4;19.8664951324;18.1841831207;4;30.9609849453;3;21.9862918854;12.5;4;26.6595385075;
29;4;19.3013534546;19.1841831207;4;31.2487505674;3;21.9978618622;12.5;4;26.6983793974;
30;4;18.3895645142;20.1841831207;4;31.5863505602;3;22.009513855;12.5;4;26.7374696732;
31;4;17.4925403595;21.1841831207;4;31.9804378748;3;22.0212402344;12.5;4;26.7767804861;
32;4;17.1017818451;22.1841831207;4;33.4377756119;3;21.5;13.3883905411;4;27.8162822723;
33;4;18.2403564453;23.1841831207;4;34.0107132196;3;22.5;13.9081411362;4;27.8859447241;
34;4;19.399723053;24.1841831207;5;34.660810113;3;22.0567836761;13.5;4;27.9563282728;
35;5;19.909614563;25.1841831207;4;35.3924595118;3;23.0687217712;13.030295372;4;28.0273946524;
36;5;19.0;25.4124965668;6;36.2079064846;3;23.8275299072;13.4678144455;4;28.0991044044;
37;5;19.7569904327;24.1841831207;6;37.106425643;3;22.429731369;13.5;4;28.1714161634;
38;5;20.6460113525;25.1841831207;7;38.0835381746;3;22.5;14.077917099;4;28.2442876101;
39;5;20.9398727417;26.1841831207;7;39.1304219961;3;23.8566131592;13.5277891159;4;28.3176748753;
40;5;21.2545948029;27.1841831207;8;40.2336564064;3;22.4953022003;13.5;4;28.3915326595;
41;5;22.1680278778;28.1841831207;8;41.3755030632;3;22.8768234253;13.5;5;28.4658150673;
42;5;23.4878311157;30.1841831207;10;42.5347709656;3;24.5397453308;16.5;6;28.5404746532;
43;5;24.8179416656;32.1841812134;10;43.6882795095;3;24.5621414185;19.5;6;28.6154631376;
44;5;26.6239833832;34.1841812134;11;44.8127384186;3;24.5846385956;22.5;8;28.6907315254;
45;5;27.0274505615;36.1841812134;13;45.8867353201;3;24.607219696;25.5;8;28.7662303448;
46;5;28.7674865723;36.0454673767;13;46.892490387;3;24.6298694611;27.5;8;28.8419091702;
47;6;29.625951767;34.8685874939;12;52.8170725107;3;24.6525726318;27.5;9;28.917717576;
48;6;31.910610199;35.1352767944;12;53.8028995991;3;24.6753158569;27.5;10;28.993604064;
49;7;33.1362838745;36.134853363;10;58.348850131;3;24.6980819702;27.5;10;29.0695174932;
50;7;34.3356170654;38.1344718933;10;59.2910479307;3;24.7208557129;27.5;10;29.1454066038;
51;7;35.0959892273;40.8368606567;10;60.1463052034;3;24.2573299408;28.3104877472;13;29.2212197781;
52;7;35.2461967468;42.8365516663;12;60.9213262796;3;23.9978618622;28.5;13;29.2969058752;
53;7;35.7882614136;44.1335411072;12;61.6240109205;3;24.2795581818;28.3491897583;13;29.3724138737;
