Turn;Planet_count_KI_1_SP_TRITH;Research_KI_1_SP_TRITH;Industry_KI_1_SP_TRITH;Ships_KI_1_SP_TRITH;Population_KI_1_SP_TRITH;Planet_count_KI_6_SP_HUMAN;Research_KI_6_SP_HUMAN;Industry_KI_6_SP_HUMAN;Ships_KI_6_SP_HUMAN;Population_KI_6_SP_HUMAN;
1;1;11.3999996185;16.0;4;32.0;1;9.0;10.0;4;20.0;
2;1;11.3999996185;16.0;4;31.7439994812;1;9.0;10.0;5;20.0;
3;1;11.3487997055;15.8719997406;3;31.5135993958;1;9.0;10.0;5;20.0;
4;1;11.3027200699;15.7567996979;3;31.3062400818;1;9.0;10.0;5;20.0;
5;1;12.3027200699;15.6531200409;3;31.1196155548;1;10.0;10.0;5;20.0;
6;1;13.3027200699;15.5598077774;3;30.9516544342;1;11.0;10.0;5;20.0;
7;1;14.2854967117;15.4758272171;3;30.8924884796;2;12.0;10.0;4;21.3999996185;
8;1;14.2677469254;15.4462442398;3;30.8392391205;2;13.1199998856;10.1999998093;4;21.7264003754;
9;1;14.2517719269;15.4196195602;3;32.1347236633;2;14.2179203033;10.3632001877;4;21.9903717041;
10;1;16.2677459717;16.0673618317;3;33.0683250427;2;14.597111702;10.4951858521;4;23.0719120502;
11;1;17.2677459717;16.5341625214;3;33.72032547;2;14.9215736389;11.0209560394;4;23.9749414921;
12;1;18.2677459717;16.860162735;5;34.0400009155;2;16.9215736389;11.4571752548;4;24.7131726742;
13;2;19.2677459717;17.0200004578;4;34.0400009155;2;18.9215736389;11.8107032776;5;25.3067810535;
14;2;20.2677459717;17.0200004578;5;34.0400009155;2;19.94962883;12.0916318893;5;25.7784451246;
15;2;21.2677459717;17.0200004578;5;34.0400009155;2;20.9593238831;12.3113050461;5;26.1504684687;
16;2;22.2119998932;17.0200004578;6;34.0400009155;2;21.9691867828;12.4808797836;5;26.2221269608;
17;2;22.2119998932;17.0200004578;6;34.0400009155;2;22.9792118073;12.5;5;26.2560760975;
18;2;22.2119998932;17.0200004578;7;34.0400009155;2;23.989397049;12.5;5;26.2905418873;
19;2;22.2119998932;17.0200004578;7;34.0400009155;2;24.8871631622;12.5;6;26.3255085945;
20;2;22.2119998932;17.0200004578;8;34.0400009155;2;24.8976516724;12.5;6;26.3609591722;
21;2;22.2119998932;17.0200004578;8;34.0400009155;2;24.9082870483;12.5;6;26.3968753815;
22;2;22.2119998932;17.0200004578;9;34.0400009155;2;24.9190635681;12.5;6;26.4332377911;
