Turn;Planet_count_KI_1_SP_TRITH;Research_KI_1_SP_TRITH;Industry_KI_1_SP_TRITH;Ships_KI_1_SP_TRITH;Population_KI_1_SP_TRITH;Planet_count_KI_6_SP_HUMAN;Research_KI_6_SP_HUMAN;Industry_KI_6_SP_HUMAN;Ships_KI_6_SP_HUMAN;Population_KI_6_SP_HUMAN;
1;2;11.5999994278;16.0;3;33.0;1;9.0;10.0;4;20.0;
2;2;11.5999994278;16.0;3;33.1799999475;1;9.0;10.0;4;20.0;
3;2;11.6359996796;16.0;3;33.3902759552;1;9.0;10.0;4;20.0;
4;2;11.6780548096;16.0;3;33.3590792418;1;9.0;10.0;4;20.0;
5;2;12.8845233917;15.8719997406;3;33.3862023354;1;10.0;10.0;4;20.0;
6;2;13.9617805481;15.7567996979;3;33.4726057053;1;11.0;10.0;4;20.0;
7;2;15.0417823792;15.6531200409;3;33.7313950062;1;11.0;10.0;4;20.3999996185;
8;2;15.1194190979;15.6058082581;3;34.0483961105;2;11.4200000763;10.1999998093;3;21.7264003754;
9;2;15.2145185471;15.5632276535;3;35.8017880917;2;11.5179204941;10.3632001877;3;21.9903717041;
10;2;17.4006404877;16.1723022461;3;37.2883872986;2;11.597111702;10.4951858521;3;23.0819120407;
11;2;19.4006404877;16.60820961;4;38.5931921005;2;11.9245738983;11.0209560394;3;23.99553442;
12;3;21.4006404877;16.9110736847;3;39.5967869759;2;13.9245738983;11.4571752548;3;24.7449600697;
13;3;23.0305213928;17.0200004578;3;40.468269825;2;15.9245738983;11.8107032776;3;25.3503712416;
14;3;24.2919654846;17.0200004578;3;41.4204077721;2;16.9627056122;12.0916318893;3;25.8344515562;
15;3;25.5776062012;17.0200004578;4;42.4433021545;2;17.9761257172;12.3113050461;3;26.2195074558;
16;3;26.7329902649;17.0200004578;4;43.5220088959;2;18.9898986816;12.4808797836;3;26.3048160076;
17;3;27.056602478;17.0200004578;5;44.6369028091;2;20.0040187836;12.5;3;26.3530313969;
18;3;27.3910713196;17.0200004578;5;45.7647418976;2;21.0184822083;12.5;5;26.4023760557;
19;3;27.7294235229;17.0200004578;5;46.8803815842;3;21.5;12.920712471;4;26.4528282881;
20;3;28.0641136169;17.0200004578;5;47.9589242935;3;21.5;12.5;4;26.5043625832;
21;3;28.387676239;17.0200004578;6;48.9779396057;3;21.5;12.9513092041;4;26.5569496155;
22;3;26.387676239;18.0200004578;7;49.9193372726;3;21.9670848846;12.5;5;26.6105561256;
23;3;27.387676239;17.0200004578;7;50.7705745697;3;21.9831676483;12.5;6;26.6651450396;
24;3;28.387676239;17.0200004578;7;51.5250282288;3;21.5;12.99954319;6;26.72067523;
25;3;29.387676239;17.0200004578;7;52.1815853119;3;21.5;13.0162029266;7;26.7771017551;
26;3;29.6544761658;17.0200004578;8;52.743686676;3;22.0331306458;12.5;7;26.8343759775;
27;4;29.8231048584;17.0200004578;8;53.2180709839;3;21.5;13.4171876907;8;26.8924454451;
28;4;29.9654197693;17.0200004578;8;53.6135101318;3;22.0677337646;12.5;8;26.9512542486;
29;4;30.0840530396;17.0200004578;9;53.9397010803;3;21.5;13.4756269455;8;27.0107431412;
30;4;28.1819095612;18.0200004578;9;54.2064170837;3;20.1032218933;13.5;9;27.0708494186;
31;4;27.2619247437;19.0200004578;10;54.2800006866;3;19.1212539673;14.5;9;27.1315076351;
32;4;26.2840003967;20.0200004578;10;54.2800006866;3;18.1394519806;15.5;10;27.1926498413;
33;4;25.2840003967;21.0200004578;10;54.2800006866;3;17.1577949524;16.5;10;27.2542052269;
34;4;26.2840003967;23.0200004578;10;54.2800006866;3;16.1762619019;17.5;11;27.3161010742;
35;4;24.2840003967;25.0200004578;11;54.2800006866;4;14.5;19.5;6;42.3782629967;
36;4;23.2840003967;27.0200004578;11;54.2800006866;4;15.7134790421;20.5;6;43.1906147003;
37;4;22.2840003967;29.0200004578;12;55.2800006866;4;16.7321853638;20.5;7;43.9224538803;
38;4;24.2840003967;29.0200004578;12;55.2971206903;4;17.7509231567;21.5;7;44.5728693008;
39;4;26.2840003967;29.0200004578;12;55.3143596649;4;18.0;23.5;7;45.1443061829;
40;4;27.5943088531;30.0200004578;13;55.3317124844;4;19.0;24.8140182495;8;45.6416988373;
41;4;28.5995140076;31.0200004578;13;55.3491739035;4;20.8071117401;24.5;7;46.0715999603;
42;4;29.6047515869;32.0200004578;14;55.3667385578;4;22.0;23.5;8;46.4413905144;
43;6;30.577419281;32.0200004578;7;74.0114188194;3;16.0;22.9071865082;8;27.8758842945;
44;6;32.2840003967;33.5280227661;7;74.2849180698;3;17.8627662659;22.9071865082;8;27.936971426;
45;6;34.2840003967;34.5361938477;7;74.4199956656;3;18.0;22.9071865082;8;27.9975619316;
46;6;34.2840003967;35.5443992615;7;74.437916398;3;19.0;22.9071865082;8;28.0575861931;
47;6;34.2840003967;36.5526428223;8;74.4559113979;3;20.0;22.9071865082;10;28.1169772148;
48;6;34.2840003967;37.5609207153;9;74.4739744663;3;21.0;23.9071865082;10;28.1756706238;
49;6;34.2840003967;38.569229126;10;74.4920992851;3;21.5;24.0878353119;11;28.2336053848;
50;6;34.2840003967;39.5775680542;11;74.5102795362;3;21.5;24.1168022156;12;28.2907235622;
51;6;34.2840003967;40.5859298706;11;74.5285087824;3;21.5;24.145362854;13;28.346971035;
52;6;34.2840003967;41.5943145752;11;74.5467805862;3;21.5;24.1734848022;13;28.4022974968;
53;6;34.2840003967;42.6027183533;12;74.5650883913;3;21.5;24.2011489868;14;28.4566559792;
54;5;32.2840003967;32.6625442505;12;55.5834255219;5;22.5;22.5;11;47.5100040436;
55;5;32.6750259399;32.0200004578;12;57.4676617384;5;22.5;24.5;11;47.5623030663;
56;5;30.6679706573;34.326423645;12;58.8449174166;5;23.5;26.2811508179;12;47.6135182381;
57;5;32.3395843506;33.0979385376;13;59.8374079466;5;24.5;25.5;12;47.6636190414;
58;5;30.1049518585;35.0846443176;13;60.1971298456;5;24.5990867615;26.5;13;47.7125790119;
59;5;29.1120014191;36.111541748;12;60.333605051;6;24.6137733459;27.5;12;47.7603754997;
60;5;28.5480823517;36.4000015259;12;60.3643400669;6;24.628112793;28.5;12;47.8069901466;
61;5;27.5573043823;37.4000015259;12;60.3952686787;6;24.6420974731;29.5;12;47.8524079323;
62;5;27.0400009155;39.1576347351;14;60.4263731241;6;24.6557216644;27.5;12;47.8966178894;
