Turn;Planet_count_KI_1_SP_TRITH;Research_KI_1_SP_TRITH;Industry_KI_1_SP_TRITH;Ships_KI_1_SP_TRITH;Population_KI_1_SP_TRITH;Planet_count_KI_6_SP_HUMAN;Research_KI_6_SP_HUMAN;Industry_KI_6_SP_HUMAN;Ships_KI_6_SP_HUMAN;Population_KI_6_SP_HUMAN;
1;2;11.5999994278;16.0;3;33.0;1;9.0;10.0;4;20.0;
2;2;11.5999994278;16.0;3;33.0299999714;1;9.0;10.0;4;20.0;
3;2;11.6059999466;16.0;3;32.5953412056;1;9.0;10.0;4;20.0;
4;2;11.519068718;15.7695999146;3;32.2071495056;1;9.0;10.0;4;20.0;
5;2;12.6326417923;15.5622396469;3;31.6953060627;1;10.0;10.0;4;20.0;
6;2;13.64021492;15.2936954498;3;31.2374806404;1;11.0;10.0;4;20.0;
7;2;14.3712444305;15.0520057678;2;30.9087734222;1;11.0;10.0;4;20.3999996185;
8;2;14.2726316452;14.8747253418;2;30.615811944;1;11.1199998856;10.1999998093;4;20.7264003754;
9;2;14.1847438812;14.7151727676;3;31.0181108713;2;11.5179204941;10.3632001877;3;21.9903717041;
10;2;16.2969894409;14.8887996674;4;31.0750291348;2;11.597111702;10.4951858521;3;23.0819120407;
11;2;18.2969894409;14.8887996674;5;31.1338205338;2;11.9245738983;11.0209560394;3;23.99553442;
12;2;20.2969894409;14.8887996674;5;31.194478631;2;13.9245738983;11.4571752548;3;24.7449600697;
13;2;21.349899292;14.8887996674;5;31.2569901943;2;15.9245738983;11.8107032776;3;25.3503712416;
14;2;22.3686523438;14.8887996674;5;31.3213349581;2;16.9627056122;12.0916318893;3;25.8344515562;
15;2;23.3879566193;14.8887996674;4;31.3874850273;2;17.9761257172;12.3113050461;3;26.2195074558;
16;2;23.4162464142;14.8887996674;4;31.4554047585;2;18.9898986816;12.4808797836;4;26.3048160076;
17;2;23.4366226196;14.8887996674;4;31.5250504017;3;20.0040187836;12.5;3;26.3530313969;
18;2;23.4575157166;14.8887996674;6;31.5963699818;3;20.6125736237;12.5;3;26.4023760557;
19;2;23.4789123535;14.8887996674;6;31.6693031788;3;21.9207134247;12.5;3;26.4528282881;
20;2;23.5007915497;14.8887996674;7;31.7437813282;3;21.9358482361;12.5;3;26.5043625832;
21;2;23.5231361389;14.8887996674;7;31.8197274208;3;21.9513092041;12.5;3;26.5569496155;
22;2;23.5459194183;14.8887996674;7;31.8970561028;3;21.9670848846;12.5;3;26.6105561256;
23;2;22.9332809448;15.8887996674;7;31.9756741524;3;21.9831676483;12.5;3;26.6651450396;
24;3;22.9332809448;15.9878368378;6;32.0554802418;3;21.9995441437;12.5;3;26.72067523;
25;3;21.616645813;15.8887996674;6;32.1363658905;3;22.0162029266;12.5;3;26.7771017551;
26;3;21.9332809448;15.8887996674;6;32.2182159424;3;22.0331306458;12.5;3;26.8343759775;
27;3;22.9332809448;16.1091079712;7;32.3009085655;3;21.5;13.4171876907;3;26.8924454451;
28;3;22.9332809448;16.1504535675;7;32.384316206;3;22.0677337646;12.5;3;26.9512542486;
29;3;22.9332809448;16.1921577454;7;32.4683067799;3;21.5;13.4756269455;2;27.0107431412;
30;3;21.7404937744;15.8887996674;7;32.5527436733;3;20.1032218933;13.5;2;27.0708494186;
31;3;21.9332809448;15.8887996674;7;32.6374869347;3;19.1212539673;14.5;3;27.1315076351;
