Turn;Planet_count_KI_1_SP_TRITH;Research_KI_1_SP_TRITH;Industry_KI_1_SP_TRITH;Ships_KI_1_SP_TRITH;Population_KI_1_SP_TRITH;Planet_count_KI_6_SP_HUMAN;Research_KI_6_SP_HUMAN;Industry_KI_6_SP_HUMAN;Ships_KI_6_SP_HUMAN;Population_KI_6_SP_HUMAN;
1;1;11.3999996185;16.0;4;32.0;1;9.0;10.0;4;20.0;
2;1;11.3999996185;16.0;6;32.0;1;9.0;10.0;5;20.0;
3;1;11.3999996185;16.0;6;32.0;1;9.0;10.0;5;20.0;
4;1;11.3999996185;16.0;6;32.0;1;9.0;10.0;5;20.0;
5;1;12.3999996185;16.0;6;32.0;1;10.0;10.0;5;20.0;
6;1;13.3999996185;16.0;6;32.0;1;11.0;10.0;5;20.0;
7;1;14.3999996185;16.0;6;32.6399993896;1;11.0;10.0;5;20.3999996185;
8;2;15.0920000076;16.3199996948;5;34.0;1;11.1199998856;10.1999998093;5;20.7264003754;
9;2;15.1999998093;16.5;5;35.6842415333;1;11.2179203033;10.3632001877;5;20.9903717041;
10;2;17.1022720337;17.3250007629;5;36.8800740242;1;11.2971115112;10.4951858521;5;22.0419120789;
11;2;19.1022720337;17.9053878784;5;37.6999232769;1;11.6125736237;11.0209560394;5;22.9143505096;
12;2;21.1022720337;18.2973766327;5;38.1418486834;1;11.8743057251;11.4571752548;5;23.6214065552;
13;2;22.1345539093;18.5;6;38.1793259382;2;14.6125736237;11.8107032776;5;25.1832637787;
14;2;23.1457977295;18.5;6;38.2175911665;2;16.6125736237;12.0916318893;5;25.6526100636;
15;2;24.1572761536;18.5;6;38.2566320896;2;17.9215736389;12.3113050461;4;26.0223505497;
16;2;25.1689891815;18.5;7;38.2964342833;2;18.9307518005;12.4808797836;4;26.091766119;
17;4;25.4889297485;18.5;5;38.3369811773;2;19.9401035309;12.5;4;26.1235172749;
18;4;25.5010948181;18.5;5;38.378254056;2;20.94962883;12.5;4;26.1558350325;
19;4;25.5134773254;18.5;5;38.4202321768;2;21.8467502594;12.5;7;26.1887089014;
20;4;25.5260696411;18.5;5;38.4576570988;3;21.8566131592;12.5;4;46.2221269608;
21;4;25.1000003815;19.2288284302;5;38.4955227375;3;22.8666381836;12.5;4;47.4560768604;
22;4;25.1000003815;19.2477607727;6;38.533805728;3;23.8768234253;12.5;4;48.5081417561;
23;4;25.1000003815;19.5736637115;6;38.572481513;3;24.8871631622;12.5;5;49.3834671974;
24;4;25.1000003815;19.600736618;6;38.6115243435;3;25.8976516724;12.5;5;50.0972930193;
25;4;25.1000003815;19.6280670166;6;38.6509073973;3;26.9082870483;12.5;5;50.6705207825;
26;4;25.1000003815;19.6556358337;6;38.6906026602;3;27.9190635681;12.5;5;51.1259315014;
27;4;25.1000003815;19.6834220886;6;39.7305812836;3;26.9299716949;13.5;5;51.4700255394;
28;4;26.1000003815;20.4114074707;7;39.8013670444;4;26.9410076141;14.5;4;51.5072168112;
29;4;27.1000003815;20.4609565735;7;39.8729944229;4;26.9521656036;15.5;4;51.5447884798;
30;4;25.9618988037;19.5;7;39.9454251528;4;26.0;17.2723941803;6;51.5827163458;
31;4;24.9836273193;20.5;8;41.0186191797;5;25.0;18.2913589478;5;51.6209751368;
32;4;25.0055866241;21.5;8;41.1230882406;5;24.0;19.3104877472;5;51.6595385075;
33;4;25.027759552;22.5;9;41.2288537025;5;23.5;20.3297691345;5;51.6983793974;
34;4;24.3686561584;23.5;9;41.3358633518;5;23.5;21.3491897583;7;51.7374696732;
35;4;23.4007587433;24.5;10;41.4440621138;5;23.5;22.3687343597;7;51.7767804861;
36;4;23.1000003815;26.5;11;41.5533922911;5;23.5;23.3883895874;8;51.8162822723;
37;5;24.1000003815;29.5;10;41.6637934446;4;23.5;24.4081420898;8;51.8559447527;
38;5;25.1000003815;32.5;10;41.7752021551;4;23.5;25.4279727936;9;51.8957372904;
39;5;26.1000003815;35.5;11;41.8875529766;4;24.5;23.4478683472;10;51.9356285334;
40;5;27.1000003815;38.5;11;42.000777483;4;23.5;24.4678134918;10;51.9755871296;
41;5;28.1000003815;41.4075660706;12;42.1148053408;4;25.0926761627;24.4678134918;10;51.515581131;
42;5;29.1000003815;42.0803642273;12;42.2295640707;4;25.5;25.4678134918;11;51.553234458;
43;5;29.1000003815;42.1606941223;13;42.344979167;4;26.965970993;26.4678134918;12;51.0912384987;
44;6;29.1000003815;42.1792106628;9;47.460973978;4;27.8273715973;27.4678153992;12;51.4970679283;
45;6;30.1000003815;43.2588500977;10;47.7274708748;4;28.4602508545;28.3147850037;13;51.6681953669;
46;6;31.1000003815;44.3388290405;10;47.9911649227;4;30.0004577637;27.5;13;51.2070944309;
47;6;31.1000003815;45.419090271;11;48.2516095638;4;30.8621292114;27.5;12;51.2408074141;
48;6;31.1000003815;46.4995765686;11;48.5083953142;4;31.0;28.1204032898;13;50.775043726;
49;6;31.1000003815;47.0223083496;11;48.7611533403;4;31.2325134277;27.5;13;51.177288413;
50;6;31.1000003815;47.0895843506;12;49.0095570087;4;31.353187561;27.5;13;51.3450242281;
51;6;32.0999984741;47.1573486328;12;49.2533216476;4;31.4035072327;27.5;10;51.3807343245;
52;6;31.1000003815;48.2381744385;12;49.4922053814;4;31.4142208099;27.5;8;51.4168994427;
53;7;31.1000003815;47.2942390442;10;49.7260081768;4;31.0;27.5;8;51.4534994364;
54;7;31.1000003815;45.183216095;10;49.9545696974;4;31.0;27.5;10;51.4905128479;
55;7;31.1000003815;48.210319519;11;51.1777687073;4;29.0;28.5;10;51.0279170275;
56;7;32.0999984741;51.5356407166;11;51.3928450346;4;28.0;30.0139579773;10;51.0584676266;
57;7;34.0999984741;50.6138381958;11;51.6023726463;4;27.0;31.0292339325;10;51.089602828;
58;7;33.0999984741;52.6916732788;11;53.3915681839;4;26.0;32.0447998047;11;51.1213146448;
59;7;34.5439987183;52.5814971924;12;55.6672394276;5;25.0;32.5;10;51.1535937786;
60;7;35.6514167786;54.8400230408;10;56.6665610075;5;24.0;33.5;11;52.1979656219;
61;7;36.8646278381;56.2505340576;10;56.8021950722;5;23.7999992371;34.5;12;54.0235133171;
62;7;37.1975440979;57.2200698853;15;56.9573105574;5;24.0340003967;36.1217575073;13;55.4447431564;
63;8;37.1902351379;58.2094345093;14;57.1258580685;5;24.2123565674;37.145111084;13;56.5320916176;
64;8;36.6658554077;59.0439376831;16;57.3481014967;5;24.3458442688;38.1690444946;14;57.206573844;
65;8;37.1972999573;59.039932251;16;57.6235849857;5;24.3999996185;38.5;15;57.4372034073;
66;8;37.223941803;59.0442352295;20;57.9519791603;5;24.3999996185;40.2186012268;15;57.4884080887;
67;8;37.2660560608;62.8718719482;20;58.3329310417;5;24.3999996185;41.2442054749;16;57.5406749249;
68;8;37.3236694336;64.7973556519;20;58.7658951283;6;24.3999996185;42.2703361511;16;57.5939718485;
69;8;35.3967666626;66.7275848389;20;59.2499558926;6;24.3999996185;42.5;17;57.6482629776;
70;9;35.3852005005;68.661529541;20;59.7836360931;6;23.3999996185;42.324131012;18;57.7035083771;
71;9;35.4886398315;70.5983352661;20;60.3647034168;6;23.3999996185;42.3517532349;20;57.7596644163;
72;9;35.6065368652;72.5373306274;19;60.9900019169;6;24.3999996185;43.3798332214;20;57.8166834116;
73;9;35.7380523682;74.4779968262;19;61.6553180218;6;25.3999996185;43.3517532349;20;57.8745142221;
74;9;35.882019043;76.4200057983;20;62.3553125858;6;24.3999996185;44.3517532349;21;58.9331018925;
75;9;36.0369300842;78.3632125854;19;62.0835318565;6;25.3999996185;46.3517532349;20;59.052388072;
76;9;35.9009437561;80.3745193481;20;62.8016381264;6;26.3999996185;48.3517532349;21;59.1752753258;
77;9;36.0626296997;79.404335022;19;63.5439298153;6;26.7368888855;50.3517532349;17;59.3017681837;
78;9;36.2323532104;79.4331970215;23;64.3027737141;6;26.3999996185;52.3517532349;18;59.4318599701;
79;9;36.4078979492;80.4613571167;23;65.0698230267;6;26.7774162292;54.3517532349;20;59.5655325651;
80;9;36.5868225098;83.5394821167;23;65.8363361359;7;26.3999996185;56.3517532349;19;59.7027550936;
81;9;36.7665481567;84.5983276367;22;66.0935697556;7;26.3999996185;58.3517532349;18;59.8434827328;
82;9;36.7945098877;85.7070922852;24;66.8058552742;7;26.3999996185;60.3517532349;18;59.9876559973;
