Turn;Planet_count_KI_1_SP_TRITH;Research_KI_1_SP_TRITH;Industry_KI_1_SP_TRITH;Ships_KI_1_SP_TRITH;Population_KI_1_SP_TRITH;Planet_count_KI_6_SP_HUMAN;Research_KI_6_SP_HUMAN;Industry_KI_6_SP_HUMAN;Ships_KI_6_SP_HUMAN;Population_KI_6_SP_HUMAN;
1;1;11.3999996185;16.0;4;32.0;1;9.0;10.0;4;20.0;
2;1;11.3999996185;16.0;6;32.0;2;9.19999980927;10.0;4;21.0;
3;1;11.3999996185;16.0;6;32.0;2;9.19999980927;10.0;5;21.0299999714;
4;2;12.3999996185;16.0;5;33.0;2;9.20600032806;10.0;5;21.0605909824;
5;2;14.3999996185;16.0;5;33.0599999428;2;10.3181772232;10.0;5;21.091766119;
6;2;16.3999996185;16.0;5;33.1229639053;2;11.3275299072;10.0;5;21.1235172749;
7;2;17.7368888855;16.0;5;33.8401899338;2;11.3370552063;10.0;5;21.5670698881;
8;2;18.1520576477;16.3199996948;5;34.2818012238;2;11.4701213837;10.1999998093;4;21.9382035732;
9;2;18.2845401764;16.5;4;36.0307346582;2;11.5814609528;10.3632001877;4;22.2480803728;
10;2;20.2062187195;17.3250007629;4;37.2967106104;2;11.6744241714;10.4951858521;4;23.3592649698;
11;2;22.2062187195;17.9053878784;4;38.1923422813;2;12.0077791214;11.0209560394;4;24.2933903933;
12;2;24.2062187195;18.2973766327;4;38.7158491611;2;14.0077791214;11.4571752548;4;25.0641713142;
13;2;25.3067550659;18.5;5;38.84083426;2;16.0077800751;11.8107032776;4;25.691778779;
14;2;26.3442497253;18.5;6;38.972622633;2;16.7075328827;12.0916318893;4;26.198879838;
15;2;27.3837871552;18.5;6;39.1112463474;2;16.859664917;12.3113050461;4;26.6077592373;
16;2;28.4253730774;18.5;7;39.2566850185;2;16.9823265076;12.4808797836;4;26.7176665068;
17;2;28.7770061493;18.5;7;39.408860445;2;18.9020843506;12.5;4;26.7912226915;
18;2;28.8226585388;18.5;7;39.5676317215;2;19.9241504669;12.5;4;26.8666112423;
19;2;28.1000003815;19.2702903748;7;39.7327911854;2;20.3867835999;13.0599832535;5;26.943765521;
20;2;28.9198379517;18.5;8;39.9040608406;2;21.9699134827;12.5;6;27.0226092339;
21;2;28.1000003815;19.5;8;40.0810906887;2;22.1067829132;12.5;7;27.1030561924;
22;3;28.1000003815;20.0405445099;7;40.2634575367;2;22.1309165955;12.5;7;27.1850111485;
23;3;28.1000003815;20.131729126;7;40.4506671429;2;21.5;13.155503273;7;27.2683691978;
24;3;28.1000003815;20.2253341675;7;40.6421561241;2;22.1805114746;12.5;7;27.3530163765;
25;3;27.1000003815;19.5;7;40.8372972012;2;22.2059059143;12.5;7;27.4388306141;
26;3;26.2511901855;20.5;7;41.0354056358;2;22.2316493988;12.5;7;27.5256814957;
27;3;25.3106231689;21.5;7;41.2357473373;2;21.5;12.5;5;27.6134316921;
28;3;24.3707237244;22.5;6;41.4375491142;2;21.5;12.5;5;27.7019374371;
29;3;23.4312648773;23.5;6;41.6400098801;2;21.5;12.5;5;27.7910490036;
30;3;22.4920043945;24.5;6;41.8423137665;2;21.5;12.5;5;27.8806123734;
31;3;21.5526943207;25.5;6;42.0436420441;2;21.5;12.5;5;27.9704699516;
32;3;20.6130924225;26.5;7;42.2431864738;2;21.5;12.5;5;28.0604612827;
33;3;19.6729564667;27.5;6;42.4401631355;2;21.5;12.5;5;28.1504247189;
34;3;18.732049942;28.5;7;42.6338238716;2;22.4451274872;12.5;5;28.2401983738;
35;3;19.7901477814;27.5;7;42.8234682083;2;21.5;13.5;5;28.329621315;
36;3;19.1000003815;27.5;8;43.0084524155;2;21.5;14.1648101807;4;28.4185347557;
