Turn;Planet_count_KI_1_SP_ETTY;Research_KI_1_SP_ETTY;Industry_KI_1_SP_ETTY;Ships_KI_1_SP_ETTY;Population_KI_1_SP_ETTY;Planet_count_KI_6_SP_TRITH;Research_KI_6_SP_TRITH;Industry_KI_6_SP_TRITH;Ships_KI_6_SP_TRITH;Population_KI_6_SP_TRITH;
1;1;9.0;10.0;4;20.0;1;11.3999996185;16.0;4;32.0;
2;1;9.0;10.0;5;20.0;1;11.3999996185;16.0;6;31.7439994812;
3;1;9.0;10.0;5;20.0;1;11.3487997055;15.8719997406;6;31.5135993958;
4;1;9.0;10.0;4;20.0;1;11.3027200699;15.7567996979;5;31.1014404297;
5;1;10.0;10.0;4;20.0;1;12.3027200699;15.5507202148;5;30.5666561127;
6;1;11.0;10.0;4;20.0;1;13.3027200699;15.2833280563;5;30.0853500366;
7;1;11.0;10.0;4;20.3999996185;1;14.0256052017;15.0426750183;5;29.7326545715;
8;1;11.1199998856;10.1999998093;4;20.7264003754;1;13.91979599;14.8663272858;5;29.4152297974;
9;1;11.2179203033;10.3632001877;4;20.9903717041;1;13.8245687485;14.7076148987;5;29.7775993347;
10;2;11.597111702;10.4951858521;3;23.0419120789;1;15.91979599;14.8887996674;5;29.7775993347;
11;2;11.9125738144;11.0209560394;3;24.0443505049;1;16.91979599;14.8887996674;5;29.7775993347;
12;2;12.2133054733;11.4571752548;3;24.8968375921;1;17.91979599;14.8887996674;5;29.7775993347;
13;2;14.9515733719;11.8107032776;3;25.6209878922;1;18.91979599;14.8887996674;5;29.7775993347;
14;2;16.9515743256;12.0916318893;3;26.2409451008;1;19.91979599;14.8887996674;5;29.7775993347;
15;2;18.0980739594;12.3113050461;3;26.7804714441;1;20.91979599;14.8887996674;5;29.7775993347;
16;2;19.1581878662;12.4808797836;3;27.0402543545;1;20.9332809448;14.8887996674;7;29.7775993347;
17;2;20.2246494293;12.5;3;27.2842636108;1;20.9332809448;14.8887996674;6;29.7775993347;
18;2;21.2978534698;12.5;3;27.5518820286;1;20.9332809448;14.8887996674;7;29.7775993347;
19;2;22.2655639648;12.5;4;27.8440244198;1;20.9332809448;14.8887996674;7;29.7775993347;
20;2;22.3532066345;12.5;4;28.1613030434;1;20.9332809448;14.8887996674;7;29.7775993347;
21;2;22.4483909607;12.5;4;28.5039470196;1;20.9332809448;14.8887996674;7;29.7775993347;
22;2;22.5511837006;12.5;4;28.871723175;1;20.9332809448;14.8887996674;7;29.7775993347;
23;2;22.6615161896;12.5;4;29.263862133;1;20.9332809448;14.8887996674;7;29.7775993347;
24;2;22.7791595459;12.5;5;29.6789975166;1;20.9332809448;14.8887996674;7;29.7775993347;
25;3;22.9036998749;12.5;4;30.1151270866;1;20.9332809448;14.8887996674;8;29.7775993347;
26;3;19.5;14.5;4;30.5695996284;1;20.9332809448;14.8887996674;9;29.7775993347;
27;4;19.5;14.5;3;31.0391392708;1;20.9332809448;14.8887996674;9;29.7775993347;
28;4;17.5;16.5;3;31.5199065208;1;20.9332809448;14.8887996674;8;29.7775993347;
29;4;16.5;18.5;3;32.007601738;1;20.9332809448;14.8887996674;6;29.7775993347;
30;4;15.5;20.3030414581;3;32.4976010323;1;20.9332809448;14.8887996674;6;29.7775993347;
31;4;14.5;21.4990406036;3;32.9851250648;3;20.0399513245;14.8887996674;6;49.7775993347;
32;4;14.0;22.6940498352;3;33.465420723;3;21.0399513245;14.8887996674;5;50.9776000977;
33;4;14.0;23.8861675262;3;33.9339466095;4;23.0399513245;14.8887996674;4;52.9951992035;
34;4;14.0;25.0735778809;3;34.3865451813;4;25.0399513245;15.3487997055;5;53.8838459253;
35;4;15.0;23.254617691;4;34.8195896149;4;26.0399513245;14.8887996674;5;54.6123347282;
36;4;14.0;24.4278354645;4;35.2300891876;4;27.0399513245;14.8887996674;5;55.2016050816;
37;4;15.0;23.4278354645;6;35.6157541275;4;28.0399513245;14.8887996674;5;55.674472332;
38;4;15.0;22.4278354645;5;35.9750175476;4;29.0399513245;14.8887996674;6;56.0374673605;
39;4;14.0;24.4278354645;5;36.307009697;5;29.6649513245;14.8887996674;5;56.0950298309;
40;4;16.0;23.4278354645;5;37.6115064621;5;29.6649513245;17.8887996674;3;56.1544640064;
41;4;17.0;22.827835083;6;37.9388463497;5;29.6649513245;20.8887996674;3;56.2157611847;
42;4;16.0;24.8478355408;7;38.2418131828;5;29.6649513245;23.3887996674;3;56.2789056301;
43;4;17.0;23.8686256409;8;38.5216087103;5;29.6649513245;25.3887996674;4;56.3438745737;
44;4;17.0;22.89021492;9;38.7797003984;5;29.6649513245;27.3887996674;4;56.4106374979;
45;4;16.0;24.912612915;9;39.0177302361;5;29.6649513245;27.3887996674;6;56.4791558981;
46;4;16.0;26.9358253479;9;39.2374329567;5;29.6649513245;27.3887996674;7;56.5493832827;
47;4;18.0;22.9598522186;10;39.3921557665;5;29.6649513245;27.3887996674;7;56.6212648153;
48;4;18.0;23.9598522186;11;39.4563041925;5;29.6649513245;27.3887996674;7;56.6947373152;
49;4;19.4368915558;24.9598522186;10;39.5224741697;6;29.6649513245;27.3887996674;6;56.7697292566;
50;4;20.456741333;26.9598522186;9;39.5906432867;6;29.6649513245;27.3887996674;7;56.8461606503;
