Turn;Planet_count_KI_1_SP_ETTY;Research_KI_1_SP_ETTY;Industry_KI_1_SP_ETTY;Ships_KI_1_SP_ETTY;Population_KI_1_SP_ETTY;Planet_count_KI_6_SP_TRITH;Research_KI_6_SP_TRITH;Industry_KI_6_SP_TRITH;Ships_KI_6_SP_TRITH;Population_KI_6_SP_TRITH;
1;1;9.0;10.0;4;20.0;2;11.5999994278;16.0;3;33.0;
2;1;9.0;10.0;5;20.0;2;11.5999994278;16.0;3;33.0;
3;1;9.0;10.0;5;20.0;2;11.5999994278;16.0;3;33.0;
4;1;9.0;10.0;5;20.0;2;11.5999994278;16.0;3;33.0;
5;1;10.0;10.0;5;20.0;2;12.6999998093;16.0;3;32.735999465;
6;1;11.0;10.0;5;20.0;2;13.697599411;15.8719997406;3;32.4983993769;
7;2;12.0;10.0;4;21.3999996185;2;14.6954393387;15.7567996979;3;32.3765591383;
8;2;13.1199998856;10.1999998093;4;21.7264003754;2;14.7129678726;15.6991195679;3;32.2669025064;
9;2;14.2179203033;10.3632001877;4;21.9903717041;2;14.6800708771;15.6472072601;3;33.4572249651;
10;2;14.597111702;10.4951858521;4;23.0719120502;2;16.7166671753;16.2332878113;3;34.3110481501;
11;2;14.9215736389;11.0209560394;4;23.9749414921;2;18.7166671753;16.6510391235;4;34.9082885981;
12;2;16.9215736389;11.4571752548;4;24.7131726742;2;20.7166671753;16.9404220581;4;35.0860683918;
13;2;18.9215736389;11.8107032776;5;25.3067810535;2;21.733291626;17.0200004578;5;35.1048340797;
14;2;19.94962883;12.0916318893;5;25.7784451246;2;22.7389221191;17.0200004578;5;35.1237366199;
15;2;20.9593238831;12.3113050461;5;26.1504684687;2;23.7445926666;17.0200004578;6;35.1427699327;
16;2;21.9691867828;12.4808797836;5;26.2221269608;2;24.5428314209;17.0200004578;6;35.1619275808;
17;2;22.9792118073;12.5;5;26.2560760975;2;24.5485782623;17.0200004578;7;35.1812031269;
18;2;23.989397049;12.5;5;26.2905418873;2;24.5543613434;17.0200004578;7;35.2005898952;
19;2;24.8871631622;12.5;6;26.3255085945;2;24.5601768494;17.0200004578;7;35.2200809717;
20;2;24.8976516724;12.5;6;26.3609591722;2;24.5660247803;17.0200004578;7;35.239669323;
21;2;24.9082870483;12.5;6;26.3968753815;2;24.5718994141;17.0200004578;7;35.2593479156;
22;2;24.9190635681;12.5;6;26.4332377911;2;24.5778045654;17.0200004578;8;35.2791093588;
23;2;24.9299716949;12.5;6;26.4700255394;2;24.2119998932;17.6395549774;8;35.2989461422;
24;2;24.9410076141;12.5;7;26.5072168112;2;24.5896835327;17.0200004578;8;35.3188507557;
25;4;22.9521656036;13.5;5;26.5447884798;2;24.5956554413;17.0200004578;8;35.3388155699;
26;4;21.5;15.1179151535;5;26.5827163458;2;24.601644516;17.0200004578;8;35.3588327169;
27;4;20.5;16.1330871582;5;26.6209751368;2;24.2119998932;17.6794166565;8;35.3788943291;
28;4;19.5;17.1483898163;5;26.6595385075;2;24.6136684418;17.0200004578;8;35.3989925385;
29;4;18.5;18.1638145447;5;26.6983793974;2;24.2119998932;17.6994972229;9;35.4191193581;
30;4;17.5;19.1793518066;5;26.7374696732;2;22.6257362366;18.0200004578;9;35.4392666817;
31;4;17.0;20.1949882507;5;26.7767804861;2;21.631778717;19.0200004578;10;35.459426403;
32;4;17.0;21.2107124329;5;26.8162822723;2;20.6378269196;20.0200004578;10;35.479590416;
33;4;17.0;22.2265129089;6;26.8559447527;2;19.6438770294;21.0200004578;10;35.4997506142;
34;4;18.0;20.2423782349;6;26.8957372904;2;18.6499252319;22.0200004578;10;35.5198987722;
35;4;17.0;21.2582950592;6;26.9356285334;2;17.6559696198;23.0200004578;11;35.5400269032;
36;4;17.0;22.2742519379;5;26.9755871296;2;16.6620082855;24.0200004578;11;35.5601269007;
37;4;18.0;20.2902355194;4;27.015581131;2;15.6680374146;25.0200004578;11;35.5801906586;
38;4;17.0;21.3062324524;4;27.0555787086;2;16.2119998932;24.0200004578;12;35.6002101898;
39;4;17.0;22.3222312927;5;28.0955479145;2;17.6800632477;24.0200004578;12;35.6201776266;
40;4;19.0;20.7382183075;5;28.155456543;2;18.6860523224;25.0200004578;13;35.6400851011;
41;5;19.0;21.7621841431;4;28.2154691219;2;19.692024231;26.0200004578;13;35.6599247456;
42;5;19.0;22.7861881256;5;28.2755478621;2;20.697977066;27.0200004578;14;35.6796890497;
43;5;20.3181743622;22.7861881256;6;28.3356548548;2;21.2119998932;27.83984375;15;35.6993703842;
44;5;21.324344635;23.7861881256;6;28.3957526684;2;22.709810257;27.0200004578;15;35.7189613581;
45;5;23.0187244415;24.7861881256;7;28.4558042288;2;23.2119998932;27.8594818115;16;35.7384546995;
46;5;23.0;26.7861881256;7;28.5157725811;2;24.7215366364;27.0200004578;16;35.7578433752;
47;5;24.0;28.7861881256;7;28.5756216049;2;24.7273521423;27.0200004578;17;35.7771202326;
48;5;25.3495368958;28.4642009735;9;28.6353149414;2;24.2119998932;27.8885612488;18;35.7962785959;
49;6;27.0905952454;27.5;10;45.6948176622;2;24.2119998932;27.8981399536;18;35.8153117895;
50;7;25.0;30.9779281616;9;46.7740958929;2;24.7445926666;27.0200004578;18;35.834213376;
51;7;25.0;32.5097732544;10;47.7305109501;2;24.7502632141;27.0200004578;19;35.8529770374;
52;7;25.0;35.0252456665;11;48.5615600348;2;24.7558937073;27.0200004578;19;35.871596694;
53;8;25.0;37.0487365723;10;49.2717487812;2;24.7614784241;27.0200004578;19;35.8800009489;
54;8;25.0;39.0720977783;10;49.8705774546;2;24.763999939;27.0200004578;20;35.8800009489;
55;8;25.0;40.0953216553;10;50.3704711199;2;24.763999939;27.0200004578;20;35.8800009489;
56;9;26.0;41.1183853149;7;70.7850137949;2;24.763999939;27.0200004578;20;35.8800009489;
57;9;25.0;44.1412849426;7;73.3276350498;2;24.763999939;27.0200004578;20;35.8800009489;
58;9;26.0;48.1640090942;8;74.5639698505;2;24.763999939;27.0200004578;20;35.8800009489;
59;10;28.0;49.1865501404;7;76.6056127548;2;24.763999939;27.0200004578;20;35.8800009489;
60;10;28.0;54.2088890076;7;77.5316181183;2;24.763999939;27.0200004578;20;35.8800009489;
61;10;30.0;59.2310256958;7;78.3349300623;2;24.763999939;27.0200004578;21;35.8800009489;
62;10;32.0;60.2529449463;8;79.0397686958;2;24.763999939;27.0200004578;21;35.8800009489;
63;11;32.0;64.0021286011;7;79.6540269852;2;24.763999939;27.0200004578;21;35.8800009489;
64;11;33.0;66.5046844482;7;79.9813925028;2;24.763999939;27.0200004578;22;35.8800009489;
65;11;36.0;63.8081359863;8;81.3043677807;2;24.763999939;27.0200004578;23;37.1952323914;
66;11;36.0;66.940612793;8;81.7023874521;2;25.1585693359;27.6599521637;23;38.1065450907;
67;11;38.0;70.0831680298;8;82.1280158758;2;25.4319629669;28.0979366302;23;38.7225071192;
68;11;41.0;67.2360229492;9;85.4103285074;2;25.032951355;29.3612537384;23;38.7813060284;
69;12;40.0;68.3755493164;9;89.1668151617;2;25.0400009155;29.3906536102;23;38.8165473938;
70;12;41.3815002441;72.4233856201;9;91.5455585718;2;25.0400009155;29.4082736969;24;38.8517048359;
