Turn;Planet_count_KI_1_SP_ETTY;Research_KI_1_SP_ETTY;Industry_KI_1_SP_ETTY;Ships_KI_1_SP_ETTY;Population_KI_1_SP_ETTY;Planet_count_KI_6_SP_TRITH;Research_KI_6_SP_TRITH;Industry_KI_6_SP_TRITH;Ships_KI_6_SP_TRITH;Population_KI_6_SP_TRITH;
1;1;9.0;10.0;4;20.0;1;10.8880004883;14.720000267;4;29.4400005341;
2;1;9.0;10.0;5;20.0;2;11.0880002975;14.720000267;5;30.4400005341;
3;1;9.0;10.0;5;20.0;2;11.0880002975;14.720000267;5;30.5504004955;
4;1;9.0;10.0;5;20.0;2;11.110080719;14.720000267;5;30.6717628241;
5;1;10.0;10.0;5;20.0;2;12.2575292587;14.720000267;5;30.8048945665;
6;1;11.0;10.0;5;20.0;2;13.2974691391;14.720000267;5;30.9505984783;
7;1;11.0;10.0;5;20.3999996185;2;14.2851791382;14.720000267;5;31.6888014078;
8;2;11.4200000763;10.1999998093;4;21.7264003754;2;14.5066404343;15.0026245117;5;32.2333978415;
9;2;11.5179204941;10.3632001877;4;21.9903717041;2;14.6700191498;15.1800003052;5;33.8964133263;
10;2;11.597111702;10.4951858521;4;23.0719120502;2;16.6362438202;15.8904247284;5;35.2005462646;
11;2;11.9215736389;11.0209560394;4;23.9749414921;2;18.6362438202;16.4083175659;5;36.2261681557;
12;2;13.9215736389;11.4571752548;4;24.7131726742;2;20.6362457275;16.7731342316;5;37.0447070599;
13;2;15.9215736389;11.8107032776;4;25.3067810535;2;21.9029865265;17.0200004578;5;37.3991210461;
14;2;16.94962883;12.0916318893;4;25.7784451246;2;23.009311676;17.0200004578;6;37.7834339142;
15;2;17.9593238831;12.3113050461;4;26.1504684687;2;24.1246051788;17.0200004578;6;38.1973290443;
16;2;18.9691867828;12.4808797836;4;26.2221269608;2;25.2487735748;17.0200004578;6;38.6397800446;
17;2;19.9792118073;12.5;4;26.2560760975;3;25.5919342041;17.0200004578;6;39.1089677811;
18;2;20.989397049;12.5;4;26.2905418873;4;25.7326889038;17.0200004578;5;39.6022305489;
19;2;21.8871631622;12.5;4;26.3255085945;4;25.8806686401;17.0200004578;5;40.1160564423;
20;2;21.8976516724;12.5;4;26.3609591722;4;26.0348167419;17.0200004578;6;40.6461281776;
21;2;21.9082870483;12.5;4;26.3968753815;4;26.1938381195;17.0200004578;6;41.1874256134;
22;2;21.9190635681;12.5;4;26.4332377911;4;26.3562278748;17.0200004578;6;41.7343878746;
