Turn;Planet_count_KI_1_SP_ETTY;Research_KI_1_SP_ETTY;Industry_KI_1_SP_ETTY;Ships_KI_1_SP_ETTY;Population_KI_1_SP_ETTY;Planet_count_KI_6_SP_TRITH;Research_KI_6_SP_TRITH;Industry_KI_6_SP_TRITH;Ships_KI_6_SP_TRITH;Population_KI_6_SP_TRITH;
1;1;9.0;10.0;4;20.0;1;11.3999996185;16.0;4;32.0;
2;1;9.0;10.0;5;20.0;1;11.3999996185;16.0;6;32.0;
3;1;9.0;10.0;6;20.0;1;11.3999996185;16.0;6;32.0;
4;1;9.0;10.0;6;20.0;1;11.3999996185;16.0;6;31.7439994812;
5;1;10.0;10.0;6;20.0;2;12.6999998093;15.8719997406;5;32.5135993958;
6;1;11.0;10.0;6;20.0;2;13.6999998093;15.7567996979;5;32.1414403915;
7;1;11.0;10.0;5;20.3999996185;2;14.6424322128;15.5507202148;4;31.8972811699;
8;2;11.4200000763;10.1999998093;4;21.7264003754;2;14.5691843033;15.4080486298;4;31.6828415394;
9;2;11.5179204941;10.3632001877;4;21.9903717041;2;14.5048522949;15.2796440125;4;32.4169675112;
10;2;11.597111702;10.4951858521;4;23.0719120502;2;16.6084442139;15.6024589539;4;32.9691631794;
11;2;11.9215736389;11.0209560394;4;23.9749414921;2;18.6084442139;15.8313598633;4;33.0789562464;
12;2;13.9215736389;11.4571752548;4;24.7131726742;2;20.6084442139;15.8360004425;4;33.1857869625;
13;2;15.9215736389;11.8107032776;4;25.3067810535;2;21.6989650726;15.8360004425;5;33.2991122007;
14;2;16.5920333862;12.0916318893;4;25.7784451246;2;22.732963562;15.8360004425;5;33.4190772772;
15;2;16.7335338593;12.3113050461;4;26.1504684687;2;23.768951416;15.8360004425;5;33.5457913876;
16;2;16.8451404572;12.4808797836;4;26.2221269608;2;24.0637378693;15.8360004425;5;33.6793215275;
17;2;18.7534217834;12.5;4;26.2560760975;2;24.1037960052;15.8360004425;5;33.8196871281;
18;2;19.7636070251;12.5;4;26.2905418873;2;24.1459064484;15.8360004425;6;33.9668533802;
19;2;20.7739467621;12.5;5;26.3255085945;2;24.1900558472;15.8360004425;6;34.1207265854;
20;2;21.7844352722;12.5;5;26.3609591722;3;24.2362174988;15.8360004425;6;34.2811493874;
21;2;21.9082870483;12.5;5;26.3968753815;3;24.2843456268;15.8360004425;6;34.4478962421;
22;2;21.9190635681;12.5;5;26.4332377911;3;24.3343696594;15.8360004425;6;34.6206707954;
23;3;21.9299716949;12.5;4;26.4700255394;3;23.5016002655;16.8360004425;6;34.7991044521;
24;3;21.9410076141;12.5;5;26.5072168112;3;24.4397315979;15.8360004425;6;34.9827558994;
25;4;21.9521656036;12.5;4;26.5447884798;3;24.4948272705;15.8360004425;5;35.1711127758;
26;4;21.9634361267;12.5;4;26.5827163458;3;24.5513343811;15.8360004425;4;35.3635950089;
27;4;21.9748153687;12.5;4;26.6209751368;3;24.6090774536;15.8360004425;5;35.5595598221;
28;4;21.9862918854;12.5;4;26.6595385075;3;24.6678676605;15.8360004425;5;35.7583088875;
29;4;21.9978618622;12.5;4;26.6983793974;4;24.7274932861;15.8360004425;3;35.9590973854;
30;4;22.009513855;12.5;4;27.7374696732;4;22.7877292633;16.8360004425;3;36.1611442566;
31;4;23.0212402344;12.8999996185;4;27.816780448;4;21.8483428955;17.8360004425;3;36.3636431694;
32;4;23.5;13.2107124329;4;27.8974661827;4;21.5016002655;16.8360004425;4;36.5657758713;
33;4;24.044883728;12.9324731827;4;27.9794982672;4;20.5016002655;16.8360004425;5;36.7667250633;
34;4;23.8370666504;13.2423782349;4;28.0628447533;4;20.5016002655;16.8360004425;5;36.9656882286;
35;4;24.0687217712;12.9668426514;4;28.1474699974;4;21.5016002655;17.8360004425;6;37.1618885994;
36;4;23.8635520935;13.2742509842;4;28.2333350182;4;20.5016002655;16.8360004425;8;37.3545899391;
37;4;24.0926761627;13.0030994415;4;28.3203971386;4;20.2063770294;17.8360004425;8;37.5431046486;
38;4;24.104675293;13.0219268799;4;28.4086101055;4;21.2629318237;19.8360004425;9;37.7268052101;
39;4;23.9059104919;13.3222312927;4;28.4979239702;4;22.3180408478;21.8360004425;10;37.9051308632;
40;4;24.1286640167;13.0609502792;4;28.5882848501;4;23.3715400696;23.8360004425;10;38.0775933266;
41;4;23.5;13.9353132248;5;28.6796357632;4;24.4232788086;24.8360004425;11;38.2437806129;
42;4;24.6038913727;16.9353141785;5;28.7719156742;5;25.4731330872;25.8360004425;9;41.4431180954;
43;4;24.6315746307;19.9353141785;6;28.865060091;5;26.5210075378;26.8360004425;10;41.7466080189;
44;4;24.6595191956;22.9353141785;6;28.9590011835;5;27.5668201447;27.8360004425;10;42.0457179546;
45;4;24.6877002716;25.9353141785;6;29.0536677837;5;27.6105194092;28.8360004425;11;42.3399188519;
46;4;24.7161006927;27.5;6;29.1489853859;6;27.6520709991;29.8360004425;7;57.6287209988;
47;4;24.7446956635;27.5;6;29.2448767424;6;28.6914615631;31.8360004425;9;58.6616716385;
48;4;24.7734622955;27.5;6;29.3412610292;6;29.7286987305;33.8359985352;9;59.6077291965;
49;4;23.5;27.5;7;29.4380553961;6;30.7638053894;35.8238334656;10;60.4656805992;
50;4;23.5;27.5;7;29.5351746082;6;31.7968177795;36.9038314819;11;61.2377052307;
51;4;24.2573299408;28.3042984009;7;29.6325306892;7;32.8277893066;37.9837417603;9;76.9285063744;
52;4;24.8897590637;27.5;7;29.7300341129;7;34.8567733765;39.0633010864;9;78.2944393158;
53;4;24.9190101624;27.5;8;29.8275940418;7;36.0056381226;40.1422691345;10;79.4871778488;
54;4;24.1577949524;28.5;8;29.9251179695;7;36.0926818848;41.2203903198;11;80.4849281311;
55;5;24.9775352478;27.5;7;40.0225126743;7;36.1502227783;42.2974395752;11;81.2626280785;
56;5;24.5;28.5;7;40.5196840763;7;36.1765975952;43.3731765747;11;81.846142292;
57;5;26.2134780884;30.5;8;40.9909389019;7;36.1765975952;44.4474105835;11;82.3589529991;
58;5;28.0649604797;30.5;9;41.4349219799;7;36.1765975952;45.5199317932;10;82.8081707954;
59;5;29.0938949585;31.5;9;41.8509585857;7;36.1765975952;46.5905761719;10;85.6737394333;
60;6;30.1226787567;32.5;9;42.238986969;7;36.7638702393;48.2242202759;10;87.9967794418;
61;6;30.3628692627;32.5;9;42.5994694233;7;37.2266960144;49.6905136108;11;89.876054287;
62;6;32.1796798706;32.5;12;42.9332976341;7;37.5910568237;51.0299224854;12;91.1182260513;
63;6;31.8903083801;33.5;12;43.2416915894;7;37.7948226929;52.1356124878;12;92.10415411;
64;6;31.1051368713;34.6257476807;12;43.5240814686;7;37.9491577148;53.194984436;12;92.6551856995;
65;7;32.9544525146;32.5;11;43.7561471462;7;38.0424346924;54.2518692017;15;93.0531096458;
66;7;33.0497207642;32.5;13;46.2150409222;8;37.1291809082;55.3062515259;13;108.424037933;
67;7;33.6124343872;35.0;13;47.4839785099;8;38.1821479797;56.8581085205;13;109.818162441;
68;7;35.929359436;35.3899993896;13;48.5421130657;8;39.2557830811;57.9074478149;13;111.091021061;
69;7;34.3180999756;38.6872596741;13;49.4273291826;8;40.3230361938;62.8581085205;17;112.232924938;
70;7;35.5390014648;39.2041168213;14;50.0267584324;8;41.3841514587;65.0726699829;17;113.241311073;
71;7;36.7205429077;39.0;15;51.3448141813;8;42.4394226074;66.9986495972;17;114.11972332;
72;7;34.7047653198;42.665145874;15;51.6577523947;8;43.4891967773;68.935333252;19;114.876291275;
73;7;34.7213516235;45.2178688049;15;51.9753477573;8;43.9800300598;70.8820266724;22;115.44329834;
74;7;33.6999969482;46.7421760559;17;52.2973484993;8;44.1155433655;72.8377761841;23;115.80629158;
75;8;32.9090080261;49.1879653931;16;52.6234910488;9;44.1972160339;74.8014831543;22;116.10115242;
76;8;33.9449157715;49.2305183411;16;52.9535009861;10;44.2635612488;76.7719955444;22;116.240001678;
77;8;33.6999969482;50.9398269653;17;53.2870931625;11;44.2947998047;78.7581100464;21;116.240001678;
78;8;35.6999969482;50.0232925415;17;53.6239709854;11;44.2947998047;79.0200042725;22;116.240001678;
79;8;37.0497779846;53.0168571472;17;53.9638255835;11;44.2947998047;79.0200042725;23;116.240001678;
80;8;38.0835342407;55.0577926636;18;54.3063368797;11;46.9948005676;80.0200042725;23;116.240001678;
81;8;38.1165733337;56.2190322876;18;54.6511715651;11;49.1448020935;81.0200042725;23;117.240001678;
82;8;36.6999969482;58.2813415527;18;54.9979838133;11;51.2448005676;80.3199996948;23;117.356973171;
83;8;37.6999969482;58.3447570801;18;55.3464136124;11;52.3264007568;82.2200012207;22;120.166320801;
84;8;36.6999969482;60.4092636108;18;55.6960864067;12;53.7745666504;85.1360015869;20;121.864779115;
85;8;37.6999969482;60.4748153687;18;56.0230574608;12;55.0634727478;88.066986084;21;123.338955402;
86;8;38.2692680359;61.5319442749;19;56.3347456455;14;55.7968635559;91.0113372803;16;148.631668448;
87;8;38.2970314026;62.5837287903;19;56.6476774216;14;54.5053672791;95.0113372803;17;151.466506481;
88;8;38.3238067627;63.2174873352;17;56.9614109993;14;55.0919342041;99.0113372803;17;153.604079962;
89;8;38.3495826721;63.3313980103;16;57.2754881382;14;54.6409950256;101.306716919;20;155.257383108;
90;8;38.3743476868;63.4471588135;14;57.5894367695;14;55.8601837158;103.199783325;21;156.720387697;
91;8;38.3981056213;63.564540863;12;57.9027712345;14;57.029548645;105.118682861;23;159.04434967;
92;8;36.6999969482;64.6832885742;12;58.2149951458;14;59.2198028564;108.058708191;24;160.45430398;
93;8;37.6999969482;63.8031578064;12;58.5256052017;14;61.4319992065;111.015197754;27;161.573198915;
94;8;38.4633598328;63.9238624573;13;58.8340923786;15;63.1634101868;114.01133728;28;162.762618661;
95;8;38.4831466675;64.0451202393;15;59.1333320141;16;64.5059661865;118.01133728;27;164.062615991;
96;8;38.4999961853;64.1666641235;15;59.3763766289;16;65.8835754395;122.01133728;28;164.872102022;
97;8;38.4999961853;64.288192749;15;59.6188066006;16;67.2361831665;128.411346436;28;165.84703517;
98;8;38.4999961853;64.4094009399;15;59.8600444794;16;68.6287612915;132.411346436;29;166.974218369;
99;8;38.4999961853;64.5300216675;16;60.0995211601;18;70.0586700439;136.411346436;27;168.237883329;
100;8;38.4999961853;66.8696670532;17;60.3366830349;18;72.5441436768;136.611343384;28;171.699861765;
