Turn;Planet_count_KI_1_SP_ETTY;Research_KI_1_SP_ETTY;Industry_KI_1_SP_ETTY;Ships_KI_1_SP_ETTY;Population_KI_1_SP_ETTY;Planet_count_KI_6_SP_TRITH;Research_KI_6_SP_TRITH;Industry_KI_6_SP_TRITH;Ships_KI_6_SP_TRITH;Population_KI_6_SP_TRITH;
81;7;31.7320861816;56.8439826965;19;55.1495746374;4;31.1874713898;35.0;22;50.7581181526;
82;7;31.7661838531;58.9183235168;20;55.5351835489;4;31.2274360657;35.0;21;50.8838346004;
83;7;31.7996006012;60.99451828;21;55.921132803;4;30.4542369843;36.0;20;51.0023283958;
84;7;30.3999996185;64.0725097656;21;56.3068077564;4;31.3006973267;35.0;19;51.0397047997;
85;7;31.3999996185;65.1522216797;22;56.6916031837;4;31.3119125366;35.0;18;51.0399997234;
86;7;31.8951873779;66.9297790527;22;57.074924469;4;31.3120002747;35.0;18;51.0399997234;
87;7;31.9253311157;68.0594940186;23;57.456192255;4;31.3120002747;35.0;19;51.0399997234;
88;7;31.9545497894;69.1899108887;24;57.8348429203;4;31.3120002747;35.0;19;51.0399997234;
89;7;31.9828147888;70.3208312988;24;58.2103312016;4;31.3120002747;35.0;20;51.0399997234;
90;7;32.0101013184;71.4520263672;24;58.5821321011;4;31.3120002747;35.0;20;51.0399997234;
91;7;32.0363922119;72.5832824707;25;58.9497420788;4;31.3120002747;35.0;20;51.0399997234;
92;7;32.0616836548;75.5510482788;25;59.3126802444;4;31.3120002747;35.0;21;51.0399997234;
93;7;32.0859603882;76.7330703735;27;59.6704900265;4;31.3120002747;35.0;21;51.0399997234;
94;7;32.1092300415;77.9142913818;27;60.022739172;4;31.3120002747;35.0;21;51.0399997234;
95;7;32.1314926147;79.0944442749;28;60.3690202236;4;31.3120002747;35.0;21;51.0399997234;
96;7;33.1527633667;77.2732162476;29;60.708953619;4;31.3120002747;35.0;20;51.0399997234;
97;7;32.1730499268;78.4503326416;30;61.0421853065;4;31.3120002747;35.0;20;51.0399997234;
98;7;32.1923713684;79.62550354;31;61.3325483799;5;30.9808006287;35.0;16;61.0399997234;
99;7;33.2000007629;77.7984619141;33;61.5932323933;5;29.2355995178;38.0;16;61.5399997234;
100;7;32.2000007629;78.9689407349;33;61.8493072987;5;30.0;40.2695999146;16;62.6307394505;
101;7;32.2000007629;80.1367034912;34;62.1004419327;5;30.0;42.3056564331;16;63.6784822941;
102;7;33.2000007629;78.3015060425;34;62.3463304043;5;30.0;44.3417129517;17;64.6756999493;
103;7;32.2000007629;79.4631347656;35;62.5866923332;5;30.0;45.9119262695;17;65.6165087223;
104;7;32.2000007629;80.6213760376;36;62.8212738037;5;28.0;48.1719398499;17;67.4967505932;
105;7;33.2000007629;78.7760620117;37;62.9972472191;5;28.0;51.4196853638;17;68.2995634079;
106;7;32.2000007629;79.8980712891;37;63.162279129;5;29.0;52.4551811218;18;69.2968990207;
107;7;32.2000007629;81.0135955811;38;63.3239014149;5;27.0;56.4904022217;20;70.2132517099;
108;7;33.2000007629;79.1267318726;38;63.4818844795;5;26.0;59.6853179932;20;71.0477861166;
109;7;32.2000007629;80.2373199463;39;63.6360228062;5;26.0;59.8501777649;20;71.8018909693;
110;7;32.2000007629;81.3452148438;40;63.7861363888;5;24.0;62.0000534058;22;72.4787344933;
111;7;33.2000007629;79.4502944946;42;65.2236261368;6;23.0;64.1355743408;21;73.0827887058;
112;9;32.3260002136;81.0995330811;41;66.6787977219;6;22.0;66.2576293945;21;73.6193866134;
113;10;30.3999996185;83.7590866089;40;68.1407384872;6;21.0;70.8753662109;22;74.0943363905;
