Turn;Planet_count_KI_1_SP_ETTY;Research_KI_1_SP_ETTY;Industry_KI_1_SP_ETTY;Ships_KI_1_SP_ETTY;Population_KI_1_SP_ETTY;Planet_count_KI_6_SP_TRITH;Research_KI_6_SP_TRITH;Industry_KI_6_SP_TRITH;Ships_KI_6_SP_TRITH;Population_KI_6_SP_TRITH;
1;1;9.0;10.0;4;20.0;1;11.3999996185;16.0;4;32.0;
2;1;9.0;10.0;5;20.0;2;11.5999994278;16.0;5;33.0;
3;1;9.0;10.0;5;20.0;2;11.5999994278;16.0;5;33.1499999762;
4;1;9.0;10.0;5;20.0;2;11.6299991608;16.0;5;32.8351348639;
5;1;10.0;10.0;4;20.0;2;12.7887802124;15.7695999146;5;32.5829772949;
6;1;11.0;10.0;4;20.0;2;13.8375492096;15.5622396469;5;32.3903141022;
7;1;11.0;10.0;4;20.3999996185;2;14.7170944214;15.3756160736;5;32.3540034294;
8;1;11.1199998856;10.1999998093;4;20.7264003754;2;14.7062005997;15.250453949;5;32.366704464;
9;1;11.2179203033;10.3632001877;4;20.9903717041;2;14.7100114822;15.1378087997;5;33.4095025063;
10;1;11.2971115112;10.4951858521;4;22.0419120789;2;16.8727817535;15.5005683899;5;34.2852668762;
11;1;11.6125736237;11.0209560394;4;22.9143505096;2;18.8727817535;15.7595615387;5;34.839176178;
12;1;11.8743057251;11.4571752548;4;23.6214065552;2;20.8727817535;15.8360004425;5;35.2856473923;
13;1;13.6125736237;11.8107032776;5;24.1832637787;2;22.2343673706;15.8360004425;6;35.7789230347;
14;1;14.6125736237;12.0916318893;5;24.6226100922;2;23.3823490143;15.8360004425;6;36.3192739487;
15;1;15.6125736237;12.3113050461;5;24.9617595673;2;24.5444545746;15.8360004425;6;36.9056077003;
16;1;16.6125736237;12.4808797836;5;25.0;2;25.0716819763;15.8360004425;6;37.5352311134;
17;1;17.6125736237;12.5;5;25.0;2;25.2605686188;15.8360004425;6;38.20368433;
18;1;18.6125736237;12.5;5;25.0;2;25.4611053467;15.8360004425;7;38.9046854973;
19;1;19.5;12.5;6;25.0;2;25.6714057922;15.8360004425;8;39.6302189827;
20;1;19.5;12.5;6;25.0;4;25.8890647888;15.8360004425;6;40.3707933426;
21;1;19.5;12.5;6;25.0;4;26.1112384796;15.8360004425;7;41.1158628464;
22;1;19.5;12.5;6;25.0;4;26.3347587585;15.8360004425;7;41.8543863297;
23;1;19.5;12.5;6;25.0;4;26.5563163757;15.8360004425;8;42.575463295;
24;1;19.5;12.5;6;25.0;4;26.7726402283;15.8360004425;8;43.2689819336;
25;1;19.5;12.5;7;25.0;4;26.9806938171;15.8360004425;8;43.9261846542;
26;1;19.5;12.5;7;25.0;4;27.1778564453;15.8360004425;8;44.540096283;
27;1;19.5;12.5;7;25.0;4;27.3620300293;15.8360004425;8;45.1057653427;
28;1;17.5;13.5;7;25.0;4;27.5317306519;15.8360004425;8;45.6203098297;
