Turn;Planet_count_KI_1_SP_SCYLIOR;Research_KI_1_SP_SCYLIOR;Industry_KI_1_SP_SCYLIOR;Ships_KI_1_SP_SCYLIOR;Population_KI_1_SP_SCYLIOR;Planet_count_KI_6_SP_HUMAN;Research_KI_6_SP_HUMAN;Industry_KI_6_SP_HUMAN;Ships_KI_6_SP_HUMAN;Population_KI_6_SP_HUMAN;
1;1;11.8999996185;8.625;4;17.25;1;9.0;10.0;4;20.0;
2;1;11.8999996185;8.625;5;17.25;1;9.0;10.0;5;20.0;
3;1;11.8999996185;8.625;4;17.25;1;9.0;10.0;6;20.0;
4;1;11.8999996185;8.625;5;17.25;1;9.0;10.0;6;20.0;
5;1;12.8999996185;8.625;5;17.25;1;10.0;10.0;6;20.0;
6;1;13.8999996185;8.625;5;17.25;1;11.0;10.0;6;20.0;
7;1;14.8999996185;8.625;5;17.5949993134;1;11.0;10.0;6;20.3999996185;
8;1;15.5569992065;8.79749965668;5;17.8861961365;2;11.4200000763;10.1999998093;5;21.7264003754;
9;1;15.7317180634;8.94309806824;5;18.6667137146;2;11.5179204941;10.3632001877;5;21.9903717041;
10;1;16.2000274658;9.3333568573;5;19.3355960846;2;11.597111702;10.4951858521;5;23.0719120502;
11;1;17.2000274658;9.6677980423;5;19.8991127014;2;11.9215736389;11.0209560394;5;23.9749414921;
12;1;18.2000274658;9.94955635071;5;20.3669185638;2;13.9215736389;11.4571752548;5;24.7131726742;
13;1;19.2000274658;10.1834592819;5;20.7504444122;2;15.9215736389;11.8107032776;5;25.3067810535;
14;2;20.4502677917;10.3752222061;4;22.0616092682;2;16.5920333862;12.0916318893;5;25.7784451246;
15;2;21.6369667053;10.5308046341;4;22.4500000477;2;16.7335338593;12.3113050461;5;26.1504684687;
16;2;22.4699993134;10.625;4;22.6876000166;2;16.8451404572;12.4808797836;5;26.2221269608;
17;2;22.6125602722;10.625;4;22.9688290358;2;18.7534217834;12.5;5;26.2560760975;
18;2;22.7812976837;10.625;4;23.3002393246;2;19.7636070251;12.5;5;26.2905418873;
19;2;22.9801445007;10.625;4;23.688754797;2;20.7739467621;12.5;6;26.3255085945;
20;2;23.2132530212;10.625;4;24.1414179802;2;21.7844352722;12.5;6;26.3609591722;
21;2;23.75;11.4924249649;5;24.6650128365;2;21.9082870483;12.5;6;26.3968753815;
22;2;24.75;11.6495037079;5;25.2655425072;2;21.9190635681;12.5;5;26.4332377911;
