Turn;Planet_count_KI_1_SP_SCYLIOR;Research_KI_1_SP_SCYLIOR;Industry_KI_1_SP_SCYLIOR;Ships_KI_1_SP_SCYLIOR;Population_KI_1_SP_SCYLIOR;Planet_count_KI_6_SP_HUMAN;Research_KI_6_SP_HUMAN;Industry_KI_6_SP_HUMAN;Ships_KI_6_SP_HUMAN;Population_KI_6_SP_HUMAN;
1;1;11.8999996185;8.625;4;17.25;1;9.0;10.0;4;20.0;
2;1;11.8999996185;8.625;4;17.25;1;9.0;10.0;5;20.0;
3;1;11.8999996185;8.625;4;17.25;1;9.0;10.0;5;20.0;
4;2;12.2999992371;8.625;2;18.25;1;9.0;10.0;5;20.0;
5;2;13.5;8.625;2;18.3624999523;1;10.0;10.0;5;20.0;
6;2;14.5674991608;8.625;2;18.4864046574;1;11.0;10.0;5;20.0;
7;2;15.6418428421;8.625;2;18.9799406528;1;11.0;10.0;5;20.3999996185;
8;2;16.3879642487;8.79749965668;2;19.4354615211;1;11.1199998856;10.1999998093;5;20.7264003754;
9;2;16.661277771;8.94309806824;2;20.4437325001;1;11.2179203033;10.3632001877;5;20.9903717041;
10;2;17.2662391663;9.3333568573;2;21.369802475;1;11.2971115112;10.4951858521;5;22.0419120789;
11;2;19.2662391663;9.6677980423;2;22.2224977016;2;11.9125738144;11.0209560394;3;23.9143505096;
12;2;21.2662391663;9.94955635071;2;23.013872385;2;11.8743057251;11.4571752548;3;24.6714065075;
13;2;22.7882003784;10.1834592819;2;23.7574646473;2;14.6125736237;11.8107032776;4;25.2852387428;
14;2;24.004240036;10.3752222061;1;24.4668486118;2;16.6125736237;12.0916318893;3;26.745890975;
15;2;25.2431716919;10.5308046341;1;25.092634201;2;17.6125736237;12.7949705124;3;27.9304181337;
16;2;26.505607605;10.625;1;25.5694036484;2;18.6125736237;13.3592367172;3;28.8652205467;
17;2;27.7916698456;10.625;1;26.0847344398;2;19.6125736237;13.7976236343;3;29.5888876915;
18;2;29.1008682251;10.625;1;26.6366324425;2;20.6125736237;14.1294221878;3;30.1430312395;
19;2;29.9819793701;10.625;1;27.2218022346;2;21.6125736237;14.3754377365;3;30.4563041925;
20;2;30.3330802917;10.625;3;27.8355960846;2;22.6125736237;14.5;2;30.5224741697;
21;3;30.7013587952;10.625;2;28.4720544815;2;22.7000007629;14.5;4;30.5906432867;
22;3;31.0832328796;10.625;2;29.1240577698;2;22.7000007629;14.5;4;30.6607804298;
23;3;31.4744338989;10.625;2;29.7835845947;2;22.7000007629;14.5;4;30.7328453064;
24;3;31.8701515198;10.625;3;30.442070961;2;22.7000007629;14.5;4;30.8067884445;
25;3;32.2652435303;10.625;3;31.0908403397;2;22.7000007629;14.5;6;30.8825509548;
26;3;32.6545028687;10.625;3;31.7215557098;2;22.7000007629;14.5;6;30.9600640535;
27;3;33.0329360962;10.625;3;32.3266487122;2;22.7000007629;14.5;6;31.0392494202;
28;3;33.3959884644;10.625;3;32.8996829987;2;22.7000007629;14.5;6;31.120018959;
29;3;33.7398071289;10.625;3;33.4356050491;3;22.7000007629;14.5;7;31.2022752762;
30;3;34.0613632202;10.625;3;33.9308757782;3;22.7000007629;14.5;8;31.2859115601;
31;3;34.3585281372;10.625;3;34.3834724426;3;22.7000007629;14.5;9;31.3708124161;
32;3;34.6300811768;12.625;3;34.7927808762;3;22.7000007629;14.5;10;31.4568536282;
