Turn;Planet_count_KI_1_SP_SCYLIOR;Research_KI_1_SP_SCYLIOR;Industry_KI_1_SP_SCYLIOR;Ships_KI_1_SP_SCYLIOR;Population_KI_1_SP_SCYLIOR;Planet_count_KI_6_SP_HUMAN;Research_KI_6_SP_HUMAN;Industry_KI_6_SP_HUMAN;Ships_KI_6_SP_HUMAN;Population_KI_6_SP_HUMAN;
1;1;11.8999996185;8.625;4;17.25;1;9.0;10.0;4;20.0;
2;1;11.8999996185;8.625;5;17.25;1;9.0;10.0;5;20.0;
3;1;11.8999996185;8.625;5;17.25;1;9.0;10.0;5;20.0;
4;1;11.8999996185;8.625;5;17.25;1;9.0;10.0;5;20.0;
5;1;12.8999996185;8.625;5;17.25;1;10.0;10.0;5;20.0;
6;1;13.8999996185;8.625;5;17.25;1;11.0;10.0;4;20.0;
7;1;14.8999996185;8.625;5;17.5949993134;1;11.0;10.0;4;20.3999996185;
8;1;15.5569992065;8.79749965668;5;17.8861961365;1;11.1199998856;10.1999998093;4;20.7264003754;
9;1;15.7317180634;8.94309806824;5;18.6667137146;1;11.2179203033;10.3632001877;4;20.9903717041;
10;2;16.8000278473;9.3333568573;4;20.3355960846;1;11.2971115112;10.4951858521;4;22.0419120789;
11;2;18.8000278473;9.6677980423;4;20.9491126537;1;11.6125736237;11.0209560394;4;22.9143505096;
12;2;20.8000278473;9.94955635071;4;21.468893528;2;12.1743059158;11.4571752548;3;24.6214065552;
13;2;21.8612117767;10.1834592819;4;21.9063943624;2;14.9125738144;11.8107032776;4;25.2732638121;
14;2;22.8935966492;10.3752222061;4;22.2735539675;2;16.9125728607;12.0916318893;4;25.8097290993;
15;2;23.9271945953;10.5308046341;5;22.519973278;2;17.9687099457;12.3113050461;4;26.2534979582;
16;2;24.2000274658;11.0059919357;5;22.5800433159;2;19.0000953674;12.4808797836;4;26.4042263031;
17;2;25.2000274658;11.0240125656;5;22.6421557665;2;20.0338420868;12.5;4;26.5249304771;
18;2;26.2000274658;11.0426464081;5;22.7063041925;2;21.0700531006;12.5;4;26.6541694403;
19;2;26.75;11.0618915558;5;22.7724741697;2;21.9962501526;12.5;4;26.7922235727;
20;2;26.75;11.0817422867;5;22.8406432867;2;21.5;13.0376672745;4;26.9393253326;
21;2;26.75;11.1021928787;6;22.9107804298;2;22.0817985535;12.5;6;27.0956480503;
22;2;26.75;11.1232337952;6;22.9828453064;2;22.1286945343;12.5;6;27.261295557;
