Turn;Planet_count_KI_1_SP_SCYLIOR;Research_KI_1_SP_SCYLIOR;Industry_KI_1_SP_SCYLIOR;Ships_KI_1_SP_SCYLIOR;Population_KI_1_SP_SCYLIOR;Planet_count_KI_6_SP_HUMAN;Research_KI_6_SP_HUMAN;Industry_KI_6_SP_HUMAN;Ships_KI_6_SP_HUMAN;Population_KI_6_SP_HUMAN;
1;1;11.8999996185;8.625;4;17.25;1;9.0;10.0;4;20.0;
2;1;11.8999996185;8.625;5;17.25;1;9.0;10.0;5;20.0;
3;1;11.8999996185;8.625;5;17.25;1;9.0;10.0;5;20.0;
4;1;11.8999996185;8.625;5;17.25;1;9.0;10.0;5;20.0;
5;1;12.8999996185;8.625;5;17.25;1;10.0;10.0;5;20.0;
6;1;13.8999996185;8.625;5;17.25;1;11.0;10.0;5;20.0;
7;1;14.8999996185;8.625;5;17.5949993134;1;11.0;10.0;5;20.3999996185;
8;1;15.5569992065;8.79749965668;5;17.8861961365;1;11.1199998856;10.1999998093;5;20.7264003754;
9;1;15.7317180634;8.94309806824;5;18.6667137146;1;11.2179203033;10.3632001877;5;20.9903717041;
10;1;16.2000274658;9.3333568573;5;19.3355960846;1;11.2971115112;10.4951858521;4;22.0419120789;
11;1;17.2000274658;9.6677980423;5;19.8991127014;1;11.6125736237;11.0209560394;4;22.9143505096;
12;1;18.2000274658;9.94955635071;5;20.3669185638;1;11.8743057251;11.4571752548;3;23.6214065552;
13;1;19.2000274658;10.1834592819;5;20.7504444122;1;12.8743057251;11.8107032776;3;24.1832637787;
14;1;20.2000274658;10.3752222061;5;21.0616092682;1;13.8743057251;12.0916318893;3;24.6226100922;
15;1;21.2000274658;10.5308046341;6;21.25;1;14.3867835999;12.3113050461;3;24.9617595673;
16;1;22.2000274658;10.625;6;21.25;1;14.488527298;12.4808797836;3;25.0;
17;1;23.2000274658;10.625;6;21.25;1;16.3867835999;12.5;3;25.0;
18;1;24.2000274658;10.625;6;21.25;1;17.3867835999;12.5;3;25.0;
19;1;24.75;10.625;6;21.25;1;18.3867835999;12.5;4;25.0;
20;1;24.75;10.625;6;21.25;1;19.3867835999;12.5;4;25.0;
21;1;24.75;10.625;7;21.25;1;19.5;12.5;4;25.0;
22;1;24.75;10.625;7;21.25;1;19.5;12.5;4;25.0;
23;1;24.75;10.625;7;21.25;1;19.5;12.5;4;25.0;
24;1;24.75;10.625;7;21.25;1;19.5;12.5;4;25.0;
