Turn;Planet_count_KI_1_SP_SCYLIOR;Research_KI_1_SP_SCYLIOR;Industry_KI_1_SP_SCYLIOR;Ships_KI_1_SP_SCYLIOR;Population_KI_1_SP_SCYLIOR;Planet_count_KI_6_SP_HUMAN;Research_KI_6_SP_HUMAN;Industry_KI_6_SP_HUMAN;Ships_KI_6_SP_HUMAN;Population_KI_6_SP_HUMAN;
1;1;11.8999996185;8.625;4;17.25;1;9.0;10.0;4;20.0;
2;1;11.8999996185;8.625;4;17.25;1;9.0;10.0;4;20.0;
3;1;11.8999996185;8.625;4;17.25;1;9.0;10.0;4;20.0;
4;1;11.8999996185;8.625;4;17.25;1;9.0;10.0;4;20.0;
5;2;13.5;8.625;3;18.25;1;10.0;10.0;4;20.0;
6;2;13.8999996185;8.625;3;18.3925000429;1;11.0;10.0;4;20.0;
7;2;14.8999996185;8.625;3;19.4276025295;2;11.3000001907;10.0;3;21.3999996185;
8;2;15.8674993515;9.05624961853;3;20.3734167814;2;11.4200000763;10.1999998093;3;21.7964004278;
9;2;16.3171424866;9.43095207214;3;21.8464522362;2;11.5389204025;10.3632001877;3;22.1345227957;
10;2;17.0400924683;10.0334100723;3;23.1974606514;2;11.6403570175;10.4951858521;2;23.2873874903;
11;2;19.0400924683;10.5534601212;3;24.4306635857;2;11.9862165451;11.0209560394;2;24.268861413;
12;2;21.0400924683;10.9906988144;3;25.5606431961;2;13.9862165451;11.4571752548;2;25.093021512;
13;2;23.0400924683;11.3499412537;3;26.6083745956;2;15.9862165451;11.8107032776;2;25.7803837061;
14;2;25.0378627777;11.6393785477;3;26.9355874062;2;17.091709137;12.0916318893;2;26.3539340496;
15;2;26.3559150696;11.537940979;3;27.3470187187;2;18.1319713593;12.3113050461;2;26.8362411261;
16;2;27.7123279572;11.4466466904;3;27.8416748047;2;19.1749191284;12.4808797836;2;27.0267930031;
17;2;29.1077194214;11.364481926;3;28.416577816;2;20.2206115723;12.5;2;27.1883933544;
18;3;30.5413970947;11.2905340195;2;29.0662755966;2;21.2690925598;12.5;4;27.3593420982;
19;3;31.4397659302;11.2239809036;2;29.7824835777;3;22.2078018188;12.5;4;27.5396113396;
20;3;31.8694915771;11.1640825272;2;30.5539541245;3;21.5;12.5;4;27.7290761471;
21;3;32.3323745728;11.1101741791;2;31.366648674;3;22.3187217712;12.5;5;27.9275052547;
22;3;32.8199882507;11.0616569519;2;32.2042665482;3;22.3782520294;12.5;5;28.1345529556;
23;3;33.3225593567;11.017991066;2;33.0491228104;3;22.4403648376;12.5;5;28.3497540951;
24;3;33.8294754028;10.9786920547;2;33.8832778931;3;22.5049266815;12.5;5;28.5725209713;
25;3;34.3299674988;10.9433231354;3;34.6897726059;3;22.5717563629;12.5;5;28.8021440506;
26;3;34.8138656616;10.9114904404;3;35.4537878036;3;22.6406440735;12.5;4;29.0377955437;
27;3;35.2722740173;10.8828411102;3;36.1635370255;3;22.7113380432;12.5;4;29.2785372734;
28;3;35.6981239319;10.8570566177;3;36.8107814789;3;22.7835617065;12.5;4;29.523332119;
29;3;36.0864715576;10.8338508606;3;37.3909244537;3;22.857000351;12.5;5;29.7710599899;
30;3;36.4345550537;10.8129653931;3;37.9027423859;3;22.9313182831;12.5;6;30.0205359459;
31;3;36.741645813;10.7941684723;3;38.3478336334;4;21.5;13.5;5;30.2705316544;
32;3;37.0086975098;12.7941684723;3;38.7299385071;4;20.5;13.5;5;30.5197997093;
33;3;37.2379646301;14.7941684723;3;39.0542411804;4;20.1559410095;14.5;5;30.76709795;
34;3;37.4325447083;16.7941684723;3;39.3267230988;4;19.5;13.5;5;31.0112137794;
35;3;37.5960350037;18.7941684723;3;39.5536460876;4;18.5;13.5;5;31.2509884834;
36;3;37.7321853638;20.7248916626;3;39.6798057556;4;18.3752975464;14.5;5;31.4853386879;
37;3;37.8078842163;20.7149028778;4;39.6618251801;4;17.5;13.5;5;31.7132763863;
38;3;37.7970962524;20.7059135437;4;39.6456432343;4;18.5;14.5;6;31.9339232445;
39;3;37.7873878479;20.6978225708;4;39.6310787201;4;17.5;13.5;6;32.146522522;
40;3;37.7786483765;20.6905403137;5;39.6179714203;4;17.5;13.5;6;32.350446701;
41;3;37.7707824707;20.6839866638;6;39.606174469;4;18.5;14.5;6;33.5452008247;
42;3;37.7637062073;20.6780872345;7;39.5955562592;4;18.5;13.5;6;33.7604205608;
43;3;37.7573356628;20.6727790833;7;39.5860004425;4;19.5;13.5;6;33.9664595127;
44;3;37.7516021729;20.6679992676;7;39.5774002075;4;21.8181762695;16.5;6;34.1631934643;
45;3;37.7464408875;20.6637001038;8;39.5696601868;4;23.5;19.5;6;34.3506081104;
46;3;37.7417984009;20.6598300934;8;39.5626945496;4;25.3051834106;22.5;8;34.5287846327;
47;3;37.7376174927;20.6563472748;8;39.5564250946;4;26.0118846893;25.5;9;34.6978908777;
48;3;37.7338562012;20.653213501;9;41.0277690887;4;26.0527534485;27.5;9;34.858165741;
49;3;38.6166610718;21.0466957092;9;42.2503948212;4;26.4574508667;27.5;11;35.0099070072;
50;3;39.3502388;21.3677806854;9;43.2502040863;4;26.5029716492;27.5;12;35.153460741;
51;4;39.9501228333;21.6251983643;9;44.0570278168;4;26.546037674;27.5;12;35.289206028;
52;4;40.4342155457;21.8285923004;9;44.7011299133;4;26.5867614746;27.5;13;35.3609591722;
53;4;40.8206787109;21.9874286652;9;44.9902687073;5;26.6082878113;27.5;12;35.3968753815;
54;4;40.9941635132;22.0;9;45.0;6;26.2000007629;27.5;9;50.4332377911;
55;4;41.0;22.0;10;45.0;6;27.2000007629;28.5;10;51.2200255394;
56;4;41.0;22.0;10;45.0;6;28.2000007629;29.5;10;51.9265912771;
57;4;41.0;22.0;11;45.0;6;28.2000007629;30.5;10;52.5520783663;
58;4;39.0;23.0;11;45.0;6;29.6634368896;31.5;10;53.0989860296;
59;4;38.0;24.0;11;45.0;6;28.6748142242;32.5;10;53.572301507;
60;4;37.0;25.0;11;45.0;6;29.6862926483;32.5;11;54.978628397;
61;4;36.0;26.0;12;45.0;6;31.6978607178;33.5;11;55.3753973246;
62;4;35.0;27.0;12;45.0;6;33.7095146179;34.5;11;55.7222075462;
63;4;34.0;28.0;12;46.0;6;31.7212409973;36.5;14;55.9327304363;
64;4;34.0;30.0;12;46.0900000334;6;30.7330341339;38.5;14;56.0282269716;
65;4;34.0;32.0;13;46.1871190071;7;30.744884491;40.5;12;67.1259180307;
66;4;33.0;34.0;11;46.2917383909;7;29.2000007629;44.1349868774;12;67.6657801867;
67;4;32.0;36.0;11;46.4042263031;7;29.5;48.1128921509;12;70.098306179;
68;4;31.0;38.0;12;46.5249304771;8;31.7999992371;48.693321228;11;72.1718891859;
69;5;30.0;40.0;12;46.6541694403;10;32.0340003967;51.1602172852;5;78.9301804304;
70;5;29.0;41.1579170227;12;46.7922235727;10;35.2123565674;52.6872596741;6;80.5703132153;
71;5;28.5999984741;42.2545547485;12;46.9393253326;10;38.972820282;55.7982063293;7;81.8215321302;
72;5;28.5999984741;42.0;14;47.0956480503;10;39.4270133972;58.9526367188;9;82.602159977;
73;5;28.5999984741;43.0;14;47.261295557;10;35.5232925415;63.1490631104;8;83.3344905376;
