Turn;Planet_count_KI_1_SP_SCYLIOR;Research_KI_1_SP_SCYLIOR;Industry_KI_1_SP_SCYLIOR;Ships_KI_1_SP_SCYLIOR;Population_KI_1_SP_SCYLIOR;Planet_count_KI_6_SP_HUMAN;Research_KI_6_SP_HUMAN;Industry_KI_6_SP_HUMAN;Ships_KI_6_SP_HUMAN;Population_KI_6_SP_HUMAN;
1;1;11.8999996185;8.625;4;17.25;1;9.0;10.0;4;20.0;
2;1;11.8999996185;8.625;5;17.25;1;9.0;10.0;5;20.0;
3;1;11.8999996185;8.625;4;17.25;1;9.0;10.0;5;20.0;
4;1;11.8999996185;8.625;3;17.25;1;9.0;10.0;5;20.0;
5;1;12.8999996185;8.625;3;17.25;1;10.0;10.0;5;20.0;
6;1;13.8999996185;8.625;3;17.25;1;11.0;10.0;5;20.0;
7;1;14.8999996185;8.625;3;17.5949993134;1;11.0;10.0;5;20.3999996185;
8;1;15.5569992065;8.79749965668;3;17.8861961365;1;11.1199998856;10.1999998093;5;20.7264003754;
9;1;15.7317180634;8.94309806824;3;18.6667137146;2;11.5179204941;10.3632001877;4;21.9903717041;
10;1;16.2000274658;9.3333568573;3;19.3355960846;2;11.597111702;10.4951858521;4;23.0919120312;
11;1;17.2000274658;9.6677980423;3;19.8991127014;2;11.927573204;11.0209560394;4;24.0163254738;
12;1;18.2000274658;9.94955635071;3;20.3669185638;2;13.9275741577;11.4571752548;4;24.7773565054;
13;1;19.2000274658;10.1834592819;3;20.7504444122;2;15.9275741577;11.8107032776;5;25.395208478;
14;1;20.2000274658;10.3752222061;3;21.0616092682;2;16.9761562347;12.0916318893;5;25.8925833702;
15;1;21.2000274658;10.5308046341;4;21.25;2;17.9935646057;12.3113050461;5;26.2918028831;
16;1;22.2000274658;10.625;4;21.25;2;19.0115871429;12.4808797836;5;26.3921557665;
17;1;23.2000274658;10.625;4;21.25;2;20.0302200317;12.5;5;26.4563041925;
18;1;24.2000274658;10.625;4;21.25;2;21.0494651794;12.5;5;26.5224741697;
19;1;24.75;10.625;4;21.25;2;21.956741333;12.5;5;26.5906432867;
20;1;24.75;10.625;4;21.25;2;21.977191925;12.5;5;26.6607804298;
21;1;24.75;10.625;5;21.25;2;21.9982337952;12.5;7;26.7328453064;
22;1;24.75;10.625;5;21.25;2;22.0198535919;12.5;7;26.8067884445;
23;1;24.75;10.625;5;21.25;2;22.0420360565;12.5;7;26.8825509548;
