Turn;Planet_count_KI_1_SP_SCYLIOR;Research_KI_1_SP_SCYLIOR;Industry_KI_1_SP_SCYLIOR;Ships_KI_1_SP_SCYLIOR;Population_KI_1_SP_SCYLIOR;Planet_count_KI_6_SP_HUMAN;Research_KI_6_SP_HUMAN;Industry_KI_6_SP_HUMAN;Ships_KI_6_SP_HUMAN;Population_KI_6_SP_HUMAN;
1;1;11.8999996185;8.625;4;17.25;1;9.0;10.0;4;20.0;
2;1;11.8999996185;8.625;5;17.25;1;9.0;10.0;5;20.0;
3;2;12.2999992371;8.625;4;18.25;2;9.19999980927;10.0;4;21.0;
4;2;12.2999992371;8.625;4;18.3250000477;2;9.19999980927;10.0;4;21.0900000334;
5;2;13.5450000763;8.625;4;18.4048187733;2;10.3269996643;10.0;4;21.1871190071;
6;2;14.5928907394;8.625;4;18.8461898565;2;11.3561353683;10.0;4;21.2917383909;
7;2;15.6507139206;8.79749965668;4;19.2405949831;2;11.3875217438;10.0;4;21.817143321;
8;2;16.5443572998;8.94309806824;4;20.1585245132;2;11.5451431274;10.1999998093;4;22.2793469429;
9;2;17.0951137543;9.3333568573;4;20.9767100811;2;11.683804512;10.3632001877;4;22.6900259256;
10;2;17.586025238;9.6677980423;4;21.7020223141;2;11.8070077896;10.4951858521;4;23.9506295919;
11;2;19.586025238;9.94955635071;4;22.3446578979;2;12.1851892471;11.0209560394;4;25.0538563728;
12;2;21.586025238;10.1834592819;4;22.9165091515;2;14.1851892471;11.4571752548;4;26.0146684647;
13;2;22.7499065399;10.3752222061;4;23.4298532009;2;16.1851882935;11.8107032776;5;26.8543052673;
14;2;24.0223026276;10.5308046341;5;23.8345062733;2;17.4138870239;12.0916318893;5;27.5962526798;
15;2;25.1520595551;10.625;5;24.0649278164;2;18.5046653748;12.3113050461;5;28.2632865906;
16;2;26.2903137207;10.625;5;24.3094062805;2;19.6030311584;12.4808797836;5;28.6547400951;
17;2;27.4370002747;10.625;5;24.5676383972;2;20.7089958191;12.5;5;29.0328326225;
18;2;28.5919399261;10.625;5;24.8390996456;2;21.8224239349;12.5;5;29.4347915649;
19;2;28.903459549;10.625;5;25.1230297089;2;22.8304367065;12.5;6;29.8589887619;
20;2;29.0738182068;10.625;5;25.4184246063;2;22.9576969147;12.5;6;30.3031497002;
21;2;29.2510547638;10.625;6;25.7240357399;2;23.0909442902;12.5;6;30.7643566132;
22;2;29.4344215393;10.625;6;26.0383796692;2;23.2293071747;12.5;6;31.2390885353;
