Turn;Planet_count_KI_1_SP_SCYLIOR;Research_KI_1_SP_SCYLIOR;Industry_KI_1_SP_SCYLIOR;Ships_KI_1_SP_SCYLIOR;Population_KI_1_SP_SCYLIOR;Planet_count_KI_6_SP_HUMAN;Research_KI_6_SP_HUMAN;Industry_KI_6_SP_HUMAN;Ships_KI_6_SP_HUMAN;Population_KI_6_SP_HUMAN;
1;1;11.8999996185;8.625;4;17.25;1;9.0;10.0;4;20.0;
2;1;11.8999996185;8.625;5;17.25;1;9.0;10.0;5;20.0;
3;1;11.8999996185;8.625;5;17.25;2;9.19999980927;10.0;4;21.0;
4;1;11.8999996185;8.625;6;17.25;2;9.19999980927;10.0;4;21.0900000334;
5;1;12.8999996185;8.625;6;17.25;2;10.3269996643;10.0;4;21.1871190071;
6;1;13.8999996185;8.625;6;17.25;2;11.3561353683;10.0;3;21.2917383909;
7;2;15.5;8.625;5;18.5949993134;2;11.3875217438;10.0;3;21.817143321;
8;2;16.156999588;8.79749965668;5;18.9711961746;2;11.5451431274;10.1999998093;3;22.2793469429;
9;2;16.3827171326;8.94309806824;5;19.8647165298;2;11.683804512;10.3632001877;3;22.6900259256;
10;2;16.9188289642;9.3333568573;5;20.6570171118;2;11.8070077896;10.4951858521;3;23.9506295919;
11;2;18.9188289642;9.6677980423;5;21.3550356627;2;12.1851892471;11.0209560394;3;25.0538563728;
12;2;20.9188289642;9.94955635071;5;21.9690755606;2;14.1851892471;11.4571752548;3;26.0146684647;
13;2;22.16132164;10.1834592819;5;22.5111804008;2;16.1851882935;11.8107032776;4;26.8543052673;
14;2;22.5067100525;10.3752222061;5;22.993827939;2;17.4138870239;12.0916318893;4;27.5962526798;
15;2;22.7962989807;10.5308046341;5;23.3670890331;2;18.5046653748;12.3113050461;4;28.2632865906;
16;2;23.0202541351;10.625;5;23.5657336712;2;19.6030311584;12.4808797836;4;28.6547400951;
17;2;23.1394405365;10.625;5;23.778416872;2;20.7089958191;12.5;4;29.0328326225;
18;2;23.2670497894;10.625;5;24.0052559376;2;21.8224239349;12.5;4;29.4347915649;
19;2;23.4031524658;10.625;5;24.2461960316;2;22.8304367065;12.5;5;29.8589887619;
20;2;23.5477180481;10.625;5;24.5009865761;2;22.9576969147;12.5;6;30.3031497002;
21;2;25.700592041;10.625;5;24.7691609859;2;23.0909442902;12.5;6;30.7643566132;
22;2;26.8614959717;10.625;5;25.0500195026;2;23.2293071747;12.5;5;31.2390885353;
