Turn;Planet_count_KI_1_SP_SCYLIOR;Research_KI_1_SP_SCYLIOR;Industry_KI_1_SP_SCYLIOR;Ships_KI_1_SP_SCYLIOR;Population_KI_1_SP_SCYLIOR;Planet_count_KI_6_SP_HUMAN;Research_KI_6_SP_HUMAN;Industry_KI_6_SP_HUMAN;Ships_KI_6_SP_HUMAN;Population_KI_6_SP_HUMAN;
1;1;11.8999996185;8.625;4;17.25;1;9.0;10.0;4;20.0;
2;1;11.8999996185;8.625;5;17.25;1;9.0;10.0;4;20.0;
3;1;11.8999996185;8.625;5;17.25;1;9.0;10.0;4;20.0;
4;1;11.8999996185;8.625;5;17.25;1;9.0;10.0;4;20.0;
5;1;12.8999996185;8.625;4;17.25;1;10.0;10.0;3;20.0;
6;1;13.8999996185;8.625;4;17.25;2;11.3000001907;10.0;2;21.0;
7;1;14.8999996185;8.625;4;17.5949993134;2;11.3000001907;10.0;2;21.3999996185;
8;2;16.156999588;8.79749965668;3;18.8861961365;2;11.4200000763;10.1999998093;2;21.7264003754;
9;2;16.3317184448;8.94309806824;3;19.696713686;2;11.5179204941;10.3632001877;2;21.9903717041;
10;2;16.8180274963;9.3333568573;3;20.396187067;2;11.597111702;10.4951858521;2;23.0719120502;
11;2;18.8180274963;9.6677980423;3;20.9908788204;2;11.9215736389;11.0209560394;2;23.9749414921;
12;2;20.8180274963;9.94955635071;2;21.4904358387;2;13.9215736389;11.4571752548;2;24.7131726742;
13;2;21.8741378784;10.1834592819;2;21.9062794447;2;15.9215736389;11.8107032776;2;25.3067810535;
14;2;22.8935279846;10.3752222061;2;22.2503181696;2;16.94962883;12.0916318893;2;25.7784451246;
15;2;23.9132537842;10.5308046341;3;22.4721269608;2;17.9593238831;12.3113050461;2;26.1504684687;
16;2;24.933303833;10.625;3;22.5060760975;2;18.9691867828;12.4808797836;3;26.2221269608;
17;2;25.9536724091;10.625;3;22.5405418873;3;19.9792118073;12.5;3;26.2560760975;
18;2;26.9743518829;10.625;3;22.5755085945;3;20.989397049;12.5;3;26.2905418873;
19;2;27.5453052521;10.625;3;22.6109591722;3;21.8871631622;12.5;3;26.3255085945;
20;2;27.566576004;10.625;3;22.6468753815;3;21.8976516724;12.5;4;26.3609591722;
21;2;27.5881252289;10.625;4;22.6832377911;3;21.9082870483;12.5;4;26.3968753815;
22;2;27.6099433899;10.625;4;22.7200255394;3;21.9190635681;12.5;4;26.4332377911;
23;2;27.6320152283;10.625;4;22.7572168112;3;21.9299716949;12.5;4;26.4700255394;
24;2;27.6543292999;10.625;4;22.7947884798;3;21.9410076141;12.5;4;26.5072168112;
25;2;27.6768722534;10.625;4;22.8327163458;3;21.9521656036;12.5;5;26.5447884798;
26;2;27.6996307373;10.625;4;22.8709751368;4;21.9634361267;12.5;4;26.5827163458;
27;2;27.7225856781;10.625;4;22.9095385075;4;21.9748153687;12.5;5;26.6209751368;
28;2;27.7457237244;10.625;4;22.9483793974;4;21.9862918854;12.5;5;26.6595385075;
29;3;27.76902771;10.625;3;22.9874696732;4;21.9978618622;12.5;5;26.6983793974;
30;3;27.7924823761;10.625;3;23.0267804861;4;22.009513855;12.5;5;26.7374696732;
31;3;27.8160686493;10.625;3;23.0662822723;4;22.0212402344;12.5;5;26.7767804861;
32;3;27.8397693634;10.625;3;23.1059447527;4;21.5;13.3883905411;5;26.8162822723;
