Turn;Planet_count_KI_1_SP_CRAY;Research_KI_1_SP_CRAY;Industry_KI_1_SP_CRAY;Ships_KI_1_SP_CRAY;Population_KI_1_SP_CRAY;Planet_count_KI_6_SP_TRITH;Research_KI_6_SP_TRITH;Industry_KI_6_SP_TRITH;Ships_KI_6_SP_TRITH;Population_KI_6_SP_TRITH;
64;6;28.5999984741;29.0;7;36.2612638474;8;31.5447998047;54.5086402893;20;78.6998798847;
65;6;29.5999984741;30.0;7;36.5874452591;8;33.5447998047;55.6169624329;21;79.0692462921;
66;6;30.5999984741;31.0;8;36.9181137085;8;33.040687561;59.6974258423;21;79.2037338018;
67;6;28.5999984741;33.0;8;37.2526247501;8;32.5515098572;63.7544746399;21;79.3619984388;
68;6;29.5999984741;33.0;8;37.590280652;8;32.5957756042;64.6838302612;22;79.538967967;
69;6;27.5999984741;35.0;8;37.9303356409;9;31.3966846466;67.6058197021;20;79.7302774191;
70;6;26.5999984741;36.0;9;38.2719995975;9;30.8453273773;70.6403274536;19;79.9322069883;
71;6;25.5999984741;37.0;9;38.6144468784;9;31.8659858704;70.6696777344;20;80.0938190222;
72;6;24.5999984741;38.6524085999;9;38.9568235874;9;30.8871669769;73.6723937988;19;80.2034922838;
73;6;23.5999984741;39.0;9;39.2982577085;9;30.9088630676;76.6448135376;20;80.3265621662;
74;6;22.5999984741;40.0;10;39.6378701925;9;31.9310684204;75.9826431274;21;80.4604371786;
75;6;21.5999984741;41.0;10;39.9747877121;10;31.9537715912;75.5826721191;20;80.6029334068;
76;6;20.5999984741;42.0;10;40.3081521988;10;32.9769630432;75.5803146362;21;80.7522192001;
77;6;19.5999984741;43.0;11;40.6371340752;10;32.0006256104;74.5797195435;21;80.9067823887;
78;6;18.5999984741;44.0;12;40.9609447718;10;31.0247497559;76.5808410645;21;81.0653793812;
79;6;18.0;45.0;12;41.2788441181;10;32.0493164062;77.5376586914;22;81.2270009518;
80;6;18.0;46.0;13;41.5901539326;10;33.0743026733;77.5182952881;22;81.3908293247;
81;6;18.0;47.0;13;41.8942624331;10;35.0996932983;78.4999847412;23;81.5562130213;
82;6;18.0;48.0;14;42.1373566389;10;37.1254692078;79.3821487427;23;81.6811312437;
83;6;18.0;49.0;14;42.3682183027;10;39.151599884;79.3623199463;22;81.7519134283;
84;6;18.0;50.0;14;42.5934596062;10;40.678062439;79.349609375;21;81.8318078518;
85;6;19.0;48.0;14;42.8126888275;10;41.7048339844;79.3375015259;19;81.9198925495;
86;6;18.0;49.0;14;43.0255887508;10;42.731880188;79.325958252;18;82.0153069496;
87;6;18.0;50.0;13;43.2319145203;10;41.7591781616;79.3198928833;18;82.1172459126;
88;6;19.0;48.0;12;43.431491375;10;39.7866897583;83.9655456543;17;82.2249557972;
89;6;18.0;49.0;12;43.6242084503;10;38.8143920898;85.9995269775;18;82.3377330303;
90;6;18.0;50.0;15;43.8100156784;10;36.7999992371;89.0398635864;18;82.4549129009;
91;6;19.0;48.0;15;43.9889154434;10;36.7999992371;90.0679168701;20;82.5758712292;
92;6;18.0;49.0;14;44.1609587669;10;34.8982772827;90.1021728516;18;82.7000186443;
93;6;18.0;50.0;14;44.3262367249;10;33.7999992371;92.1426467896;20;82.8268046379;
94;6;19.0;48.0;13;44.4848747253;11;35.7999992371;93.1705169678;17;82.955706358;
95;6;18.0;49.0;11;44.6370272636;11;34.9826164246;93.2044754028;16;83.0862324238;
96;6;18.0;50.0;11;44.7525100708;11;35.0106658936;94.2381973267;16;83.2179229259;
97;6;19.0;48.0;12;44.8143725395;11;36.0386276245;96.2716217041;18;83.3503446579;
98;6;18.0;49.0;12;44.8758842945;11;35.7999992371;96.310874939;17;83.4830913544;
99;6;18.0;50.0;12;44.936971426;11;35.7999992371;94.9190979004;17;83.730820179;
100;6;19.0;48.0;12;44.9975619316;11;34.7999992371;94.3580551147;18;83.9840493202;
