Turn;Planet_count_KI_1_SP_CRAY;Research_KI_1_SP_CRAY;Industry_KI_1_SP_CRAY;Ships_KI_1_SP_CRAY;Population_KI_1_SP_CRAY;Planet_count_KI_6_SP_TRITH;Research_KI_6_SP_TRITH;Industry_KI_6_SP_TRITH;Ships_KI_6_SP_TRITH;Population_KI_6_SP_TRITH;
1;1;11.0;10.0;4;20.0;1;10.8880004883;14.720000267;4;29.4400005341;
2;1;11.0;10.0;5;20.0;1;10.8880004883;14.720000267;6;29.4400005341;
3;1;11.0;10.0;5;20.0;1;10.8880004883;14.720000267;6;29.4400005341;
4;1;11.0;10.0;5;20.0;2;11.0880002975;14.720000267;5;30.4400005341;
5;1;12.0;10.0;5;20.0;2;12.188000679;14.720000267;5;30.4584004879;
6;2;13.4499998093;10.0;4;21.0;2;13.193520546;14.720000267;5;30.2708485126;
7;2;14.4499998093;10.0;4;21.3999996185;2;14.0812549591;14.617600441;5;30.189489007;
8;2;14.6300001144;10.1999998093;4;21.7264003754;2;14.0568466187;14.5682401657;5;30.1181101799;
9;2;14.7768793106;10.3632001877;4;22.8594274521;2;14.0354328156;14.5238161087;5;31.2068023682;
10;2;15.2867431641;10.9097137451;4;23.8127875328;2;16.0728569031;15.0502128601;5;32.0175632238;
11;2;17.2867431641;11.3658018112;4;24.5981152058;2;18.0728569031;15.4372406006;5;32.6100423336;
12;2;19.2867431641;11.7372808456;4;25.2345055342;2;20.0728569031;15.7147283554;5;32.8908778429;
13;2;20.3439407349;12.0336990356;5;25.7443674803;2;21.1066074371;15.8360004425;5;32.929944396;
14;2;21.3640708923;12.2662630081;5;26.1502821445;2;22.1183261871;15.8360004425;6;32.9697716236;
15;2;22.3847293854;12.446267128;5;26.3048160076;2;23.1302757263;15.8360004425;6;33.0103429556;
16;2;23.4059104919;12.5;5;26.3530313969;2;23.9031028748;15.8360004425;6;33.0516395569;
17;2;24.4276065826;12.5;5;26.4023760557;2;23.9154911041;15.8360004425;7;33.0936406851;
18;2;25.4498119354;12.5;4;26.4528282881;2;23.9280929565;15.8360004425;7;33.136323452;
19;2;25.9037723541;12.5;5;26.5043625832;2;23.9408969879;15.8360004425;7;33.1796627045;
20;2;25.9269638062;12.5;5;26.5569496155;2;23.9538993835;15.8360004425;8;33.2236312628;
21;2;25.9506263733;12.5;5;26.6105561256;2;23.9670886993;15.8360004425;8;33.2681998014;
22;2;25.9747505188;12.5;5;26.6651450396;2;23.9804592133;15.8360004425;8;33.3133370876;
23;2;25.9993152618;12.5;5;26.72067523;2;23.9940013885;15.8360004425;8;33.3590099812;
24;2;26.0243034363;12.5;6;26.7771017551;2;24.0077037811;15.8360004425;8;33.4051833153;
25;3;25.25;13.2108402252;5;26.8343759775;2;24.0215549469;15.8360004425;8;33.4518201351;
26;4;25.25;13.2337503433;5;26.8924454451;2;24.0355453491;15.8360004425;8;33.4988818169;
27;4;25.25;13.256978035;5;26.9512542486;2;24.0496635437;15.8360004425;8;33.5463280678;
28;4;25.25;13.2805013657;5;27.0107431412;2;23.5016002655;15.8360004425;6;33.5941172838;
29;4;25.25;13.3042974472;5;27.0708494186;2;23.5016002655;15.8360004425;6;33.6422064304;
30;4;25.25;13.3283395767;5;27.1315076351;2;23.5016002655;15.8360004425;6;33.690551281;
31;4;25.25;13.3526029587;5;27.1926498413;2;21.5016002655;16.8360004425;6;33.7391064167;
32;4;23.25;14.3770599365;5;27.2542052269;2;20.5016002655;17.8360004425;6;33.7878258228;
33;4;24.25;13.4016819;5;27.3161010742;2;19.5016002655;18.8360004425;7;33.8366627693;
34;4;22.25;14.426440239;5;27.3782629967;2;18.5016002655;19.8360004425;8;33.8855698109;
35;4;21.25;15.4513053894;5;27.4406147003;3;17.5016002655;20.8360004425;7;33.9344992638;
36;4;20.25;16.4762458801;5;27.5030794144;3;16.5016002655;21.8360004425;8;33.9834032059;
37;4;21.25;18.4762458801;5;27.5655794144;3;15.5016002655;22.8360004425;8;34.0322339535;
38;4;22.25;20.4762458801;6;27.628036499;3;15.5016002655;23.8360004425;8;35.0809435844;
39;4;23.25;21.4762458801;7;27.690372467;3;16.0;24.8360004425;8;35.184685111;
40;4;24.25;22.4762458801;7;27.7525100708;3;17.0;24.8360004425;10;35.2906763554;
41;4;25.25;23.4762458801;8;27.8143725395;3;18.0;25.8360004425;11;35.3989166021;
42;4;25.25;23.625749588;9;27.8758842945;3;19.0;26.8360004425;11;35.5093992949;
43;4;25.25;23.650352478;9;27.936971426;3;20.0;28.8360004425;11;35.6221110821;
44;4;25.25;23.6747894287;10;27.9975619316;3;21.0;30.8360004425;12;35.7370319366;
45;4;25.25;23.6990242004;10;28.0575861931;3;22.0;30.8360004425;13;35.8541339636;
46;4;25.25;23.723033905;10;28.1169772148;3;23.0;30.8360004425;12;35.9733804464;
47;4;25.25;23.7467918396;9;28.1756706238;3;24.0;30.8360004425;13;36.0947256088;
48;4;25.25;23.7702674866;9;28.2336053848;3;25.0;30.8360004425;13;36.2181136608;
49;4;25.25;23.7934417725;7;29.2907235622;3;25.5016002655;30.8360004425;13;36.3434779644;
50;4;26.25;24.8162899017;7;29.3669710159;3;25.5016002655;31.7097892761;15;36.4707410336;
51;4;27.25;25.8387889862;7;29.4424934387;3;25.5016002655;30.8360004425;15;36.5998135805;
52;4;27.25;26.8609199524;8;29.5172377825;3;25.5016002655;30.8360004425;16;36.7305943966;
53;4;27.25;27.8826618195;9;29.591154933;3;25.5016002655;30.8360004425;16;36.8629696369;
54;4;27.25;28.904001236;9;29.6641995907;3;25.5016002655;30.8360004425;15;36.9968132973;
55;4;27.25;28.9249210358;10;29.7363299131;3;25.5016002655;30.8360004425;17;37.131986618;
56;4;27.25;28.9454078674;10;29.8075079918;3;25.5016002655;30.8360004425;17;37.2683386803;
57;4;27.25;28.9654464722;11;29.877699852;3;25.5016002655;30.8360004425;18;37.4057068825;
58;4;27.25;28.9850311279;12;29.9468748569;3;25.5016002655;30.8360004425;18;37.5439171791;
59;4;27.25;29.0041503906;12;30.0150066614;3;25.5016002655;30.8360004425;19;37.6827847958;
60;4;27.25;29.0227966309;11;30.0820719004;3;25.5016002655;30.8360004425;19;37.8221149445;
61;4;27.25;29.655796051;12;30.1480510235;3;25.5016002655;30.8360004425;19;37.961704731;
62;4;27.25;29.6843643188;13;31.2908600569;3;25.5016002655;30.8360004425;20;38.0879650116;
63;4;27.7000007629;30.2436752319;11;32.2126684189;3;25.5016002655;30.8360004425;21;38.1935226917;
64;4;28.0510005951;30.0449447632;12;32.9477039576;3;25.5016002655;31.8360004425;17;38.2995347977;
65;4;28.3185329437;30.3895816803;13;33.5316251516;3;25.5016002655;30.8360004425;17;38.4057788849;
66;4;28.5187683105;30.6587791443;13;33.8492687941;3;25.5016002655;30.8360004425;17;39.8262970448;
67;4;28.5999984741;30.7949905396;14;33.9843268394;3;25.8406181335;31.4010295868;17;40.9205703735;
68;4;28.5999984741;30.8400917053;15;34.1170874834;3;27.0805263519;31.8008766174;17;41.7688941956;
69;4;28.5999984741;30.8842487335;15;34.2473438978;3;27.4206180573;32.0761184692;17;42.1568539143;
70;4;28.5999984741;30.9273872375;16;34.3749096394;3;26.2719993591;33.1200027466;18;42.4584228992;
71;4;28.5999984741;30.9694328308;14;34.4996203184;3;26.2719993591;32.1200027466;18;42.7603597641;
72;4;28.5999984741;32.9273872375;15;34.6213322878;3;27.2719993591;32.1200027466;17;43.0616297722;
73;4;28.5999984741;33.9273872375;13;34.7399249077;3;27.7026462555;32.1200027466;15;43.361187458;
74;4;28.5999984741;34.9273872375;14;34.8552987576;3;27.7671852112;32.1200027466;14;43.6579937935;
75;4;28.5999984741;35.9273872375;14;34.9673756361;3;27.8314189911;32.1200027466;13;43.9510321617;
76;4;28.5999984741;36.9273872375;14;35.0760980844;3;27.895072937;32.1200027466;9;44.2393240929;
77;4;28.5999984741;37.9273872375;16;35.1814280748;3;27.9578819275;32.1200027466;10;44.521944046;
78;4;28.5999984741;38.9273872375;17;35.2833464146;3;28.0195922852;32.1200027466;11;44.7980337143;
79;4;28.5999984741;39.9273872375;18;35.3818508387;3;28.0799674988;32.1200027466;11;45.0668129921;
80;4;26.5999984741;41.9273872375;18;35.4769543409;3;28.1387882233;32.1200027466;12;45.3275895119;
81;4;25.977016449;43.320526123;18;35.5686854124;3;28.1958618164;32.1200027466;13;45.5797657967;
82;4;24.9820098877;44.3483428955;19;35.657084465;3;26.2719993591;33.1200027466;13;45.822842598;
83;4;23.9869842529;45.3748588562;19;35.7419531345;3;27.2719993591;32.1200027466;13;46.0564217567;
84;4;22.9919376373;46.4000015259;18;35.7638677359;3;26.2719993591;32.1200027466;14;46.2802057266;
85;4;21.9968681335;47.4000015259;18;35.7856714725;3;26.2719993591;32.1200027466;15;46.4939923286;
86;4;21.0017738342;48.4000015259;13;35.8073554039;3;26.2719993591;32.1200027466;15;46.6976723671;
87;4;19.5999984741;49.4000015259;12;35.8289107084;3;26.2719993591;32.1200027466;15;46.8912239075;
88;4;18.5999984741;50.4000015259;12;35.8503289223;3;27.2719993591;32.1200027466;15;47.0524973869;
89;4;17.5999984741;51.4000015259;12;35.8716015816;3;28.2719993591;32.1200027466;15;47.1755905151;
90;4;17.0211086273;52.4000015259;11;35.8927206993;3;26.2719993591;32.1200027466;16;47.291056633;
91;4;16.0;53.4000015259;9;35.9136784077;3;27.2719993591;32.1200027466;15;47.3990931511;
92;4;16.0;54.4000015259;10;35.9344670773;3;28.2719993591;32.1200027466;15;47.499935627;
93;4;16.0;55.4000015259;10;35.9550794363;3;28.7091789246;32.1200027466;17;47.5938534737;
