Turn;Planet_count_KI_1_SP_ETTY;Research_KI_1_SP_ETTY;Industry_KI_1_SP_ETTY;Ships_KI_1_SP_ETTY;Population_KI_1_SP_ETTY;Planet_count_KI_6_SP_SCYLIOR;Research_KI_6_SP_SCYLIOR;Industry_KI_6_SP_SCYLIOR;Ships_KI_6_SP_SCYLIOR;Population_KI_6_SP_SCYLIOR;
1;1;9.0;10.0;4;20.0;1;11.8999996185;8.625;4;17.25;
2;1;9.0;10.0;5;20.0;1;11.8999996185;8.625;5;17.25;
3;1;9.0;10.0;5;20.0;1;11.8999996185;8.625;5;17.25;
4;1;9.0;10.0;4;20.0;1;11.8999996185;8.625;5;17.25;
5;1;10.0;10.0;4;20.0;1;12.8999996185;8.625;5;17.25;
6;1;11.0;10.0;4;20.0;1;13.8999996185;8.625;5;17.25;
7;1;11.0;10.0;4;20.3999996185;1;14.8999996185;8.625;5;17.5949993134;
8;2;11.4200000763;10.1999998093;3;21.7264003754;2;16.5569992065;8.79749965668;4;18.8861961365;
9;2;11.5179204941;10.3632001877;3;21.9903717041;2;17.7317180634;8.94309806824;4;19.7067136765;
10;2;11.597111702;10.4951858521;3;23.0719120502;2;19.2000274658;9.3333568573;4;20.416779995;
11;2;11.9215736389;11.0209560394;3;23.9749414921;2;21.2000274658;9.6677980423;4;21.0226662159;
12;2;13.9215736389;11.4571752548;3;24.7131726742;2;23.2000274658;9.94955635071;4;21.5340260267;
13;2;15.9215736389;11.8107032776;4;25.3067810535;2;24.9002914429;10.1834592819;4;21.9622858763;
14;2;16.94962883;12.0916318893;4;25.7784451246;2;25.9271316528;10.3752222061;4;22.3193571568;
15;2;17.9593238831;12.3113050461;4;26.1504684687;2;26.9546756744;10.5308046341;5;22.5548160076;
16;2;18.9691867828;12.4808797836;4;26.2221269608;2;27.9829177856;10.625;5;22.6030313969;
17;2;19.9792118073;12.5;4;26.2560760975;2;29.0118465424;10.625;5;22.6523760557;
18;2;20.989397049;12.5;4;26.2905418873;2;30.0414543152;10.625;5;22.7028282881;
19;2;21.8871631622;12.5;5;26.3255085945;2;30.6216964722;10.625;5;22.7543625832;
20;2;21.8976516724;12.5;5;26.3609591722;2;30.6526184082;10.625;5;22.8069496155;
21;2;21.9082870483;12.5;5;26.3968753815;2;30.6841697693;10.625;5;22.8605561256;
22;2;21.9190635681;12.5;5;26.4332377911;2;30.7163333893;10.625;6;22.9151450396;
23;2;21.9299716949;12.5;5;26.4700255394;2;30.7490882874;10.625;6;22.97067523;
24;2;21.9410076141;12.5;5;26.5072168112;2;30.7824058533;10.625;6;23.0271017551;
25;2;21.9521656036;12.5;6;26.5447884798;2;30.8162612915;10.625;6;23.0843759775;
26;2;21.9634361267;12.5;6;26.5827163458;2;30.8506259918;10.625;6;23.1424454451;
27;2;19.9748153687;13.5;6;26.6209751368;3;30.8854675293;10.625;5;23.2012542486;
28;2;18.9862918854;14.5;6;26.6595385075;3;30.920753479;10.625;5;23.2607431412;
29;2;17.9978618622;15.5;6;26.6983793974;3;30.956445694;10.625;5;23.3208494186;
30;2;17.009513855;16.5;6;26.7374696732;3;30.9925098419;10.625;5;23.3815076351;
