Turn;Planet_count_KI_1_SP_ETTY;Research_KI_1_SP_ETTY;Industry_KI_1_SP_ETTY;Ships_KI_1_SP_ETTY;Population_KI_1_SP_ETTY;Planet_count_KI_6_SP_SCYLIOR;Research_KI_6_SP_SCYLIOR;Industry_KI_6_SP_SCYLIOR;Ships_KI_6_SP_SCYLIOR;Population_KI_6_SP_SCYLIOR;
1;1;9.0;10.0;4;20.0;1;11.8999996185;8.625;4;17.25;
2;1;9.0;10.0;5;20.0;1;11.8999996185;8.625;5;17.25;
3;1;9.0;10.0;5;20.0;2;12.2999992371;8.625;4;18.25;
4;1;9.0;10.0;5;20.0;2;12.2999992371;8.625;5;18.3250000477;
5;1;10.0;10.0;5;20.0;2;13.5450000763;8.625;5;18.4048187733;
6;1;11.0;10.0;5;20.0;2;14.5928907394;8.625;5;18.8461898565;
7;1;11.0;10.0;5;20.3999996185;2;15.6507139206;8.79749965668;5;19.2405949831;
8;1;11.1199998856;10.1999998093;5;20.7264003754;2;16.5443572998;8.94309806824;5;20.1585245132;
9;1;11.2179203033;10.3632001877;5;20.9903717041;2;17.0951137543;9.3333568573;5;20.9767100811;
10;2;11.597111702;10.4951858521;4;23.0419120789;2;17.586025238;9.6677980423;4;21.7020223141;
11;2;11.9125738144;11.0209560394;4;23.964350462;2;19.586025238;9.94955635071;4;22.3446578979;
12;2;12.1893053055;11.4571752548;4;24.7233815193;2;21.586025238;10.1834592819;4;22.9165091515;
13;2;14.9275741577;11.8107032776;5;25.3392137289;2;22.7499065399;10.3752222061;4;23.4298532009;
14;2;16.9275741577;12.0916318893;4;25.8345547915;2;23.0579128265;10.5308046341;4;23.8345062733;
15;2;17.9761562347;12.3113050461;4;26.2317328453;2;23.3007030487;10.625;4;24.0649278164;
16;2;18.9935646057;12.4808797836;4;26.3300433159;2;23.4389572144;10.625;4;24.3094062805;
17;2;20.0115871429;12.5;4;26.3921557665;2;23.5856437683;10.625;4;24.5676383972;
18;2;21.0302200317;12.5;4;26.4563041925;2;23.7405834198;10.625;4;24.8390996456;
19;2;21.9368915558;12.5;5;26.5224741697;2;23.903459549;10.625;4;25.1230297089;
20;2;21.956741333;12.5;6;26.5906432867;2;24.0738182068;10.625;4;25.4184246063;
21;2;21.977191925;12.5;7;26.6607804298;2;26.2510547638;10.625;5;25.7240357399;
22;2;21.9982337952;12.5;7;26.7328453064;2;27.4344215393;10.625;5;26.0383796692;
23;2;22.0198535919;12.5;7;26.8067884445;2;28.6230278015;10.625;5;26.3597574234;
24;2;22.0420360565;12.5;6;26.8825509548;2;29.8158531189;10.625;5;26.6862831116;
25;2;21.5;12.9706373215;6;26.9600640535;2;30.0117702484;10.625;5;27.0159239769;
26;2;21.5;12.9900159836;6;27.0392494202;2;30.2095546722;10.625;5;27.3465466499;
27;2;22.1117744446;12.5;6;27.120018959;2;30.4079284668;10.625;5;27.6759705544;
28;2;21.5;13.3480072021;7;27.2022752762;2;30.6055831909;10.625;5;28.0020260811;
29;2;22.1606826782;12.5;7;27.2859115601;3;30.8012161255;10.625;4;28.3226103783;
30;2;21.5;13.4143648148;7;27.3708124161;3;30.9935665131;10.625;4;28.6357421875;
