Turn;Planet_count_KI_1_SP_ETTY;Research_KI_1_SP_ETTY;Industry_KI_1_SP_ETTY;Ships_KI_1_SP_ETTY;Population_KI_1_SP_ETTY;Planet_count_KI_6_SP_CHATO;Research_KI_6_SP_CHATO;Industry_KI_6_SP_CHATO;Ships_KI_6_SP_CHATO;Population_KI_6_SP_CHATO;
1;1;9.0;10.0;4;20.0;1;13.0;10.0;4;20.0;
2;1;9.0;10.0;5;20.0;1;13.0;10.0;4;20.0;
3;1;9.0;10.0;5;20.0;1;13.0;10.0;4;20.0;
4;1;9.0;10.0;5;20.0;1;14.0;10.0;4;20.0;
5;1;10.0;10.0;4;20.0;1;15.0;10.0;4;20.0;
6;1;11.0;10.0;4;20.0;1;16.0;10.0;4;20.3999996185;
7;1;11.0;10.0;4;20.3999996185;1;17.0;10.1999998093;4;20.7264003754;
8;1;11.1199998856;10.1999998093;4;20.7264003754;1;17.4358406067;10.3632001877;4;21.8194274902;
9;1;11.2179203033;10.3632001877;4;20.9903717041;2;18.6916561127;10.9097137451;3;23.7316036224;
10;1;11.2971115112;10.4951858521;4;22.0419120789;2;20.6916561127;11.3658018112;3;24.5145616531;
11;1;11.6125736237;11.0209560394;4;22.9143505096;2;22.6916561127;11.7372808456;3;25.1485819817;
12;1;11.8743057251;11.4571752548;4;23.6214065552;2;23.7403659821;12.0336990356;3;25.6560795307;
13;1;12.8743057251;11.8107032776;4;24.1832637787;2;24.7657871246;12.2662630081;3;26.0596417189;
14;2;14.8743057251;12.0916318893;3;25.6226100922;2;25.7919197083;12.446267128;2;26.211841464;
15;2;16.3867835999;12.3113050461;3;26.0017595291;2;26.8187599182;12.5;3;26.2577478886;
16;2;16.8005275726;12.4808797836;3;26.0811839104;3;27.0916557312;12.5;2;26.3048160076;
17;2;18.711139679;12.5;3;26.1235535145;3;28.0916557312;12.5;3;26.3530313969;
18;2;19.7238502502;12.5;3;26.1671074629;3;29.0;12.5;3;26.4023760557;
19;2;20.7369155884;12.5;4;26.211841464;3;29.0;12.5;3;26.4528282881;
20;2;21.7503356934;12.5;4;26.2577478886;3;29.0;12.5;4;26.5043625832;
21;2;21.877325058;12.5;4;26.3048160076;3;29.0;12.5;4;26.5569496155;
22;2;21.8914451599;12.5;4;26.3530313969;3;29.0;12.5;4;26.6105561256;
23;2;21.9059104919;12.5;4;26.4023760557;3;29.0;12.5;4;26.6651450396;
24;2;21.9207134247;12.5;4;26.4528282881;3;29.0;12.5;4;26.72067523;
25;3;21.9358482361;12.5;3;26.5043625832;3;29.0;12.5;4;26.7771017551;
26;3;21.9513092041;12.5;3;26.5569496155;3;29.0;12.5;4;26.8343759775;
27;3;21.5;13.1227798462;4;26.6105561256;3;29.0;12.5;4;26.8924454451;
28;3;21.9831676483;12.5;4;26.6651450396;3;29.0;12.5;4;26.9512542486;
29;3;21.5;13.1660575867;4;26.72067523;3;29.0;12.5;4;27.0107431412;
30;3;19.5;14.1882705688;4;26.7771017551;3;27.0;14.5;4;27.0708494186;
31;3;18.5;15.2108402252;4;26.8343759775;3;28.0;12.5;5;27.1315076351;
32;3;17.5;16.233751297;4;26.8924454451;3;26.0;13.5;4;27.1926498413;
33;3;16.5;17.2569789886;5;26.9512542486;3;27.0;15.5;4;27.2542052269;
34;3;15.5;18.2805023193;5;27.0107431412;3;28.0;17.5;4;27.3161010742;
35;3;14.5;19.3042964935;5;27.0708494186;3;29.0;19.5;4;27.3782629967;
36;3;14.0;20.3283405304;5;28.1315076351;3;29.0;21.5;4;27.4406147003;
37;3;15.0;21.3526039124;6;28.2826498747;3;29.0;22.5;4;27.5030794144;
38;3;16.0;22.3770599365;7;28.441324234;3;29.0;22.5;5;27.5655794144;
39;4;17.0;20.4016819;5;43.6078394651;3;29.0;22.5;6;27.628036499;
40;4;17.0;21.4264411926;5;44.5324892998;3;29.0;22.5;6;27.690372467;
41;4;18.0;22.4513053894;5;45.3849196434;3;29.0;22.5;7;27.7525100708;
42;4;20.0;20.4762458801;6;46.1645387411;3;29.0;22.5;8;27.8143725395;
43;4;20.0;21.5012321472;6;46.8740726709;3;29.0;22.5;7;27.8758842945;
44;4;21.0;22.5262317657;6;47.5186882019;3;29.0;22.5;8;27.936971426;
45;4;23.0;20.5512142181;6;48.1051104069;3;29.0;22.5;8;27.9975619316;
46;4;25.0;22.5512142181;7;48.6408236027;3;29.0;22.5;9;28.0575861931;
47;4;27.0;24.5512142181;7;49.133425951;3;29.0;22.5;9;28.1169772148;
48;4;29.0;27.5512142181;7;49.4964487553;4;29.0;22.5;4;38.1756706238;
49;4;28.8627662659;31.5;7;49.7509188652;4;30.0;23.5;5;38.6336050034;
50;4;29.5499992371;33.5;6;50.0137212276;4;31.0;24.5;5;39.0651233196;
51;4;28.4492683411;33.5;6;50.2843892574;4;31.0;25.5;5;39.4689097404;
52;5;27.4672756195;34.5;6;50.5623381138;4;31.0;26.5;5;39.8443322182;
53;5;27.5499992371;33.5;7;50.8468625546;4;31.0;27.5;6;40.2594203949;
54;5;28.5499992371;33.7702674866;8;51.1371400356;5;31.0;27.5;5;41.7650864124;
55;6;29.5499992371;33.7934417725;7;51.4322359562;5;31.5999984741;28.0;5;43.0166211128;
56;6;30.5499992371;33.8162879944;8;51.7311134338;5;32.0680007935;28.3899993896;5;44.0486865044;
57;6;31.5499992371;33.8387870789;8;52.0326471329;5;32.4247131348;28.6872596741;6;44.8980312347;
58;6;32.5499992371;33.8609199524;8;52.3356389999;5;32.6916885376;29.9097423553;6;45.4510836601;
59;6;32.5499992371;33.5;7;52.6388406754;5;32.7999992371;31.0;7;45.7934823036;
60;6;33.0886497498;33.5;7;52.9409737587;5;32.7999992371;32.0;7;47.1076846123;
61;6;31.1636009216;33.5;7;55.2407550812;5;33.7999992371;34.0;7;47.4157562256;
62;6;34.2381706238;34.5;10;55.6069214344;5;34.7999992371;36.0;8;47.6354880333;
63;6;36.5499992371;37.5;10;55.9700298309;6;34.7999992371;37.5999984741;8;47.7663770914;
64;6;38.663772583;38.5;10;56.3289237022;6;34.7999992371;38.5999984741;8;47.8949068785;
65;6;39.4559669495;41.5;11;56.6825309992;6;34.7999992371;39.5999984741;8;48.0208928585;
66;6;40.0254745483;42.5;13;57.0298807621;6;34.0479278564;38.5999984741;9;48.1441725492;
67;6;40.0929374695;42.5;13;59.1210581064;6;34.0526313782;38.5999984741;10;48.2646045685;
68;6;40.7350387573;43.0;13;60.8928328753;7;34.0573730469;38.5999984741;9;48.3820693493;
69;6;41.2661590576;43.3899993896;15;62.3888258934;7;34.0621490479;38.5999984741;9;48.4964687824;
70;6;37.4424591064;45.3899993896;15;63.6549465656;7;33.0;39.5932502747;10;48.6077262163;
71;6;36.3745155334;48.9262275696;15;64.5714584589;7;32.0;40.6040077209;10;48.7157846689;
72;6;35.4840011597;51.7242164612;15;65.0540994406;7;31.2766723633;42.0;11;48.8206069469;
73;6;34.4840011597;53.1393737793;18;65.5259259939;7;30.2815704346;44.0;10;48.9221743345;
74;7;33.4840011597;54.2923431396;17;65.9863814116;7;29.2864952087;46.0;8;49.0204844475;
75;8;32.4840011597;55.4394950867;16;66.4350936413;7;28.2914428711;48.0;7;49.1155511141;
76;8;31.4840011597;55.9420127869;18;66.8718595505;7;27.2964096069;50.0;8;49.2074016333;
77;8;31.4500007629;57.7159156799;18;67.29662323;7;26.3013973236;52.0;8;49.2960771322;
78;8;31.4500007629;60.162612915;20;67.709449172;7;25.3064022064;54.0;9;49.3816285133;
79;8;31.4500007629;62.2634544373;20;68.1105027199;7;24.3114204407;56.0;10;49.4064661264;
80;8;31.4500007629;64.3581695557;20;68.5000276566;7;23.3164539337;58.0;10;49.428878665;
81;8;32.4500007629;64.4469299316;21;69.87832129;7;22.5214977264;60.0;10;49.4513280392;
82;8;32.4500007629;67.8261108398;21;70.3049926758;7;22.5265483856;62.0;11;49.4738043547;
83;8;34.4500007629;68.9168930054;22;70.6248767376;7;22.5316047668;64.0;12;49.4962974787;
84;8;34.4500007629;70.0073013306;22;70.9467068911;7;22.5366668701;66.0;12;49.5187973976;
85;8;33.4500007629;74.0972213745;20;71.2702434063;7;22.5417289734;68.0;12;49.5412938595;
86;8;34.4500007629;75.1865158081;22;71.595235467;7;23.2000007629;67.7706451416;13;49.5637768507;
