Turn;Planet_count_KI_1_SP_ETTY;Research_KI_1_SP_ETTY;Industry_KI_1_SP_ETTY;Ships_KI_1_SP_ETTY;Population_KI_1_SP_ETTY;Planet_count_KI_6_SP_CHATO;Research_KI_6_SP_CHATO;Industry_KI_6_SP_CHATO;Ships_KI_6_SP_CHATO;Population_KI_6_SP_CHATO;
1;1;9.0;10.0;4;20.0;1;13.0;10.0;4;20.0;
2;1;9.0;10.0;5;20.0;1;13.0;10.0;5;20.0;
3;1;9.0;10.0;6;20.0;1;13.0;10.0;5;20.0;
4;1;9.0;10.0;6;20.0;1;14.0;10.0;4;20.0;
5;1;10.0;10.0;6;20.0;2;15.6000003815;10.0;3;21.0;
6;1;11.0;10.0;6;20.0;2;16.6000003815;10.0;3;21.4999996424;
7;1;11.0;10.0;5;20.3999996185;2;17.6599998474;10.1999998093;3;21.9353003502;
8;1;11.1199998856;10.1999998093;5;20.7264003754;2;18.1611804962;10.3632001877;3;23.1829590797;
9;1;11.2179203033;10.3632001877;5;20.9903717041;2;18.9097747803;10.9097137451;3;24.267437458;
10;1;11.2971115112;10.4951858521;5;22.0419120789;2;20.9097747803;11.3658018112;3;25.2018244267;
11;1;11.6125736237;11.0209560394;4;22.9143505096;2;22.9097747803;11.7372808456;2;26.0066431761;
12;2;12.1743059158;11.4571752548;3;24.6214065552;2;24.2552032471;12.0336990356;3;26.7056586742;
13;2;14.1743059158;11.8107032776;3;25.3132637739;2;25.3955345154;12.2662630081;3;27.3226804733;
14;2;16.1743049622;12.0916318893;3;25.8980411291;2;26.5497436523;12.446267128;3;27.7113106251;
15;2;16.7694129944;12.3113050461;3;26.3994836807;2;27.7184410095;12.5;3;28.0173821449;
16;2;16.9198455811;12.4808797836;3;26.6183350086;2;28.9020843506;12.5;3;28.3487696648;
17;2;18.8722839355;12.5;3;26.8187118769;2;30.1009178162;12.5;3;28.7054548264;
18;2;19.9323978424;12.5;3;27.0402543545;2;31.2232723236;12.5;3;29.0869145393;
19;2;20.9988594055;12.5;4;27.2842636108;2;31.4521484375;12.5;4;29.4920539856;
20;2;22.072063446;12.5;5;27.5518820286;2;31.6952323914;12.5;5;29.9191560745;
21;2;22.2655639648;12.5;5;27.8440244198;2;31.9514942169;12.5;5;30.3658571243;
22;2;22.3532066345;12.5;5;28.1613030434;2;32.2195129395;12.5;5;30.8291530609;
23;2;22.4483909607;12.5;5;28.5039470196;2;32.4974899292;12.5;5;31.3054442406;
24;2;22.5511837006;12.5;5;28.871723175;2;32.7832679749;12.5;5;31.790620327;
25;2;22.6615161896;12.5;5;29.263862133;2;33.0743713379;12.5;5;32.2801818848;
26;2;22.7791595459;12.5;6;29.6789975166;2;33.3681106567;12.5;5;32.7693967819;
27;3;22.9036998749;12.5;5;30.1151270866;2;33.6616363525;12.5;5;33.2534770966;
28;3;23.034538269;12.5;5;30.5695996284;2;33.9520874023;12.5;5;33.7277650833;
29;3;21.5;13.5;5;31.0391392708;2;34.2366600037;12.5;5;34.187912941;
30;3;20.5;13.5;5;31.5199065208;2;34.5127487183;12.5;6;34.6300430298;
31;3;20.5;13.5;5;32.007601738;2;34.7780265808;14.5;6;35.0508718491;
32;3;19.5;13.5;5;32.4976010323;2;35.0305252075;16.5;6;35.4477939606;
33;3;19.5;13.5;5;32.9851250648;2;35.2686767578;18.5;8;35.8189210892;
34;3;20.5;14.5;5;33.465420723;2;35.4913520813;20.5;7;36.1630792618;
35;3;21.5;15.5;5;33.9339466095;2;35.697845459;22.5;8;36.4797668457;
36;3;21.5;16.0735778809;6;34.3865451813;2;35.8878593445;22.5;9;36.7690839767;
37;3;20.5;15.0735788345;6;34.8195896149;2;36.0614509583;22.5;9;37.0316419601;
38;3;20.5;15.0735788345;6;35.2300891876;2;36.2189865112;22.5;9;37.2684679031;
