Turn;Planet_count_KI_1_SP_ETTY;Research_KI_1_SP_ETTY;Industry_KI_1_SP_ETTY;Ships_KI_1_SP_ETTY;Population_KI_1_SP_ETTY;Planet_count_KI_6_SP_CHATO;Research_KI_6_SP_CHATO;Industry_KI_6_SP_CHATO;Ships_KI_6_SP_CHATO;Population_KI_6_SP_CHATO;
1;1;9.0;10.0;4;20.0;1;13.0;10.0;4;20.0;
2;1;9.0;10.0;5;20.0;1;13.0;10.0;5;20.0;
3;1;9.0;10.0;6;20.0;1;13.0;10.0;5;20.0;
4;1;9.0;10.0;6;20.0;1;14.0;10.0;5;20.0;
5;2;10.3000001907;10.0;5;21.0;1;15.0;10.0;5;20.0;
6;2;11.3000001907;10.0;5;21.0599999428;1;16.0;10.0;5;20.3999996185;
7;2;11.3179998398;10.0;5;21.5335636139;1;17.0;10.1999998093;5;20.7264003754;
8;2;11.4600687027;10.1999998093;5;21.9377998114;1;17.4358406067;10.3632001877;5;21.8194274902;
9;2;11.5813398361;10.3632001877;5;22.2840082645;2;18.6916561127;10.9097137451;4;23.7316036224;
10;2;11.6852025986;10.4951858521;5;23.4481773376;2;20.6916561127;11.3658018112;4;24.5045616627;
11;2;12.034453392;11.0209560394;5;24.4414664507;2;22.6916561127;11.7372808456;4;25.1279890537;
12;2;14.034453392;11.4571752548;5;25.2779132128;2;23.7280101776;12.0336990356;5;25.6242921352;
13;2;16.0344524384;11.8107032776;5;25.9779809713;2;24.7467155457;12.2662630081;5;26.0160515308;
14;2;16.7933940887;12.0916318893;5;26.5645889044;2;25.7657661438;12.446267128;5;26.1558350325;
15;2;16.9693775177;12.3113050461;5;27.060223341;2;26.78515625;12.5;5;26.1887089014;
16;2;17.1180667877;12.4808797836;5;27.2642745972;2;27.8048820496;12.5;5;26.2221269608;
17;2;19.0660667419;12.5;5;27.439432621;2;28.8249320984;12.5;5;26.2560760975;
18;2;20.1186141968;12.5;5;27.6238675117;2;29.7536449432;12.5;5;26.2905418873;
19;2;21.1739444733;12.5;6;27.8174073696;2;29.7743244171;12.5;6;26.3255085945;
20;2;22.232006073;12.5;6;28.0197701454;2;29.7953052521;12.5;6;26.3609591722;
21;2;22.4059314728;12.5;6;28.2305569649;2;29.816576004;12.5;6;26.3968753815;
22;2;22.4691677094;12.5;6;28.4492475986;2;29.8381252289;12.5;6;26.4332377911;
23;2;22.5347747803;12.5;6;28.6751992702;2;29.8599433899;12.5;6;26.4700255394;
24;2;22.6025600433;12.5;7;28.907648325;2;29.8820152283;12.5;6;26.5072168112;
25;3;22.6722946167;12.5;6;29.1457161903;2;29.9043292999;12.5;6;26.5447884798;
26;3;22.7437152863;12.5;6;29.3884181976;2;29.9268722534;12.5;6;26.5827163458;
27;3;22.8165245056;12.5;6;29.634677887;2;29.9496307373;12.5;6;26.6209751368;
28;3;21.5;13.5;6;29.8833432198;2;29.9725856781;12.5;6;26.6595385075;
29;3;22.5;12.5;6;30.1332073212;2;29.9957237244;12.5;6;26.6983793974;
30;3;21.0399627686;13.5;6;30.3830299377;2;29.0;13.3491897583;6;26.7374696732;
31;3;20.1149101257;14.5;6;30.6315627098;2;29.0;13.3687343597;6;26.7767804861;
32;3;19.1894683838;15.5;6;30.877573967;2;29.0;13.3883905411;6;26.8162822723;
33;3;18.2632713318;16.5;6;31.11987257;2;30.0;15.3883905411;6;26.8559447527;
34;3;17.3359622955;17.5;6;31.3573312759;2;30.1135673523;17.3883895874;6;26.8957372904;
35;3;16.4071998596;18.5;6;31.5889077187;2;30.1374416351;19.3883895874;6;26.9356285334;
36;3;15.5;17.5;6;31.8136615753;2;30.1613769531;21.3883895874;8;26.9755871296;
37;3;16.5;17.5;7;32.0307679176;2;30.1853523254;22.5;9;27.015581131;
38;3;17.5;17.3123073578;7;32.2395277023;2;30.2093486786;22.5;9;27.0555787086;
