Turn;Planet_count_KI_1_SP_ETTY;Research_KI_1_SP_ETTY;Industry_KI_1_SP_ETTY;Ships_KI_1_SP_ETTY;Population_KI_1_SP_ETTY;Planet_count_KI_6_SP_EAXAW;Research_KI_6_SP_EAXAW;Industry_KI_6_SP_EAXAW;Ships_KI_6_SP_EAXAW;Population_KI_6_SP_EAXAW;
1;1;9.0;10.0;4;20.0;1;6.0;12.0;4;20.0;
2;1;9.0;10.0;5;20.0;1;7.0;11.0;5;20.0;
3;1;9.0;10.0;6;20.0;1;8.0;10.0;5;20.0;
4;1;9.0;10.0;6;20.0;1;9.0;10.0;5;20.0;
5;2;10.3000001907;10.0;5;21.0;1;9.0;10.0;5;20.0;
6;2;11.3000001907;10.0;5;21.0599999428;1;10.0;10.0;5;20.0;
7;2;11.3179998398;10.0;5;21.5335636139;1;11.0;10.0;5;20.0;
8;2;11.4600687027;10.1999998093;5;21.9377998114;1;11.0;10.0;5;20.3999996185;
9;2;11.5813398361;10.3632001877;5;22.2840082645;1;11.1199998856;10.1999998093;5;20.7264003754;
10;2;11.6852025986;10.4951858521;5;23.4481773376;1;11.2179203033;10.3632001877;3;20.9903717041;
11;2;12.034453392;11.0209560394;5;24.4414664507;1;11.2971115112;10.4951858521;3;22.0419120789;
12;2;14.034453392;11.4571752548;5;25.2779132128;1;11.6125736237;11.0209560394;4;22.9143505096;
13;2;16.0344524384;11.8107032776;5;25.9779809713;1;13.2971115112;11.4571752548;4;23.6214065552;
14;2;16.7933940887;12.0916318893;5;26.5645889044;1;14.2971115112;11.8107032776;4;24.1832637787;
15;2;16.9693775177;12.3113050461;5;27.060223341;1;15.2971115112;12.0916318893;4;24.6226100922;
16;2;17.1180667877;12.4808797836;5;27.2642745972;1;16.2971115112;12.3113050461;4;24.9617595673;
17;2;19.0660667419;12.5;5;27.439432621;1;17.2971115112;12.4808797836;4;25.0;
18;2;20.1186141968;12.5;5;27.6238675117;1;18.2971115112;12.5;4;25.0;
19;2;21.1739444733;12.5;6;27.8174073696;1;19.2971115112;12.5;5;25.0;
20;2;22.232006073;12.5;6;28.0197701454;1;19.5;12.5;5;25.0;
21;2;22.4059314728;12.5;6;28.2305569649;1;19.5;12.5;5;25.0;
22;3;22.4691677094;12.5;5;28.4492475986;1;19.5;12.5;5;25.0;
23;3;22.5347747803;12.5;5;28.6751992702;1;19.5;12.5;5;25.0;
24;3;22.6025600433;12.5;5;28.907648325;1;19.5;12.5;5;25.0;
25;3;22.6722946167;12.5;6;29.1457161903;1;19.5;12.5;6;25.0;
26;3;22.7437152863;12.5;6;29.3884181976;1;19.5;12.5;6;25.0;
27;3;22.8165245056;12.5;6;29.634677887;1;19.5;12.5;6;25.0;
28;3;21.5;13.5;6;29.8833432198;1;19.5;12.5;6;25.0;
29;3;22.5;12.5;6;30.1332073212;1;19.5;12.5;6;25.0;
30;3;21.0399627686;13.5;6;30.3830299377;1;17.5;13.5;6;25.0;
31;3;20.1149101257;14.5;6;31.6315627098;1;16.5;14.5;6;25.0;
32;3;18.5;16.8999996185;6;31.9075739384;1;15.5;15.5;6;25.0;
33;3;18.5;18.9120006561;6;32.1804635525;1;14.5;16.5;6;25.0;
34;3;18.5;20.3721847534;6;32.4490973949;1;13.5;17.5;7;25.0;
35;3;18.5;21.4796390533;6;32.7124249935;1;12.5;18.5;7;25.0;
36;3;19.0;22.5849704742;6;32.9694966078;1;12.0;19.5;7;25.0;
37;3;19.0;23.6877975464;6;33.219476819;1;12.0;20.5;7;25.0;
38;3;19.0;24.7877902985;7;33.4616546631;1;12.0;21.5;7;25.0;
