Turn;Planet_count_KI_1_SP_ETTY;Research_KI_1_SP_ETTY;Industry_KI_1_SP_ETTY;Ships_KI_1_SP_ETTY;Population_KI_1_SP_ETTY;Planet_count_KI_6_SP_EAXAW;Research_KI_6_SP_EAXAW;Industry_KI_6_SP_EAXAW;Ships_KI_6_SP_EAXAW;Population_KI_6_SP_EAXAW;
1;1;9.0;10.0;4;20.0;1;6.0;12.0;4;20.0;
2;1;9.0;10.0;5;20.0;1;7.0;11.0;5;20.0;
3;1;9.0;10.0;5;20.0;1;8.0;10.0;6;20.0;
4;1;9.0;10.0;4;20.0;1;9.0;10.0;6;20.0;
5;1;10.0;10.0;4;20.0;1;9.0;10.0;5;20.0;
6;2;11.3000001907;10.0;3;21.0;1;10.0;10.0;5;20.0;
7;2;11.3000001907;10.0;3;21.3999996185;1;11.0;10.0;5;20.0;
8;2;11.4200000763;10.1999998093;3;21.7264003754;1;11.0;10.0;5;20.3999996185;
9;2;11.5179204941;10.3632001877;3;21.9903717041;2;11.1199998856;10.3999996185;4;21.7264003754;
10;2;11.597111702;10.4951858521;2;23.0819120407;2;11.5179204941;10.3632001877;4;21.9903717041;
11;2;11.9245738983;11.0209560394;2;23.99553442;2;11.597111702;10.4951858521;4;23.0719120502;
12;2;13.9245738983;11.4571752548;2;24.7449600697;2;11.9215736389;11.0209560394;4;23.9749414921;
13;2;15.9245738983;11.8107032776;3;25.3503712416;2;13.9215736389;11.4571752548;4;24.7131726742;
14;2;16.9627056122;12.0916318893;3;25.8344515562;2;15.9215736389;11.8107032776;4;25.3067810535;
15;2;17.9761257172;12.3113050461;3;26.2195074558;2;16.5920333862;12.0916318893;4;25.7784451246;
16;2;18.9898986816;12.4808797836;3;26.3048160076;2;16.7335338593;12.3113050461;4;26.1504684687;
17;2;20.0040187836;12.5;3;26.3530313969;2;16.8451404572;12.4808797836;4;26.2221269608;
18;2;21.0184822083;12.5;3;26.4023760557;2;16.8666381836;12.5;4;26.2560760975;
19;2;21.9207134247;12.5;4;26.4528282881;2;18.8653507233;12.5;5;26.2905418873;
20;2;21.9358482361;12.5;4;26.5043625832;2;19.8756904602;12.5;5;26.3255085945;
21;2;21.9513092041;12.5;4;26.5569496155;2;20.8861808777;12.5;5;26.3609591722;
22;2;21.9670848846;12.5;4;26.6105561256;2;21.8968143463;12.5;5;26.3968753815;
23;3;21.9831676483;12.5;3;26.6651450396;2;21.9190635681;12.5;5;26.4332377911;
24;3;21.5;12.5;4;26.72067523;2;21.5;12.9299716949;6;26.4700255394;
25;4;21.5;12.9301691055;3;26.7771017551;4;21.5;12.9410076141;4;26.5072168112;
26;4;19.5;13.944275856;3;26.8343759775;4;21.9521656036;12.5;5;26.5447884798;
27;4;19.0503120422;14.5;3;26.8924454451;4;21.9634361267;12.5;5;26.5827163458;
28;4;17.5;16.2569789886;3;26.9512542486;4;21.5;13.2913579941;5;26.6209751368;
29;4;16.5;17.2805023193;3;27.0107431412;4;19.9862918854;13.5;5;26.6595385075;
30;4;15.5;18.3042964935;3;27.0708494186;4;18.9978618622;14.5;5;26.6983793974;
31;4;14.5;19.3283405304;3;27.1315076351;4;18.009513855;15.5;5;26.7374696732;
32;4;14.0;20.3526039124;3;27.1926498413;4;17.0212402344;16.5;5;26.7767804861;
33;4;14.0;21.3770599365;3;27.2542052269;4;17.5;15.3883905411;5;26.8162822723;
34;4;14.0;22.4016819;4;27.3161010742;4;16.044883728;15.5;6;26.8559447527;
35;4;15.0;20.4264411926;4;27.3782629967;4;15.0567836761;16.5;6;26.8957372904;
