Turn;Planet_count_KI_1_SP_ETTY;Research_KI_1_SP_ETTY;Industry_KI_1_SP_ETTY;Ships_KI_1_SP_ETTY;Population_KI_1_SP_ETTY;Planet_count_KI_6_SP_EAXAW;Research_KI_6_SP_EAXAW;Industry_KI_6_SP_EAXAW;Ships_KI_6_SP_EAXAW;Population_KI_6_SP_EAXAW;
1;1;9.0;10.0;4;20.0;1;6.0;12.0;4;20.0;
2;1;9.0;10.0;5;20.0;1;7.0;11.0;5;20.0;
3;1;9.0;10.0;5;20.0;1;8.0;10.0;4;20.0;
4;2;9.19999980927;10.0;4;21.0;1;9.0;10.0;4;20.0;
5;2;10.3000001907;10.0;4;21.1200000048;1;9.0;10.0;4;20.0;
6;2;11.3360004425;10.0;4;21.2530560493;1;10.0;10.0;4;20.0;
7;2;11.375916481;10.0;4;21.8127820492;1;11.0;10.0;4;20.0;
8;2;11.5438346863;10.1999998093;4;22.3170127869;1;11.0;10.0;4;20.3999996185;
9;2;11.6951036453;10.3632001877;4;22.7783694267;1;11.1199998856;10.1999998093;4;20.7264003754;
10;2;11.8335103989;10.4951858521;4;24.1197800636;1;11.2179203033;10.3632001877;4;20.9903717041;
11;2;12.2359342575;11.0209560394;3;25.3230593204;1;11.2971115112;10.4951858521;4;22.0419120789;
12;2;14.2359342575;11.4571752548;3;26.4056642056;1;11.6125736237;11.0209560394;5;22.9143505096;
13;2;16.2359333038;11.8107032776;4;27.3911669254;1;13.2971115112;11.4571752548;5;23.6214065552;
14;2;17.5749435425;12.0916318893;4;28.3050293922;1;14.2971115112;11.8107032776;5;24.1832637787;
15;2;18.717300415;12.3113050461;4;29.1714119911;1;15.2971115112;12.0916318893;5;24.6226100922;
16;2;19.8754692078;12.4808797836;4;29.790178299;1;16.2971115112;12.3113050461;5;24.9617595673;
17;2;21.0496273041;12.5;4;30.4229521751;1;17.2971115112;12.4808797836;5;25.0;
18;2;22.2394599915;12.5;4;31.1049995422;1;18.2971115112;12.5;5;25.0;
19;2;23.3315010071;12.5;5;31.8311891556;1;19.2971115112;12.5;6;25.0;
20;2;23.5493564606;12.5;5;32.5941519737;2;20.5;12.6999998093;6;26.0;
21;2;23.7782459259;12.5;5;33.38438797;2;21.5;12.8000001907;7;26.0499999523;
22;2;24.0153160095;12.5;5;34.1905984879;2;21.8150005341;12.5;7;26.1019749641;
23;2;24.2571792603;12.5;5;35.0002355576;2;21.5;12.8305921555;7;26.1559499502;
24;2;24.5000705719;12.5;6;35.8002309799;2;21.8467845917;12.5;7;26.2119446993;
25;4;20.5000705719;14.5;4;36.5778226852;2;21.5;12.8635835648;6;26.269973278;
26;4;20.5000705719;14.5;4;37.3213710785;2;21.5;12.8809919357;6;26.3300433159;
27;4;21.5;15.5;4;38.0210561752;2;21.8990135193;12.5;6;26.3921557665;
28;4;21.5;16.5;4;38.6693668365;2;21.5;13.1960783005;7;26.4563041925;
29;4;20.5;15.5;4;39.2613372803;3;21.9368915558;12.5;6;26.5224741697;
30;4;20.5;15.5;4;39.7945203781;3;19.956741333;13.5;6;26.5906432867;
31;4;19.5;14.5;4;40.2687559128;3;18.977191925;14.5;6;26.6607804298;
32;4;18.5;13.5;4;40.6857824326;3;17.9982337952;15.5;5;26.7328453064;
33;4;18.5;14.5;5;41.0487861633;3;17.0198535919;16.5;5;26.8067884445;
34;4;17.5;13.5;5;41.3619327545;3;16.0420360565;17.5;5;26.8825509548;
35;4;16.5;13.5;5;41.6299514771;3;16.5;16.4412746429;5;26.9600640535;
36;4;16.5;14.5;5;41.8577899933;3;15.088019371;16.5;5;27.0392494202;
