Turn;Planet_count_KI_1_SP_ETTY;Research_KI_1_SP_ETTY;Industry_KI_1_SP_ETTY;Ships_KI_1_SP_ETTY;Population_KI_1_SP_ETTY;Planet_count_KI_6_SP_EAXAW;Research_KI_6_SP_EAXAW;Industry_KI_6_SP_EAXAW;Ships_KI_6_SP_EAXAW;Population_KI_6_SP_EAXAW;
1;1;9.0;10.0;4;20.0;1;6.0;12.0;4;20.0;
2;1;9.0;10.0;5;20.0;1;7.0;11.0;5;20.0;
3;1;9.0;10.0;5;20.0;1;8.0;10.0;6;20.0;
4;1;9.0;10.0;5;20.0;1;9.0;10.0;6;20.0;
5;1;10.0;10.0;5;20.0;1;9.0;10.0;6;20.0;
6;1;11.0;10.0;5;20.0;1;10.0;10.0;6;20.0;
7;1;11.0;10.0;5;20.3999996185;1;11.0;10.0;6;20.0;
8;1;11.1199998856;10.1999998093;5;20.7264003754;1;11.0;10.0;6;20.3999996185;
9;1;11.2179203033;10.3632001877;5;20.9903717041;1;11.1199998856;10.1999998093;6;20.7264003754;
10;2;11.597111702;10.4951858521;4;23.0419120789;1;11.2179203033;10.3632001877;6;20.9903717041;
11;2;11.9125738144;11.0209560394;4;23.9543504715;2;11.2971115112;10.6951856613;5;23.0419120789;
12;2;12.1863059998;11.4571752548;3;24.7025904655;2;11.9125738144;11.0209560394;5;24.0443505049;
13;2;14.9245738983;11.8107032776;4;25.3068172932;2;13.9125738144;11.4571752548;5;24.8968375921;
14;2;16.9245738983;12.0916318893;4;25.789717555;2;15.9125738144;11.8107032776;5;25.6209878922;
15;2;17.9627056122;12.3113050461;4;26.1736010313;2;16.686296463;12.0916318893;5;26.2409451008;
16;2;18.9761257172;12.4808797836;3;26.2577478886;2;16.8722839355;12.3113050461;5;26.7804714441;
17;2;19.9898986816;12.5;3;26.3048160076;2;16.488527298;12.4808797836;5;27.0402543545;
18;2;21.0040187836;12.5;3;26.3530313969;2;16.5;12.5;5;27.2842636108;
19;2;21.9059104919;12.5;4;26.4023760557;2;18.488527298;12.5;6;27.5518820286;
20;2;21.9207134247;12.5;4;26.4528282881;2;19.488527298;12.5;6;27.8440244198;
21;2;21.9358482361;12.5;4;26.5043625832;2;20.488527298;12.5;6;28.1613030434;
22;2;21.9513092041;12.5;4;26.5569496155;3;21.488527298;12.5;5;28.5039470196;
23;2;21.9670848846;12.5;4;26.6105561256;3;21.5;12.5;5;28.871723175;
24;2;21.9831676483;12.5;4;26.6651450396;3;21.5;12.5;6;29.263862133;
25;2;19.5;13.9162864685;4;26.72067523;4;21.5;12.5;5;29.6789975166;
26;2;20.5;12.9301691055;4;26.7771017551;4;21.5;12.5;5;30.1151270866;
27;2;18.5;14.2108402252;4;26.8343759775;4;21.5;12.5;5;30.5695996284;
28;2;17.5;15.2337503433;4;26.8924454451;4;19.5;13.5;5;31.0391392708;
29;2;16.5;16.2569789886;4;26.9512542486;4;18.5;14.5;5;31.5199065208;
30;2;15.5;17.2805023193;4;27.0107431412;4;17.5;15.5;5;33.007601738;
31;2;14.5;18.3042964935;4;27.0708494186;4;17.5;16.5;5;33.5276010036;
32;2;14.0;19.3283405304;5;27.1315076351;4;17.5;17.5;5;34.0457160473;
33;2;14.0;20.3526039124;7;27.1926498413;4;16.8181762695;18.5;5;34.557186842;
34;2;14.0;21.3770599365;7;27.2542052269;4;16.3275299072;19.5;5;35.0574638844;
35;2;14.0;22.4016819;8;27.3161010742;4;16.3370552063;20.5;4;35.5423802137;
36;2;15.0;20.4264411926;8;27.3782629967;4;16.3467502594;21.5;4;36.0082985163;
