Turn;Planet_count_KI_1_SP_ETTY;Research_KI_1_SP_ETTY;Industry_KI_1_SP_ETTY;Ships_KI_1_SP_ETTY;Population_KI_1_SP_ETTY;Planet_count_KI_6_SP_EAXAW;Research_KI_6_SP_EAXAW;Industry_KI_6_SP_EAXAW;Ships_KI_6_SP_EAXAW;Population_KI_6_SP_EAXAW;
1;1;9.0;10.0;4;20.0;1;6.0;12.0;4;20.0;
2;1;9.0;10.0;4;20.0;1;7.0;11.0;5;20.0;
3;1;9.0;10.0;4;20.0;1;8.0;10.0;5;20.0;
4;1;9.0;10.0;4;20.0;1;9.0;10.0;4;20.0;
5;1;10.0;10.0;4;20.0;1;9.0;10.0;4;20.0;
6;1;11.0;10.0;3;20.0;1;10.0;10.0;4;20.0;
7;1;11.0;10.0;3;20.3999996185;1;11.0;10.0;4;20.0;
8;1;11.1199998856;10.1999998093;3;20.7264003754;1;11.0;10.0;4;20.3999996185;
9;1;11.2179203033;10.3632001877;3;20.9903717041;1;11.1199998856;10.1999998093;4;20.7264003754;
10;1;11.2971115112;10.4951858521;3;22.0419120789;1;11.2179203033;10.3632001877;4;20.9903717041;
11;2;11.9125738144;11.0209560394;2;23.9143505096;1;11.2971115112;10.4951858521;4;22.0419120789;
12;2;12.1743059158;11.4571752548;2;24.6514065266;1;11.6125736237;11.0209560394;4;22.9143505096;
13;2;14.9125738144;11.8107032776;3;25.2438547611;1;13.2971115112;11.4571752548;4;23.6214065552;
14;2;16.9125728607;12.0916318893;3;25.7143762112;1;14.2971115112;11.8107032776;4;24.1832637787;
15;2;17.9401035309;12.3113050461;3;26.0852768421;1;15.2971115112;12.0916318893;4;24.6226100922;
16;2;18.94962883;12.4808797836;3;26.1558350325;1;16.2971115112;12.3113050461;4;24.9617595673;
17;2;19.9593238831;12.5;3;26.1887089014;1;17.2971115112;12.4808797836;4;25.0;
18;2;20.9691867828;12.5;3;26.2221269608;1;18.2971115112;12.5;4;25.0;
19;2;21.8666381836;12.5;4;26.2560760975;1;19.2971115112;12.5;5;25.0;
20;2;21.8768234253;12.5;4;26.2905418873;1;19.5;12.5;5;25.0;
21;2;21.8871631622;12.5;4;26.3255085945;1;19.5;12.5;5;25.0;
22;2;21.8976516724;12.5;4;26.3609591722;1;19.5;12.5;6;25.0;
23;2;21.9082870483;12.5;4;26.3968753815;1;19.5;12.5;6;25.0;
24;2;21.9190635681;12.5;4;26.4332377911;1;19.5;12.5;6;25.0;
25;2;19.5;13.8583097458;4;26.4700255394;2;20.5;12.8000001907;5;26.0;
26;2;20.5;12.5;4;26.5072168112;2;22.5;12.5;5;26.1299999952;
27;2;18.5;13.5;4;26.5447884798;2;24.0650005341;12.5;5;26.2754310369;
28;2;17.5;14.5;4;26.5827163458;2;25.1377162933;12.5;5;26.4377241135;
29;2;16.5;15.5;4;26.6209751368;2;26.2188625336;12.5;5;26.6183350086;
30;2;15.5;16.5;3;26.6595385075;2;24.3091678619;13.5;5;26.8187118769;
31;2;14.5;17.5;4;26.6983793974;2;23.4093551636;14.5;5;27.0402543545;
32;2;14.0;18.5;4;26.7374696732;2;22.5201263428;15.5;5;27.2842636108;
33;2;14.0;19.5;5;26.7767804861;2;21.6421318054;16.5;5;27.5518820286;
34;2;14.0;20.5;5;26.8162822723;2;20.7759399414;17.5;5;27.8440244198;
35;2;14.0;21.5;5;26.8559447527;2;21.9220123291;15.5;5;28.1613030434;
36;2;15.0;19.5;4;26.8957372904;2;23.0806522369;14.5;5;28.5039470196;
37;2;14.0;20.5;4;26.9356285334;2;24.2519741058;13.5;5;28.871723175;
38;2;14.0;21.5;4;26.9755871296;2;25.4358615875;12.5;5;29.263862133;
39;2;15.0;19.5;4;27.015581131;2;23.6319313049;13.5;5;29.6789975166;
40;2;14.0;20.5;4;27.0555787086;2;22.8394985199;14.5;5;30.1151270866;
41;2;14.0;21.5;4;27.0955479145;2;22.0575637817;15.5;6;30.5695996284;
42;2;15.0;19.5;4;27.135456562;2;21.2847995758;16.5;7;31.0391392708;
43;2;14.0;20.5;12;27.17527318;2;20.519569397;17.5;7;31.5199065208;
44;3;14.0;21.5;3;37.2149660587;2;21.7599525452;18.5;7;32.007601738;
45;3;16.0;19.5;3;37.6545035839;2;23.0038013458;19.5;8;32.4976010323;
46;3;16.0;20.5;3;38.0682559013;2;24.2488002777;20.5;8;32.9851250648;
47;3;17.0;21.5;6;38.4549312592;2;25.4925613403;21.5;8;33.465420723;
48;3;19.0;19.5;6;38.8139183521;2;26.7327098846;22.5;8;33.9339466095;
49;3;21.0;20.5;6;39.1452190876;2;27.9669723511;22.5;8;34.3865451813;
50;3;23.0;21.5;8;39.4493582249;2;29.193271637;22.5;8;34.8195896149;
51;3;25.0;23.5;8;39.7272891998;2;30.4097938538;22.5;8;35.2300891876;
52;3;27.0;25.5;9;39.9802925587;2;31.6150436401;22.5;8;35.6157541275;
53;3;29.0;27.5;11;40.2098784447;2;31.8078765869;22.5;8;35.9750175476;
54;4;31.0;27.5;9;53.167702198;2;29.9875087738;23.5;9;36.307009697;
55;4;30.8457527161;29.5;10;53.9929916859;2;29.1535053253;24.5;10;36.6115064621;
56;4;30.8911647797;31.5;9;54.6424427032;2;28.3057537079;25.5;10;36.8888463974;
57;5;30.8999996185;33.5;8;83.9558517933;2;27.4444236755;26.5;11;37.1398382187;
58;5;31.8999996185;36.5;4;86.4746749401;2;26.5699195862;27.5;11;37.3656587601;
59;5;32.9000015259;39.5;4;88.459530592;2;25.6828289032;28.5;12;37.5677556992;
