Turn;Planet_count_KI_1_SP_ETTY;Research_KI_1_SP_ETTY;Industry_KI_1_SP_ETTY;Ships_KI_1_SP_ETTY;Population_KI_1_SP_ETTY;Planet_count_KI_6_SP_EAXAW;Research_KI_6_SP_EAXAW;Industry_KI_6_SP_EAXAW;Ships_KI_6_SP_EAXAW;Population_KI_6_SP_EAXAW;
1;1;9.0;10.0;4;20.0;1;6.0;12.0;4;20.0;
2;1;9.0;10.0;5;20.0;1;7.0;11.0;5;20.0;
3;1;9.0;10.0;5;20.0;1;8.0;10.0;5;20.0;
4;1;9.0;10.0;5;20.0;1;9.0;10.0;5;20.0;
5;1;10.0;10.0;5;20.0;1;9.0;10.0;5;20.0;
6;1;11.0;10.0;5;20.0;1;10.0;10.0;5;20.0;
7;2;11.3000001907;10.0;4;21.3999996185;1;11.0;10.0;5;20.0;
8;2;11.4200000763;10.1999998093;4;21.7964004278;1;11.0;10.0;4;20.3999996185;
9;2;11.5389204025;10.3632001877;4;22.1345227957;1;11.1199998856;10.1999998093;4;20.7264003754;
10;2;11.6403570175;10.4951858521;4;23.2873874903;1;11.2179203033;10.3632001877;3;20.9903717041;
11;2;11.9862165451;11.0209560394;4;24.268861413;1;11.2971115112;10.4951858521;3;22.0419120789;
12;2;13.9862165451;11.4571752548;4;25.093021512;1;11.6125736237;11.0209560394;4;22.9143505096;
13;2;15.9862165451;11.8107032776;5;25.7803837061;2;14.2971115112;11.6571750641;3;24.6214065552;
14;2;17.091709137;12.0916318893;5;26.3539340496;2;16.2971115112;11.8107032776;3;25.2132637501;
15;2;18.1319713593;12.3113050461;5;26.8362411261;2;17.6061115265;12.0916318893;3;25.6832010746;
16;2;19.1749191284;12.4808797836;5;27.0267930031;2;18.6152877808;12.3113050461;3;26.0535256863;
17;2;20.2206115723;12.5;4;27.1883933544;2;19.2971115112;12.4808797836;3;26.1235172749;
18;2;21.2690925598;12.5;4;27.3593420982;2;20.2971115112;12.5;3;26.1558350325;
19;2;22.2078018188;12.5;3;27.5396113396;2;21.2971115112;12.5;3;26.1887089014;
20;2;22.261882782;12.5;3;27.7290761471;2;21.5;12.5;4;26.2221269608;
21;2;22.3187217712;12.5;5;27.9275052547;2;21.5;12.5;4;26.2560760975;
22;2;22.3782520294;12.5;5;28.1345529556;2;21.5;12.5;4;26.2905418873;
23;2;22.4403648376;12.5;5;28.3497540951;2;21.5;12.5;4;26.3255085945;
24;2;22.5049266815;12.5;6;28.5725209713;2;21.5;12.5;4;26.3609591722;
25;2;21.5;13.3931303024;7;28.8021440506;2;21.5;12.5;4;26.3968753815;
26;2;21.5;13.4505357742;7;29.0377955437;2;21.5;12.5;4;26.4332377911;
27;3;21.5;14.1151180267;6;29.2785372734;2;21.5;12.5;6;26.4700255394;
28;3;19.5;13.5;6;29.523332119;3;21.5;12.5;5;26.5072168112;
29;3;20.5;13.5;6;29.7710599899;3;21.5;12.5;6;26.5447884798;
30;3;19.5;13.5;6;30.0205359459;3;21.5;12.5;6;26.5827163458;
31;3;19.5;13.5;6;30.2705316544;3;21.5;12.5;6;26.6209751368;
32;3;18.5;13.5;6;30.5197997093;3;21.5;12.5;6;26.6595385075;
33;4;18.1559410095;14.5;5;43.51709795;3;21.5;12.5;7;26.6983793974;
34;4;16.5;16.5;5;44.3987135887;3;21.5;12.5;7;26.7374696732;
35;4;16.5;18.5;5;45.2225184441;3;21.5;12.5;8;26.7767804861;
36;5;17.0;20.0003948212;4;45.9847788811;3;21.5;12.5;8;26.8162822723;
37;5;18.0;21.0941352844;4;46.6840291023;3;21.5;12.5;8;26.8559447527;
