Turn;Planet_count_KI_1_SP_ETTY;Research_KI_1_SP_ETTY;Industry_KI_1_SP_ETTY;Ships_KI_1_SP_ETTY;Population_KI_1_SP_ETTY;Planet_count_KI_6_SP_EAXAW;Research_KI_6_SP_EAXAW;Industry_KI_6_SP_EAXAW;Ships_KI_6_SP_EAXAW;Population_KI_6_SP_EAXAW;
1;1;9.0;10.0;4;20.0;1;6.0;12.0;4;20.0;
2;1;9.0;10.0;5;20.0;1;7.0;11.0;5;20.0;
3;2;9.19999980927;10.0;4;21.0;1;8.0;10.0;5;20.0;
4;2;9.19999980927;10.0;4;21.0900000334;1;9.0;10.0;5;20.0;
5;2;10.3269996643;10.0;4;21.1871190071;1;9.0;10.0;5;20.0;
6;2;11.3561353683;10.0;4;21.2917383909;1;10.0;10.0;5;20.0;
7;2;11.3875217438;10.0;4;21.817143321;1;11.0;10.0;5;20.0;
8;2;11.5451431274;10.1999998093;4;22.2793469429;1;11.0;10.0;5;20.3999996185;
9;2;11.683804512;10.3632001877;4;22.6900259256;1;11.1199998856;10.1999998093;5;20.7264003754;
10;2;11.8070077896;10.4951858521;4;23.9506295919;1;11.2179203033;10.3632001877;5;20.9903717041;
11;2;12.1851892471;11.0209560394;4;25.0538563728;2;11.2971115112;10.6951856613;4;23.0419120789;
12;2;14.1851892471;11.4571752548;4;26.0146684647;2;11.9125738144;11.0209560394;4;23.944350481;
13;2;16.1851882935;11.8107032776;5;26.8543052673;2;13.9125738144;11.4571752548;5;24.6819975376;
14;2;17.4138870239;12.0916318893;5;27.5962526798;2;15.9125738144;11.8107032776;5;25.2750298977;
15;2;18.5046653748;12.3113050461;5;28.2632865906;2;16.9401035309;12.0916318893;5;25.746127367;
16;2;19.6030311584;12.4808797836;5;28.6547400951;2;17.94962883;12.3113050461;5;26.1175945997;
17;2;20.7089958191;12.5;5;29.0328326225;2;18.9593238831;12.4808797836;5;26.1887089014;
18;2;21.8224239349;12.5;5;29.4347915649;2;19.9691867828;12.5;5;26.2221269608;
19;2;22.8304367065;12.5;6;29.8589887619;2;20.9792118073;12.5;5;26.2560760975;
20;2;22.9576969147;12.5;6;30.3031497002;2;21.8768234253;12.5;6;26.2905418873;
21;2;23.0909442902;12.5;6;30.7643566132;2;21.8871631622;12.5;5;26.3255085945;
22;2;23.2293071747;12.5;6;31.2390885353;3;21.8976516724;12.5;4;26.3609591722;
23;2;23.3717269897;12.5;6;31.7232985497;3;21.9082870483;12.5;4;26.3968753815;
24;2;23.5169906616;12.5;7;32.2125329971;3;21.9190635681;12.5;4;26.4332377911;
25;3;23.6637611389;12.5;6;32.7020812035;3;21.9299716949;12.5;4;26.4700255394;
26;3;21.6637611389;13.5;6;33.1871519089;3;21.9410076141;12.5;5;26.5072168112;
27;3;21.5;14.5;6;33.6630582809;3;21.9521656036;12.5;5;26.5447884798;
28;3;20.5;13.5;6;34.1254005432;3;21.9634361267;12.5;5;26.5827163458;
29;3;20.5;14.5;6;34.570227623;3;21.5;13.2913579941;4;26.6209751368;
30;3;19.5;13.5;6;34.9941673279;3;19.5;13.5;4;26.6595385075;
31;3;20.5;14.5;6;35.3945169449;3;18.5;14.5;4;26.6983793974;
32;3;21.5;15.5;6;35.7692890167;3;17.5;15.5;4;27.7374696732;
33;3;21.5;16.5;7;36.1172132492;3;17.5;16.5;4;27.8267804384;
34;3;22.5;14.5;7;36.4376983643;3;17.5;17.5;4;27.9182572365;
35;3;21.5;14.5;7;36.7307662964;3;16.5;18.5;4;28.0118947029;
36;3;21.5;14.5;6;36.9969644547;3;16.0;19.5;4;28.1076819897;
