Turn;Planet_count_KI_1_SP_ABADDONI;Research_KI_1_SP_ABADDONI;Industry_KI_1_SP_ABADDONI;Ships_KI_1_SP_ABADDONI;Population_KI_1_SP_ABADDONI;Planet_count_KI_6_SP_SLY;Research_KI_6_SP_SLY;Industry_KI_6_SP_SLY;Ships_KI_6_SP_SLY;Population_KI_6_SP_SLY;
1;1;6.0;12.0;4;20.0;1;6.0;12.6999998093;4;21.0;
2;1;7.0;11.0;5;20.0;1;7.0;11.6999998093;5;21.0;
3;1;8.0;10.0;6;21.0;1;8.0;10.6999998093;5;21.0;
4;1;8.14999961853;10.5;6;21.8400001526;2;8.14999961853;10.6999998093;4;22.0;
5;1;8.27600002289;10.9200000763;6;22.5301437378;2;8.29999923706;10.5;4;22.0900000334;
6;1;9.27600002289;11.2650718689;6;23.086605072;2;9.39524936676;10.5;4;22.1871190071;
7;1;10.194486618;11.543302536;6;23.5283432007;2;9.99210166931;10.5;4;22.2917383909;
8;1;10.2938766479;11.7641716003;6;24.1098823547;2;10.0156412125;10.5;3;22.8371437788;
9;1;10.4247236252;12.0549411774;6;24.5655879974;2;10.1383571625;10.7100000381;3;23.3113827705;
10;2;10.5272569656;12.482793808;5;25.9179592133;2;10.2450618744;10.8792181015;3;23.6996542215;
11;2;10.8315410614;12.4589796066;5;26.0399999619;2;10.3324222565;11.0;3;25.4997080564;
12;2;12.8315410614;12.5;5;26.0811839104;2;10.7374343872;11.7700004578;4;27.0797379017;
13;2;14.8315410614;12.5;5;26.1235535145;2;12.4572515488;12.4126424789;4;28.4485538006;
14;2;15.8593406677;12.5;5;26.1671074629;2;14.4572515488;12.9308347702;4;29.6330289841;
15;2;16.869140625;12.5;5;26.211841464;2;16.4572525024;13.3366470337;4;30.669192791;
16;2;17.8792057037;12.5;5;26.2577478886;2;17.7094402313;13.6469516754;4;31.5947263241;
17;2;18.8895339966;12.5;5;26.3048160076;2;18.8129119873;13.879781723;4;32.3400559425;
18;2;19.9001235962;12.5;5;26.3530313969;2;19.9265136719;14.0;4;32.8895044327;
19;2;19.9294319153;12.5;5;26.4023760557;2;21.0501403809;14.0;4;33.4816474915;
20;2;19.625;12.920712471;7;26.4528282881;2;21.5333709717;14.0;4;34.1130428314;
21;2;19.9518871307;12.5;7;26.5043625832;2;21.6754341125;14.0;4;34.7785673141;
22;2;19.9634819031;12.5;7;26.5569496155;2;21.825176239;14.0;4;35.4714341164;
23;2;19.9753131866;12.5;7;26.6105561256;2;21.9810714722;14.0;5;36.1833543777;
24;2;19.9873752594;12.5;8;26.6651450396;2;22.141254425;14.0;5;36.9048519135;
25;2;19.625;12.99954319;9;26.72067523;2;22.3035907745;14.0;6;37.6257123947;
26;2;20.0121517181;12.5;9;26.7771017551;2;22.4657840729;14.0;6;38.3355398178;
27;2;20.024848938;12.5;9;26.8343759775;2;22.6254959106;14.0;6;39.0243473053;
28;3;19.625;13.4171876907;8;26.8924454451;2;22.7804775238;14.0;6;39.6831235886;
29;3;20.0508003235;12.5;8;26.9512542486;2;22.9287014008;14.0;6;40.3043012619;
30;3;18.064031601;13.5;8;27.0107431412;2;21.0684661865;15.0;6;40.8820743561;
31;3;17.0774173737;14.5;9;27.0708494186;2;20.1984672546;16.0;7;41.4125490189;
32;3;16.0909404755;15.5;9;27.1315076351;2;19.3178215027;17.0;7;41.8937177658;
33;3;15.1045894623;16.5;10;27.1926498413;2;18.4260864258;18.0;7;42.3252954483;
34;3;14.4933462143;17.5;10;27.2542052269;2;17.523191452;19.0;7;42.7084550858;
35;3;14.5071964264;18.5;10;27.3161010742;2;17.3094024658;20.0;7;43.0455055237;
36;3;14.5211229324;19.5;10;27.3782629967;2;17.3852386475;21.0;7;43.3395690918;
37;3;14.5351085663;20.5;10;28.4406147003;2;17.4514026642;22.0;7;43.5942716599;
38;3;15.5491380692;22.0;11;28.5230793953;3;17.5087108612;23.0;6;43.8134851456;
39;3;16.5631923676;22.5;11;28.6057753563;3;17.5580348969;24.0;6;44.0;
40;3;16.0;25.0200977325;12;28.6886183023;3;17.6000003815;25.0;7;44.0;
41;3;16.0;26.3443088531;12;28.7715233564;3;17.6000003815;26.0;7;44.0;
42;4;17.0;24.385761261;8;43.8544065952;3;17.6000003815;27.0;8;44.0;
43;5;17.0;26.4272041321;7;44.6871842146;3;18.6000003815;25.0;8;44.0;
44;5;18.0;28.4685916901;7;45.4391477108;3;17.6000003815;26.0;8;44.0;
45;5;19.0;27.5098876953;7;46.1093821526;3;17.6000003815;27.0;8;44.0;
46;5;18.0;26.5510444641;7;46.7003309727;3;18.6000003815;25.0;8;44.0;
47;5;19.0;27.5510444641;7;47.2169290781;3;19.6000003815;25.0;9;44.0;
48;5;20.0;29.5510482788;7;47.6657310724;3;20.6000003815;25.0;12;44.0;
49;5;21.0;31.5510482788;7;48.0541217327;3;21.6000003815;25.0;13;44.0;
50;5;22.7145252228;33.0825614929;8;48.3896836042;3;22.6000003815;25.0;13;44.0;
51;6;23.7275619507;33.0825614929;7;49.5860249996;3;23.6000003815;25.0;14;44.0;
52;6;24.9164428711;34.5;8;49.7543535233;4;24.8999996185;25.0;13;45.0;
53;7;25.625;36.8321762085;7;49.9289654493;5;25.8999996185;26.0;13;45.1599999666;
54;7;25.8921012878;36.1697769165;7;50.1101858616;5;25.8999996185;27.0;13;45.3437439203;
55;7;26.7091522217;36.5;7;50.2983307838;5;25.8999996185;28.0;14;45.5541238785;
56;7;25.936422348;38.5;7;50.4936996698;5;25.8999996185;29.0;14;45.7941719294;
57;7;25.625;40.7468528748;7;50.6965663433;5;25.8999996185;29.8970870972;14;46.0669906139;
58;7;26.8102302551;38.2144393921;7;51.9071706533;5;25.8999996185;30.0334949493;14;46.375654459;
59;7;26.625;41.1217765808;7;53.1457086802;5;26.4345226288;29.0;14;46.7230784893;
60;7;29.8966789246;41.2369003296;9;53.4325169325;5;25.8999996185;29.0;14;47.1118502617;
61;8;30.2546653748;44.2481498718;8;75.478848815;5;25.8999996185;29.0;14;47.544028759;
62;8;29.625;50.2593994141;11;76.8721963167;5;25.8999996185;29.0;14;48.0209121704;
63;8;31.2864112854;55.4149932861;10;78.0809793472;5;25.8999996185;29.0;15;48.5427899361;
64;8;31.9555683136;58.5404815674;11;79.1219016314;5;25.8999996185;29.0;15;49.1086950302;
65;8;33.7003936768;60.6698989868;12;80.0182119608;5;25.8999996185;29.0;16;49.7161855698;
66;8;35.4204902649;62.8031044006;15;80.7732391357;5;25.8999996185;29.0;16;51.3611893654;
67;8;35.7000007629;65.1638946533;13;81.3882635832;5;26.8999996185;30.0;16;52.1979442835;
68;8;37.4618606567;65.0493621826;13;81.7072211504;5;27.8999996185;31.0;15;53.0828119516;
69;9;37.7000007629;67.4786148071;11;82.0338550806;6;27.8999996185;32.0;15;54.0099020004;
70;9;38.7000007629;67.915512085;11;84.704710722;6;27.8999996185;33.0;15;54.9724308252;
71;9;40.229839325;69.1359634399;16;86.9315987825;6;27.8999996185;34.0;16;57.5025970936;
72;9;40.0444374084;71.1684036255;15;88.6884549856;6;26.0890007019;35.4199981689;16;59.7953021526;
73;9;40.7424888611;71.5861587524;17;89.9990936518;6;27.2291622162;34.7314720154;18;61.8910205364;
74;9;40.3270111084;73.7114562988;18;90.973761797;6;25.3310565948;35.957901001;18;63.5860242844;
75;9;41.3682556152;73.3731231689;21;92.5271133184;6;27.0985927582;35.0;19;65.1612205505;
76;9;42.4000015259;74.2635498047;22;93.1408519745;6;25.6159172058;36.0;20;66.679666996;
77;10;40.4000015259;77.5404205322;21;93.7558163404;6;26.7471179962;35.0;21;68.002345562;
78;10;39.4000015259;80.8164215088;23;94.3699793816;6;27.8923816681;35.0;21;69.3174214363;
79;11;39.4000015259;81.0905075073;25;94.9813790321;6;25.75;37.0;21;70.6203403473;
80;11;37.4000015259;84.3616638184;26;95.5881567001;7;25.75;39.0;20;71.9063482285;
81;11;37.1529998779;89.7303695679;27;96.1885915995;7;23.75;39.0;20;73.1697692871;
82;11;37.0999984741;91.8260040283;27;96.781129837;7;22.75;39.0;22;74.4035396576;
83;11;36.0999984741;96.9216156006;28;97.3644012213;7;22.75;40.0;23;75.5991287231;
84;12;36.0999984741;102.976234436;29;97.9214435816;7;23.75;42.0;24;76.7468729019;
85;12;37.0999984741;106.029182434;29;98.4630265236;7;24.75;44.0;24;77.7905235291;
86;12;37.5758705139;108.28730011;30;98.9926342964;7;24.75;46.0;24;79.6405582428;
