Turn;Planet_count_KI_1_SP_ABADDONI;Research_KI_1_SP_ABADDONI;Industry_KI_1_SP_ABADDONI;Ships_KI_1_SP_ABADDONI;Population_KI_1_SP_ABADDONI;Planet_count_KI_6_SP_SLY;Research_KI_6_SP_SLY;Industry_KI_6_SP_SLY;Ships_KI_6_SP_SLY;Population_KI_6_SP_SLY;
81;10;34.5999984741;69.8388366699;18;79.9467668533;3;20.75;28.0;22;48.0;
82;10;32.5999984741;69.8605957031;18;81.2105309963;3;19.75;27.0;22;48.0;
83;10;32.5999984741;71.8817443848;19;81.6734389067;3;19.75;27.0;22;48.0;
84;10;34.2999992371;74.9000015259;20;82.1421015263;3;19.75;28.0;22;48.0;
85;10;33.2999992371;75.9000015259;20;82.6587406397;3;17.75;27.0;20;48.0;
86;10;33.2999992371;77.9000015259;21;83.2295622826;3;16.75;27.0;15;49.0;
87;10;34.2999992371;83.8672332764;22;83.8611139059;3;16.75;29.0;15;49.0599999428;
88;11;35.2999992371;85.8775405884;22;84.5600323677;4;16.75;31.0;12;69.1229639053;
89;11;34.2999992371;90.3334655762;21;85.3326692581;5;18.0;35.0;12;71.9889601469;
90;13;34.2999992371;94.6053771973;20;86.1687817574;5;20.0;39.0;11;73.8076521158;
91;13;35.2999992371;95.9077758789;22;87.0841863155;5;21.0;44.0;11;75.4059664011;
92;13;35.6500015259;101.407501221;22;88.0849571228;5;22.0;48.0;12;76.7912905216;
93;13;36.6500015259;102.575042725;23;89.1697995663;5;23.0;52.0;12;77.9906307459;
94;13;37.6500015259;104.507827759;24;90.3334932327;5;24.0;54.0;13;79.0417770147;
95;14;38.6500015259;105.673423767;24;91.5662770271;5;25.0;56.0;13;79.9855902195;
96;14;39.1999969482;106.839042664;24;93.8536145687;5;26.0;58.0;13;80.7924903631;
97;14;39.1999969482;108.004325867;24;96.3265064955;5;27.0;60.0;14;81.3708430529;
98;14;41.1999969482;110.168899536;24;97.8532204628;5;28.0;62.0;15;82.0127387047;
99;14;43.4971733093;113.332420349;24;99.3918339014;5;29.0;64.0;13;82.7199442387;
100;15;42.8840446472;115.494522095;22;115.920362115;5;30.0;66.0;13;83.492399931;
