Turn;Planet_count_KI_1_SP_ABADDONI;Research_KI_1_SP_ABADDONI;Industry_KI_1_SP_ABADDONI;Ships_KI_1_SP_ABADDONI;Population_KI_1_SP_ABADDONI;Planet_count_KI_6_SP_SLY;Research_KI_6_SP_SLY;Industry_KI_6_SP_SLY;Ships_KI_6_SP_SLY;Population_KI_6_SP_SLY;
1;1;6.0;12.0;4;20.0;1;6.0;12.6999998093;4;21.0;
2;1;7.0;11.0;4;20.0;1;7.0;11.6999998093;5;21.0;
3;1;8.0;10.0;4;21.0;1;8.0;10.6999998093;5;21.0;
4;1;8.14999961853;10.5;4;21.8400001526;1;8.14999961853;10.5;5;21.0;
5;1;8.27600002289;10.9200000763;4;22.5301437378;1;8.14999961853;10.5;5;21.0;
6;1;9.27600002289;11.2650718689;4;23.086605072;1;9.14999961853;10.5;5;21.0;
7;2;10.194486618;11.9433021545;3;24.5283432007;1;9.72500038147;10.5;5;21.0;
8;2;10.5188770294;11.7641716003;3;25.23988235;1;9.72500038147;10.5;5;21.4200000763;
9;2;10.6789731979;12.0549411774;3;25.8410190344;1;9.81949996948;10.7100000381;5;21.758436203;
10;2;10.8142290115;12.2827939987;2;26.3556833267;1;9.8956489563;10.8792181015;5;22.0;
11;2;10.9300289154;12.4589796066;3;26.6183350086;1;9.94999980927;11.0;5;23.5400009155;
12;2;13.8507452011;12.5;3;26.8187118769;2;10.296500206;11.970000267;5;25.8252849579;
13;2;15.8507452011;12.5;3;27.0402543545;2;12.1750001907;12.4126424789;5;27.021669507;
14;2;16.9863147736;12.5;3;27.2842636108;2;14.1750001907;12.9308347702;5;28.0170379877;
15;2;18.0412158966;12.5;3;27.5518820286;2;16.1749992371;13.3366470337;5;28.8480272293;
16;2;19.1014289856;12.5;3;27.8440244198;2;17.2996768951;13.6469516754;5;29.5537353754;
17;2;20.1671619415;12.5;3;28.1613030434;2;18.3536891937;13.879781723;5;30.0669906139;
18;2;19.625;13.5;4;28.5039470196;2;19.4150733948;14.0;5;30.375654459;
19;2;19.625;14.2519731522;4;28.871723175;2;20.4845237732;14.0;5;30.7230784893;
20;2;19.625;14.4358615875;4;29.263862133;2;20.9126911163;14.0;5;31.1118502617;
21;2;19.625;14.6319313049;4;29.6789975166;2;20.2999992371;14.9335546494;5;31.544028759;
22;2;19.625;14.8394985199;5;30.1151270866;2;21.0974063873;14.0;5;32.0209121704;
23;3;20.625;12.8394985199;3;30.5695996284;2;21.2047042847;14.0;6;32.5427899361;
24;4;20.8781604767;12.5;2;31.0391392708;2;20.2999992371;15.0;6;33.1086950302;
