Turn;Planet_count_KI_1_SP_ABADDONI;Research_KI_1_SP_ABADDONI;Industry_KI_1_SP_ABADDONI;Ships_KI_1_SP_ABADDONI;Population_KI_1_SP_ABADDONI;Planet_count_KI_6_SP_SLY;Research_KI_6_SP_SLY;Industry_KI_6_SP_SLY;Ships_KI_6_SP_SLY;Population_KI_6_SP_SLY;
1;1;6.0;12.0;4;20.0;1;6.0;12.6999998093;4;21.0;
2;1;7.0;11.0;5;20.0;2;7.0;11.8999996185;4;22.0;
3;1;8.0;10.0;5;21.0;2;8.14999961853;10.6999998093;4;22.0900000334;
4;1;8.14999961853;10.5;5;21.8400001526;2;8.31349945068;10.5;4;22.1871190071;
5;1;8.27600002289;10.9200000763;4;22.5301437378;2;8.32806777954;10.5;4;22.2917383909;
6;1;9.27600002289;11.2650718689;4;23.086605072;2;9.44064044952;10.5;4;22.4042263031;
7;1;10.194486618;11.543302536;4;23.5283432007;2;10.0409517288;10.5;4;22.5249304771;
8;1;10.2938766479;11.7641716003;4;24.1098823547;2;10.0681095123;10.5;4;23.0894187689;
9;1;10.4247236252;12.0549411774;4;24.5655879974;2;10.1951189041;10.7100000381;4;23.5836213827;
10;1;10.5272569656;12.2827939987;4;24.9179592133;2;10.3063154221;10.8792181015;4;23.9926425219;
11;1;10.6065406799;12.4589796066;5;25.0;2;10.3983440399;11.0;4;25.8316864967;
12;1;12.5272569656;12.5;5;25.0;2;10.8121290207;11.7700004578;5;27.4540388584;
13;1;13.5272569656;12.5;5;25.0;2;12.541469574;12.4126424789;5;28.8682081699;
14;1;14.5272569656;12.5;5;25.0;2;14.541469574;12.9308347702;5;30.1005516052;
15;1;15.5272569656;12.5;5;25.0;2;16.541469574;13.3366470337;5;31.1863336563;
16;1;16.527256012;12.5;5;25.0;2;17.8257961273;13.6469516754;5;32.1621966362;
17;1;17.527256012;12.5;6;25.0;2;18.9405918121;13.879781723;5;32.9572491646;
18;1;17.625;12.5;6;25.0;2;20.0653820038;14.0;5;33.5542383194;
19;1;17.625;12.5;6;25.0;2;21.1997051239;14.0;5;34.1899633408;
20;1;17.625;12.5;6;25.0;2;21.692741394;14.0;5;34.8591008186;
21;1;17.625;12.5;7;25.0;2;21.843296051;14.0;5;35.5546751022;
22;1;17.625;12.5;7;25.0;2;21.9998016357;14.0;5;36.2682390213;
23;1;17.625;12.5;7;25.0;2;22.1603527069;14.0;6;36.9902019501;
24;2;17.625;12.5;6;25.0;2;22.3227958679;14.0;6;37.7102985382;
25;2;17.625;12.5;6;25.0;2;22.4848175049;14.0;6;38.4181499481;
26;2;17.625;12.5;6;25.0;2;22.6440830231;14.0;6;39.1038570404;
27;2;17.625;12.5;7;25.0;2;22.7983665466;14.0;6;39.758556366;
28;2;17.625;12.5;8;25.0;2;22.9456748962;14.0;6;40.374874115;
29;2;17.625;12.5;8;25.0;2;23.0843467712;14.0;6;40.947227478;
30;2;17.625;12.5;8;25.0;2;21.2131252289;15.0;6;41.4719495773;
31;2;17.625;12.5;8;25.0;3;21.3311882019;16.5;5;42.9472465515;
32;2;17.625;12.5;8;25.0;3;21.438129425;17.0;5;43.5330210924;
33;2;17.625;12.5;8;25.0;3;20.794927597;18.0;5;44.0943409204;
34;2;17.625;12.5;9;25.0;3;19.9212265015;19.0;5;44.6365213394;
35;2;17.625;12.5;10;25.0;3;19.7432174683;20.0;5;45.1657902002;
36;2;17.625;12.5;10;25.0;3;19.8623027802;21.0;6;45.6889178753;
37;2;17.625;12.5;10;25.0;3;19.9800071716;22.0;6;46.2128632069;
38;2;17.625;12.5;11;25.0;3;20.0978946686;23.0;6;46.7230784893;
39;2;17.625;12.5;11;25.0;4;21.2126922607;24.5;5;48.1118502617;
40;2;17.625;12.5;10;25.0;4;22.3001670837;25.5;4;48.7040287256;
41;2;17.625;12.5;9;25.0;4;22.3974075317;26.5799999237;4;49.3646560907;
42;2;17.625;12.5;10;25.0;4;22.8070487976;27.0;4;50.0969138145;
43;2;17.625;12.5;10;25.0;4;22.6000003815;26.7770614624;4;50.9028669596;
44;2;17.625;12.5;10;25.0;4;24.6000003815;28.7770614624;5;51.7831761837;
45;2;17.625;12.5;10;25.0;4;25.8861427307;30.7770614624;6;52.7368438244;
46;2;17.625;12.5;11;25.0;4;27.5657920837;32.7770614624;6;53.7610228062;
47;2;17.625;12.5;11;25.0;4;26.6000003815;34.7770614624;7;54.850918293;
48;2;17.625;13.5;8;25.0;4;28.6000003815;35.7770614624;7;55.999806881;
49;2;17.625;14.5;7;25.0;4;29.8025493622;35.7720146179;7;57.1991710663;
50;2;17.625;15.5;7;25.0;4;30.8698120117;34.0;9;58.4389481544;
51;2;17.625;16.5;7;25.0;5;29.1487617493;35.0;10;59.7078609467;
52;2;17.625;17.5;7;25.0;5;28.4342689514;36.0;10;60.9937868118;
53;2;17.625;17.5;7;25.0;5;27.7236022949;37.0;10;62.28414011;
54;2;17.625;17.5;8;25.0;5;27.0139312744;38.0;11;63.5662293434;
55;2;17.625;17.5;8;25.0;5;24.5826644897;38.0;13;64.8275823593;
56;2;17.625;17.5;9;25.0;5;24.5826644897;37.0;14;66.0562477112;
57;2;17.625;17.5;9;25.0;5;26.1852149963;38.0;14;67.2410802841;
58;3;17.625;17.5;9;25.0;5;26.8292446136;39.0;15;68.3720302582;
59;3;17.625;17.5;9;25.0;5;27.0837059021;40.0;16;69.4404277802;
60;3;17.625;17.5;10;25.0;5;27.3240966797;41.0;17;70.4392471313;
61;3;17.625;17.5;10;25.0;5;27.5488319397;42.0;17;71.3633213043;
62;4;17.625;17.5;8;40.0;5;27.7567462921;43.0;18;72.2094678879;
63;4;18.625;18.5;8;40.75;5;26.8109321594;42.0;18;72.9765033722;
64;4;19.625;19.5;8;41.4193744659;6;27.857460022;43.0;19;74.6004695892;
65;4;19.625;20.5;8;42.0072898865;6;29.8826637268;45.0;18;75.2228213549;
66;4;19.625;21.5;5;43.5162696838;6;30.3641357422;47.0;17;75.8196159601;
67;4;20.625;23.5;4;44.0413264036;6;30.4570713043;49.0;16;78.5117772818;
68;4;21.625;25.5;4;44.5062088966;6;27.565071106;50.0;18;80.826151967;
69;4;21.625;27.5;4;44.9187563658;7;28.6585121155;49.0;17;82.8245460987;
70;4;21.625;29.5;4;45.286989212;8;25.7385215759;49.0;14;113.07736659;
71;4;21.625;31.5;5;45.5249304771;8;26.5493412018;51.0;14;117.912252426;
72;3;19.625;27.5;5;44.0;9;24.9493408203;53.0;14;123.444869757;
73;3;19.625;28.5;5;44.0;9;27.9493408203;55.0;15;126.476748347;
74;3;19.625;29.5;5;44.0;9;26.9493408203;61.0;16;128.888870597;
75;3;19.625;30.5;5;44.0;10;27.0;67.0;14;130.735003591;
76;3;19.625;31.5;7;44.0;10;28.0;72.0;15;133.114792585;
77;3;19.625;32.0;7;44.0;10;30.0;78.0;16;134.122498989;
78;3;19.625;32.0;7;44.0;10;32.0;84.0;16;135.192969561;
79;3;19.625;32.0;7;45.5699996948;10;34.0;86.7976226807;17;136.316105604;
80;3;19.8500003815;32.7849998474;7;46.8255519867;10;36.0;89.9491958618;19;137.478999019;
81;3;20.0255012512;33.4127731323;7;47.8118495941;11;38.0;93.1093292236;19;138.666491389;
82;3;20.1592674255;33.9059257507;8;48.5761852264;11;40.0;95.2777938843;20;139.862042904;
83;3;20.2593841553;34.2880935669;8;49.0;11;43.0;94.4542312622;20;141.048808575;
84;3;20.2999992371;34.5;8;49.0;11;44.0;98.6381530762;21;142.210786104;
85;3;20.2999992371;34.5;8;49.0;11;44.75;102.828918457;21;143.333865047;
86;3;20.2999992371;34.5;9;49.0;12;45.75;104.025779724;20;145.406618476;
87;3;20.2999992371;34.5;8;49.0;12;46.75;106.22782135;20;146.480743408;
88;3;20.2999992371;34.5;8;49.0;12;46.75;111.434043884;20;147.494095325;
89;3;20.2999992371;34.5;9;49.0;12;48.0026664734;113.421791077;21;148.444575191;
90;3;20.2999992371;34.5;10;49.0;12;46.0175170898;114.63293457;23;149.332533479;
91;3;20.2999992371;34.5;10;49.0;12;46.0330619812;119.844680786;24;150.160180926;
92;3;20.2999992371;34.5;10;49.0;12;46.0493164062;120.055763245;25;150.930984139;
93;3;20.2999992371;34.5;12;49.0;12;46.0662841797;120.374984741;23;151.649135709;
94;3;20.2999992371;34.5;13;49.0;12;46.0839767456;124.609588623;23;152.319116116;
95;3;20.2999992371;34.5;13;49.0;12;49.1024017334;122.840232849;22;152.874280572;
96;3;20.2999992371;34.5;10;49.0;12;48.1215515137;124.065818787;21;153.293204665;
97;3;20.2999992371;34.5;8;49.0;12;48.1414222717;125.285339355;22;153.705592036;
98;3;20.2999992371;34.5;9;49.0;12;47.1620101929;131.472808838;23;154.110335588;
99;3;20.2999992371;34.5;9;49.0;12;47.1833076477;135.739776611;26;154.506518126;
100;3;20.2999992371;34.5;10;49.0;13;47.2052955627;139.996154785;27;154.893413782;
