Turn;Planet_count_KI_1_SP_ABADDONI;Research_KI_1_SP_ABADDONI;Industry_KI_1_SP_ABADDONI;Ships_KI_1_SP_ABADDONI;Population_KI_1_SP_ABADDONI;Planet_count_KI_6_SP_SLY;Research_KI_6_SP_SLY;Industry_KI_6_SP_SLY;Ships_KI_6_SP_SLY;Population_KI_6_SP_SLY;
1;1;6.0;12.0;4;20.0;2;6.0;12.8999996185;3;22.0;
2;2;7.0;11.1999998093;4;21.0;2;7.15000009537;11.6999998093;3;22.0900000334;
3;2;8.14999961853;10.0;4;22.0399999619;2;8.16349983215;10.6999998093;3;22.1871190071;
4;2;8.30599975586;10.5;4;22.921184063;2;8.32806777954;10.5;3;22.2917383909;
5;2;8.43817806244;10.9200000763;4;23.6536972523;2;8.34376049042;10.5;3;22.4042263031;
6;2;9.52880001068;11.2650718689;4;24.2537125349;2;9.46595096588;10.5;3;22.5249304771;
7;2;10.4570856094;11.543302536;4;24.7401846647;2;10.0681095123;10.5;3;22.6541694403;
8;2;10.5665407181;11.7641716003;4;25.379748702;2;10.0971889496;10.5;3;23.2287653685;
9;2;10.7104434967;12.0549411774;4;25.8955206871;2;10.2264719009;10.7100000381;3;23.7334493399;
10;2;10.8264923096;12.2827939987;4;26.310000658;2;10.3400268555;10.8792181015;3;24.1532578468;
11;2;10.9197502136;12.4589796066;5;26.4561861753;2;10.4344825745;11.0;3;26.0129473209;
12;2;13.8404664993;12.5;5;26.5223525763;2;10.8529129028;11.7700004578;3;27.6574776173;
13;2;15.8404664993;12.5;5;26.590518117;2;12.5872430801;12.4126424789;3;29.0951218605;
14;2;16.8851242065;12.5;5;26.6606516838;2;14.5872430801;12.9308347702;3;30.3518810272;
15;2;17.9009037018;12.5;5;26.7327131033;2;16.5872421265;13.3366470337;4;31.4625301361;
16;2;18.9171161652;12.5;5;26.8066529036;3;17.8879413605;13.6469516754;4;32.4630823135;
17;2;19.9337539673;12.5;5;26.882412076;3;19.0082912445;13.879781723;5;33.2818861008;
18;2;20.0485420227;12.5;6;26.9599220753;3;20.138425827;14.0;5;33.9008235931;
19;2;20.0659828186;12.5;6;27.0391044617;3;21.2776870728;14.0;5;34.5557665825;
20;2;20.0837974548;12.5;6;27.1198713779;3;21.7750473022;14.0;5;35.2404661179;
21;3;20.1019706726;12.5;5;27.2021250725;3;21.9291038513;14.0;5;35.9471020699;
22;3;19.625;12.5;5;27.2857589722;3;22.0880966187;14.0;5;36.6665449142;
23;3;20.139295578;12.5;5;27.3706576824;3;22.2499713898;14.0;5;37.3887672424;
24;3;19.625;13.2111968994;5;27.4566969872;3;22.4124717712;14.0;5;38.1033678055;
25;3;17.625;14.2370090485;7;27.5437452793;3;22.5732574463;14.0;4;38.8001594543;
26;4;16.625;15.2631235123;6;27.6316635609;3;22.7300338745;14.0;4;39.4697523117;
27;4;16.217124939;15.5;6;27.7203068733;3;22.8806934357;14.0;4;40.1040582657;
28;4;15.2370691299;16.5;6;27.8095245361;3;23.0234127045;14.0;4;40.6966657639;
29;4;14.6321430206;17.5;6;27.8991618156;3;23.1567497253;14.0;4;41.2430458069;
30;4;14.6523113251;18.5;6;27.9890601635;3;21.2796840668;15.0;5;41.7405805588;
31;4;14.6725387573;19.5;7;29.0790588856;4;21.3916301727;16.5;4;43.1884441376;
32;4;15.6927881241;21.0;8;29.2989963293;4;21.4923992157;17.5;4;43.7473603487;
33;4;16.7130241394;21.5;8;29.5341416597;4;20.5821552277;18.5799999237;4;44.2830444574;
34;4;17.0201816559;22.5;9;29.7857654095;4;19.963684082;19.0;4;44.8012781143;
35;4;17.0767974854;23.5;9;30.0551650524;4;19.4306106567;20.7770614624;5;45.3085848093;
36;4;16.7732868195;25.3091678619;9;30.3436337709;4;19.4907436371;21.8970851898;5;45.811883688;
37;4;17.0;24.4093551636;9;30.6524207592;4;20.0076732635;22.0;5;46.3181631565;
38;4;17.2717952728;23.5;10;30.9826824665;4;20.1215858459;23.0;6;46.7230784893;
39;4;17.3461036682;24.5;11;31.3354229927;5;19.6000003815;25.0;5;47.1118502617;
40;5;17.0;24.5;10;31.7114260197;5;19.6000003815;26.5559253693;5;47.544028759;
41;5;16.6399059296;23.5;11;32.1111807823;6;19.6000003815;27.7720146179;5;48.0209121704;
42;5;17.6000156403;24.5;12;32.5348021984;6;19.6000003815;29.0104560852;6;48.5427899361;
43;5;17.9069423676;23.5;12;32.9819517136;6;20.6000003815;27.2713947296;7;49.1086950302;
44;5;17.7959384918;23.5;13;33.4517645836;6;22.6000003815;28.2713947296;8;49.7161855698;
45;5;17.9016475677;24.5;13;33.9427890778;6;23.8861427307;29.2713947296;9;50.3611893654;
46;5;18.0527744293;23.5;13;34.4529471397;6;25.0312690735;30.0;10;51.0379443169;
47;5;18.9760093689;24.5;14;34.9795222282;6;24.6000003815;31.0;11;51.7390680313;
48;5;20.0;25.5;15;35.5191831589;6;26.6000003815;30.0;11;52.4557781219;
49;5;21.0;26.5;15;36.0680451393;6;27.8025493622;29.0;13;53.1782588959;
50;5;21.0;27.5;15;36.621773243;6;27.9651069641;29.0;13;53.8961582184;
51;5;21.625;28.5;17;37.175716877;6;28.1266365051;29.0;14;54.5991659164;
52;5;23.625;27.5;18;37.7250800133;6;28.2848129272;29.0;16;55.2776012421;
53;5;23.4216537476;28.5;18;38.2651014328;6;28.4374599457;29.0;16;55.9229507446;
54;5;24.5297203064;27.5;19;38.7912387848;6;28.5826644897;29.0;16;56.5282850266;
55;5;24.7280292511;27.5;19;39.2993421555;6;26.5826644897;30.0;17;57.088514328;
56;5;24.8423519135;27.5;20;39.7857985497;6;27.5826644897;29.0;17;57.6004695892;
57;5;23.8344078064;28.5;21;40.2300891876;6;28.5826644897;29.0;18;58.0628213882;
58;5;24.9267692566;27.5;21;40.6157541275;7;29.0641345978;29.0;15;80.2258720398;
59;5;25.1385440826;27.5;21;40.9750175476;7;28.1570701599;31.0;16;81.6787614822;
60;5;23.1385440826;28.5;22;41.307009697;7;28.2392845154;33.0;17;82.8926620483;
61;5;24.1385440826;27.5;22;41.6115064621;7;28.3113708496;35.0;18;83.8878231049;
62;5;25.1385440826;27.5;23;41.8888463974;7;28.3740825653;37.0;19;84.6915493011;
63;5;25.4249916077;27.5;24;42.1398382187;7;28.4282646179;39.0;19;85.3334445953;
64;6;25.481464386;27.5;22;48.3656587601;7;29.1747970581;40.0;19;85.75;
65;6;26.5322723389;28.5;23;48.7477555275;7;30.2000007629;41.0;21;85.75;
66;6;27.5777454376;29.5;23;49.1020326614;7;31.2000007629;42.0;21;85.75;
67;6;28.6182441711;30.5;23;49.4297819138;7;32.2000007629;43.0;21;88.1293735504;
68;6;29.6108818054;31.5;23;49.6839914322;8;32.2068099976;42.0;20;90.02277565;
69;7;29.6801967621;32.5;22;49.8387932777;8;32.4322128296;42.0;22;91.417591095;
70;8;29.7266368866;32.5;18;69.9865937233;8;31.581451416;41.0;22;92.1052589417;
71;8;30.7709770203;33.5;18;71.3272628784;8;31.6493415833;41.0;22;92.6133613586;
72;8;31.8131790161;34.5;18;72.4783368111;8;29.0493431091;41.0;24;93.0;
73;8;32.8532180786;35.5;17;75.7015075684;8;30.0493431091;40.0;24;93.0;
74;8;32.2488555908;37.0;17;78.3993268013;8;32.0493431091;41.0;24;93.0;
75;8;30.2901039124;40.3899993896;17;80.6160182953;8;28.0493431091;44.0;24;93.0;
