Turn;Planet_count_KI_1_SP_TRITH;Research_KI_1_SP_TRITH;Industry_KI_1_SP_TRITH;Ships_KI_1_SP_TRITH;Population_KI_1_SP_TRITH;Planet_count_KI_6_SP_CHATO;Research_KI_6_SP_CHATO;Industry_KI_6_SP_CHATO;Ships_KI_6_SP_CHATO;Population_KI_6_SP_CHATO;
1;1;10.8880004883;14.720000267;4;29.4400005341;1;13.0;10.0;4;20.0;
2;1;10.8880004883;14.720000267;4;29.4400005341;1;13.0;10.0;5;20.0;
3;1;10.8880004883;14.720000267;4;29.4400005341;1;13.0;10.0;5;20.0;
4;1;10.8880004883;14.720000267;4;29.4400005341;1;14.0;10.0;5;20.0;
5;2;12.188000679;14.720000267;3;30.4400005341;1;15.0;10.0;5;20.0;
6;2;13.188000679;14.720000267;3;30.4584004879;1;16.0;10.0;4;20.3999996185;
7;2;14.1375198364;14.720000267;3;31.0422002077;1;17.0;10.1999998093;4;20.7264003754;
8;2;14.3126602173;15.0026245117;3;31.4156485796;1;17.4358406067;10.3632001877;4;21.8194274902;
9;2;14.4246940613;15.1800003052;3;32.8747577667;1;18.0916557312;10.9097137451;4;22.7316036224;
10;2;16.3297481537;15.8904247284;3;33.9497720003;1;19.0916557312;11.3658018112;4;23.4745616913;
11;2;18.3297481537;16.4083175659;4;34.7195961475;2;21.0916557312;11.7372808456;3;25.0673980713;
12;3;20.3297481537;16.7731342316;3;35.2544733286;2;23.0916557312;12.0336990356;4;25.6225260496;
13;3;21.3659172058;17.0200004578;3;35.2965612411;2;24.7456550598;12.2662630081;3;26.0796532631;
14;3;22.3785438538;17.0200004578;3;35.339578867;2;25.8039264679;12.446267128;3;26.2917383909;
15;3;23.3914489746;17.0200004578;3;35.3835101128;2;26.8666992188;12.5;2;26.4042263031;
16;3;24.4046287537;17.0200004578;3;35.4283361435;2;27.9341907501;12.5;2;26.5249304771;
17;3;24.6284999847;17.0200004578;3;35.4740355015;2;29.0066146851;12.5;2;26.6541694403;
18;3;24.6422100067;17.0200004578;3;35.5205837488;2;29.9925022125;12.5;2;26.7922235727;
19;3;24.6561737061;17.0200004578;3;35.567953825;2;30.075334549;12.5;3;26.9393253326;
20;3;24.6703853607;17.0200004578;4;35.6161155701;2;30.1635951996;12.5;4;27.0956480503;
21;3;24.6848335266;17.0200004578;4;35.6650363207;2;30.2573890686;12.5;4;27.261295557;
22;3;24.6995105743;17.0200004578;4;35.7146805525;2;30.3567771912;12.5;4;27.4362905025;
23;3;24.7144031525;17.0200004578;4;35.7650099993;2;30.461774826;12.5;4;27.6205644608;
24;3;24.7295036316;17.0200004578;4;35.8159838915;2;30.5723381042;12.5;4;27.8139474392;
25;3;24.7447948456;17.0200004578;4;35.8675587177;2;30.6883678436;12.5;4;28.016159296;
26;3;24.7602672577;17.0200004578;4;35.9196887016;2;30.8096961975;12.5;4;28.2268030643;
27;3;24.2119998932;17.9598445892;5;35.9723258018;2;30.9360809326;12.5;4;28.445360899;
28;3;24.7916984558;17.0200004578;6;36.0254198313;2;31.0672168732;12.5;4;28.6711919308;
29;4;25.2119998932;18.0127105713;5;37.078918457;3;31.20271492;12.5;3;28.9035346508;
30;4;26.8236751556;17.5200004578;4;37.1695679426;3;29.20271492;13.5;4;29.141512394;
31;4;26.2119998932;18.53840065;3;37.2614854574;3;29.0;14.5;4;29.3841423988;
32;4;26.2119998932;18.6307430267;2;37.3546116352;3;29.0;14.692070961;4;29.6303496361;
33;4;26.2119998932;18.6773052216;2;37.4488836527;3;30.0;16.6920719147;4;29.8789830208;
