Turn;Planet_count_KI_1_SP_TRITH;Research_KI_1_SP_TRITH;Industry_KI_1_SP_TRITH;Ships_KI_1_SP_TRITH;Population_KI_1_SP_TRITH;Planet_count_KI_6_SP_CHATO;Research_KI_6_SP_CHATO;Industry_KI_6_SP_CHATO;Ships_KI_6_SP_CHATO;Population_KI_6_SP_CHATO;
1;1;11.3999996185;16.0;4;32.0;2;13.3999996185;10.0;3;21.0;
2;1;11.3999996185;16.0;6;32.0;2;13.3999996185;10.0;3;21.0599999428;
3;1;11.3999996185;16.0;6;32.0;2;13.4239997864;10.0;3;21.1229639053;
4;1;11.3999996185;16.0;6;32.0;2;14.6737785339;10.0;3;21.1889609098;
5;1;12.3999996185;16.0;6;32.0;2;15.7133769989;10.0;3;21.2580518723;
6;1;13.3999996185;16.0;5;32.0;2;16.7548313141;10.0;3;21.7428686619;
7;1;14.3999996185;16.0;5;31.8360004425;2;17.805721283;10.1999998093;3;22.1586660147;
8;1;14.5508003235;15.9180002213;5;31.6884002686;2;18.2952003479;10.3632001877;3;23.3744058609;
9;1;14.5065202713;15.8442001343;5;32.7504692078;2;19.0246429443;10.9097137451;3;24.4179002047;
10;1;16.5508003235;16.3752346039;5;33.5003013611;2;21.0246429443;11.3658018112;3;25.3010519743;
11;1;17.5508003235;16.7501506805;5;34.0161056519;2;23.0246429443;11.7372808456;3;26.0431767702;
12;1;18.5508003235;17.0080528259;5;34.0400009155;2;24.2771224976;12.0336990356;3;26.6668455601;
13;1;19.5508003235;17.0200004578;6;34.0400009155;2;25.0001087189;12.2662630081;3;27.194732666;
14;1;20.5508003235;17.0200004578;6;34.0400009155;2;25.3168392181;12.446267128;3;27.4794170856;
15;1;21.5508003235;17.0200004578;6;34.0400009155;2;25.4876499176;12.5;3;27.6658837795;
16;1;22.2119998932;17.0200004578;7;34.0400009155;2;25.5995292664;12.5;3;27.86140275;
17;1;22.2119998932;17.0200004578;7;34.0400009155;2;25.7168426514;12.5;4;28.0656666756;
18;1;22.2119998932;17.0200004578;7;34.0400009155;2;25.8393993378;12.5;5;28.2782502174;
19;1;22.2119998932;17.0200004578;8;34.0400009155;3;27.9669494629;12.5;4;28.4986059666;
20;1;22.2119998932;17.0200004578;9;34.0400009155;3;29.0991630554;12.5;5;28.7260642052;
21;1;22.2119998932;17.0200004578;9;34.0400009155;3;30.2356376648;12.5;5;28.9598350525;
22;1;22.2119998932;17.0200004578;10;34.0400009155;3;31.3759002686;12.5;5;29.1990156174;
23;1;22.2119998932;17.0200004578;10;34.0400009155;3;31.5194091797;12.5;5;29.4425997734;
24;1;22.2119998932;17.0200004578;10;34.0400009155;3;31.6655597687;12.5;5;29.6894927025;
25;1;20.2119998932;18.0200004578;10;34.0400009155;3;31.8136959076;12.5;5;29.9385285378;
26;1;19.2119998932;19.0200004578;10;34.0400009155;3;31.9631175995;12.5;5;31.1884908676;
27;1;18.2119998932;20.0200004578;10;34.0400009155;3;33.1130943298;13.0;5;31.4781355858;
28;1;19.2119998932;18.0200004578;10;34.0400009155;3;34.2628822327;12.5;5;31.7673997879;
29;1;20.2119998932;17.0200004578;10;34.0400009155;3;35.0604400635;12.5;5;32.0550606251;
30;1;21.2119998932;17.0200004578;10;34.0400009155;3;35.2330360413;12.5;5;32.3399375677;
31;1;22.2119998932;17.0200004578;10;34.0400009155;3;35.4039611816;12.5;5;32.6209162474;
32;1;22.2119998932;17.0200004578;10;34.0400009155;3;35.5725479126;15.5;5;32.8969676495;
33;1;22.2119998932;17.0200004578;11;34.0400009155;3;35.7381820679;18.5;5;33.1671655178;
34;1;22.2119998932;17.0200004578;11;34.0400009155;3;35.9002990723;21.5;6;33.4306976795;
35;1;22.2119998932;17.0200004578;11;34.0400009155;3;36.0584182739;24.5;6;33.6868752241;
36;1;22.2119998932;17.0200004578;13;34.0400009155;3;36.2121238708;27.5;6;33.9351381063;
37;1;22.2119998932;17.0200004578;13;34.0400009155;3;36.3610839844;27.5;8;34.1750535965;
