Turn;Planet_count_KI_1_SP_CRAY;Research_KI_1_SP_CRAY;Industry_KI_1_SP_CRAY;Ships_KI_1_SP_CRAY;Population_KI_1_SP_CRAY;Planet_count_KI_6_SP_EGASSEM;Research_KI_6_SP_EGASSEM;Industry_KI_6_SP_EGASSEM;Ships_KI_6_SP_EGASSEM;Population_KI_6_SP_EGASSEM;
1;1;11.0;10.0;4;20.0;1;6.0;13.3000001907;4;17.0;
2;1;11.0;10.0;5;20.0;1;7.0;12.3000001907;5;17.0;
3;1;11.0;10.0;6;20.0;1;7.55000019073;11.3000001907;5;17.0;
4;1;11.0;10.0;6;20.0;1;7.55000019073;10.3000001907;5;17.0;
5;2;12.4499998093;10.0;5;21.0;1;7.55000019073;9.30000019073;5;17.0;
6;2;13.4499998093;10.0;5;21.0599999428;1;8.55000019073;8.5;5;17.0;
7;2;14.4770002365;10.0;5;21.5335636139;1;8.82499980927;8.5;5;17.0;
8;2;14.6901044846;10.1999998093;5;21.9377998114;1;8.82499980927;8.5;5;17.0;
9;2;14.8720092773;10.3632001877;5;23.1372920275;1;8.82499980927;8.5;5;17.3400001526;
10;2;15.411781311;10.9097137451;5;24.1638869047;1;8.9015007019;8.67000007629;5;17.6278438568;
11;2;17.411781311;11.3658018112;5;25.029558897;1;8.96626472473;8.81392192841;5;17.869726181;
12;2;19.411781311;11.7372808456;5;25.7537147999;1;9.02068901062;8.93486309052;5;18.786491394;
13;2;20.5775852203;12.0336990356;5;26.3590377569;1;9.22696018219;9.39324569702;6;19.5780620575;
14;2;20.8615665436;12.2662630081;5;26.8683357239;2;11.0206890106;10.3890314102;5;21.2480106354;
15;2;21.0907516479;12.446267128;5;27.1343436241;2;13.0206890106;10.7240056992;5;21.9127329588;
16;2;21.2104549408;12.5;5;27.3022236824;2;15.0206890106;11.0671167374;5;22.4872255325;
17;2;23.2376422882;12.5;5;27.4794437885;2;16.0206890106;11.3661489487;5;22.9857510328;
18;2;24.3173904419;12.5;5;27.6659116745;2;17.0206890106;11.6283082962;5;23.4225862026;
19;2;25.4013023376;12.5;6;27.8614320755;2;18.0206890106;11.8608055115;5;23.6484457254;
20;2;26.4892845154;12.5;6;28.0656974316;2;18.9500007629;11.9890670776;5;23.8149644136;
21;2;26.6295642853;12.5;6;28.2782821655;2;18.9500007629;12.0889787674;5;23.9952818155;
22;2;26.725227356;12.5;6;28.4986391068;2;18.9500007629;12.1971693039;6;24.1899158955;
23;2;26.8243865967;12.5;6;28.726098299;2;18.9500007629;12.5329408646;7;24.399273634;
24;2;26.9267444611;12.5;6;28.9598701;2;18.9500007629;12.6794910431;7;24.6236231327;
25;2;27.0319404602;12.5;6;29.1990513802;2;18.9500007629;12.8365364075;8;24.8630647659;
26;2;27.1395721436;12.5;6;29.442636013;2;18.9500007629;13.0041456223;8;25.1175034046;
27;2;27.2491855621;12.5;6;29.6895294189;2;18.9500007629;13.1822528839;8;25.3866217136;
28;2;27.36028862;12.5;6;29.938565731;2;18.9500007629;13.3706350327;8;25.6698577404;
29;2;27.4723548889;12.5;6;30.1885280609;3;18.9500007629;13.5689001083;7;35.9663875103;
30;2;25.4723548889;13.5;6;30.4381728172;3;18.8424377441;12.5689001083;7;36.6751155853;
31;2;25.25;14.5;6;30.6862530708;3;18.911901474;13.0;7;37.3690757751;
32;2;25.25;14.7745018005;6;30.9315438271;3;17.9500007629;15.0;8;38.045378685;
33;2;25.25;14.8726177216;6;31.1728658676;3;18.0;17.0;8;38.7015762329;
34;2;25.25;14.9691467285;6;31.4091095924;3;19.0;19.0;8;39.3356280327;
35;2;25.25;15.0636444092;7;31.6392536163;3;20.0;21.0;8;39.9458575249;
36;2;25.25;15.1557016373;8;31.8623819351;4;21.0;23.0;7;40.5309095383;
37;2;26.25;17.1557006836;9;32.0776972771;4;21.5082206726;25.0;7;41.0897130966;
38;2;27.25;19.1557006836;9;32.2845292091;4;21.6051368713;27.0;8;41.6214470863;
39;2;28.25;20.5;10;32.4823384285;4;21.6916885376;28.6705741882;8;42.1255202293;
40;2;28.6170520782;21.5;10;32.6707181931;4;21.7686290741;30.0369796753;8;42.6015610695;
41;2;28.7018241882;22.5;10;32.8493909836;4;21.8367462158;31.394115448;8;42.9453339577;
42;2;28.7822265625;22.5;10;33.0182008743;4;21.8500003815;32.7398681641;9;43.2476272583;
43;2;28.8581905365;22.5;11;33.1771059036;4;21.8500003815;34.0723876953;9;43.5364894867;
44;2;28.9296970367;22.5;11;33.326166153;4;22.8500003815;32.3901367188;9;43.8108100891;
45;2;28.9967746735;22.5;12;33.4655323029;4;22.8500003815;31.3901386261;10;44.069776535;
46;3;29.0594902039;22.5;11;33.5954332352;4;23.8500003815;31.3901386261;10;44.3128671646;
47;3;29.1179447174;22.5;11;33.7161617279;4;22.8500003815;31.3901386261;10;44.5398340225;
48;3;29.1722717285;22.5;11;33.8280630112;4;23.8500003815;32.3901367188;10;44.7506799698;
49;3;29.2226295471;22.5;11;33.9315223694;4;24.8500003815;33.3901367188;10;44.9456272125;
50;3;29.2691841125;22.5;11;34.0;4;25.8500003815;34.3901367188;11;45.1250829697;
51;3;29.2999992371;22.5;11;34.0;4;26.8000011444;35.3901367188;12;45.289607048;
52;3;29.2999992371;22.5;11;34.0;4;26.8000011444;35.3901367188;14;45.4398756027;
53;3;29.2999992371;22.5;12;34.0;4;26.8000011444;35.3901367188;14;45.5766506195;
54;3;27.2999992371;23.5;12;34.0;4;26.8000011444;35.3901367188;14;45.7007513046;
55;3;26.2999992371;24.5;12;34.0;4;26.8000011444;36.3901367188;14;45.75;
56;3;25.2999992371;25.5;12;34.0;4;26.8000011444;37.3901367188;14;45.75;
57;3;25.25;26.1000003815;12;34.0;4;26.8000011444;37.8250007629;14;45.75;
58;3;25.25;26.1000003815;12;35.1800003052;4;26.8000011444;37.8250007629;15;45.75;
59;3;26.7000007629;24.6000003815;13;37.1270771027;4;26.8000011444;37.8250007629;16;45.75;
60;3;29.0510005951;24.9899997711;13;37.9660938978;4;26.8000011444;37.8250007629;16;45.75;
61;3;31.3185329437;25.6872596741;14;39.935567379;4;26.8000011444;37.8250007629;17;45.75;
62;4;33.0115127563;27.457233429;14;56.5328434706;5;26.8000011444;37.8250007629;18;45.75;
63;4;35.1084976196;30.0478897095;14;58.8589944839;5;26.8000011444;37.8250007629;18;45.75;
64;4;36.6321487427;32.4849128723;14;60.8310780525;5;26.8000011444;37.8250007629;19;45.75;
65;4;34.9150810242;34.7992858887;15;62.457033515;5;26.8000011444;37.8250007629;20;45.75;
66;4;33.0957260132;35.0;15;63.5598722696;5;26.8000011444;37.8250007629;21;45.75;
67;4;32.4000015259;36.0;16;63.8228931427;5;26.8000011444;37.8250007629;21;45.75;
68;4;32.2200012207;36.7999992371;16;64.0466721058;5;26.8000011444;37.8250007629;22;46.75;
69;4;32.0579986572;37.6199989319;16;64.235779047;5;27.8000011444;38.8250007629;22;46.7999999523;
70;5;31.9122009277;39.4580001831;17;64.3966491222;5;28.8000011444;39.8250007629;22;46.8519749641;
71;6;31.7809810638;41.3122024536;16;64.5363779068;5;29.0479450226;40.8250007629;23;48.0788445473;
72;6;31.6628818512;40.1809806824;15;64.5631434917;5;27.179567337;43.0910644531;23;49.1286141872;
73;5;29.5565948486;35.0628814697;15;61.4742774963;6;28.2987098694;43.9289894104;21;52.8374744654;
74;5;29.4609355927;34.9565963745;15;61.2268505096;6;30.1124534607;45.359287262;22;53.8021783829;
75;5;29.3748416901;35.8609352112;15;61.0041646957;6;31.6289901733;46.722618103;23;54.4421373606;
76;5;29.2973556519;36.7748413086;15;61.8037481308;6;31.6999988556;47.9328536987;23;54.8876303434;
77;5;29.2276229858;38.2973556519;15;62.5233739614;6;31.6999988556;49.0935897827;23;55.294242382;
78;5;29.1648597717;39.1676216125;15;62.1710366607;7;27.6999988556;52.2000007629;23;55.6138557196;
79;5;29.108373642;40.0508575439;16;61.8539327979;7;25.6999988556;54.2000007629;23;55.9423040152;
80;5;29.0575351715;40.9457740784;13;61.5685392022;7;23.6999988556;56.2000007629;22;57.2785608768;
81;5;29.0117816925;41.8511962891;13;61.3116858602;7;22.6999988556;59.2000007629;22;57.7830132246;
82;5;28.9706039429;43.7660751343;14;61.080516696;7;22.2999992371;62.2000007629;22;58.3763496876;
83;5;28.9335441589;45.6894683838;14;60.8724640608;7;23.2999992371;62.2000007629;23;58.9162328243;
84;5;28.900188446;47.6205215454;15;60.6852170825;8;24.2999992371;63.2000007629;22;59.4686660767;
85;5;28.8701686859;49.558467865;16;60.5166953802;8;25.2999992371;64.1999969482;23;61.0303146839;
86;5;28.8431510925;48.502620697;18;60.3650261462;8;27.2999992371;66.1999969482;23;61.6275863647;
87;5;28.8188381195;48.4523620605;19;60.2285242975;8;29.2999992371;69.1999969482;23;62.3461101055;
88;5;28.7969532013;48.4071235657;19;60.1056719422;8;30.2999992371;72.1999969482;24;63.0724966526;
89;5;28.7772579193;49.3664093018;19;59.9951045513;9;30.2999992371;75.1999969482;24;63.8030480146;
90;5;28.7595329285;50.3297691345;20;59.8955941051;9;28.2999992371;79.1999969482;24;64.1508415937;
91;5;28.7435798645;51.2967910767;20;59.8060350865;9;27.2999992371;82.940032959;25;64.7371685505;
92;6;29.729221344;53.2671127319;19;60.7254321575;9;26.2999992371;85.9586791992;21;65.3099137545;
93;6;30.7163009644;55.1404037476;19;60.7328885049;10;25.2999992371;85.9586791992;21;65.8664040565;
94;6;31.1906700134;56.1163635254;19;60.7531353682;10;26.2999992371;87.9586791992;20;66.4044344425;
95;6;30.6942024231;59.1172409058;19;60.7856892943;10;27.2999992371;90.9586791992;21;66.9222912788;
96;6;30.6847839355;61.0955200195;19;60.8301246613;10;28.2999992371;93.0350189209;22;67.4187508821;
97;6;30.6763038635;62.0759658813;19;60.8860671371;10;29.2999992371;96.054473877;23;67.8930556774;
98;6;30.668674469;63.0583724976;22;60.9531757459;10;30.2999992371;99.0740509033;23;68.3448733091;
99;6;30.6618061066;64.9686737061;22;61.031136252;11;30.2999992371;101.866920471;22;86.0242452621;
100;6;31.655626297;63.961807251;22;61.1196498349;11;31.2999992371;104.905670166;22;88.2858995199;
