Turn;Planet_count_KI_1_SP_CRAY;Research_KI_1_SP_CRAY;Industry_KI_1_SP_CRAY;Ships_KI_1_SP_CRAY;Population_KI_1_SP_CRAY;Planet_count_KI_6_SP_EGASSEM;Research_KI_6_SP_EGASSEM;Industry_KI_6_SP_EGASSEM;Ships_KI_6_SP_EGASSEM;Population_KI_6_SP_EGASSEM;
1;1;11.0;10.0;4;20.0;1;6.0;13.3000001907;4;17.0;
2;1;11.0;10.0;4;20.0;2;7.0;12.6999998093;5;18.0;
3;1;11.0;10.0;4;20.0;2;7.7000002861;11.3000001907;5;18.0674999952;
4;1;11.0;10.0;4;20.0;2;7.71012496948;10.3000001907;5;18.1388356686;
5;1;12.0;10.0;4;20.0;2;7.72082567215;9.30000019073;5;18.2141259909;
6;2;13.4499998093;10.0;3;21.0;2;8.82317829132;8.5;5;18.293479681;
7;2;14.4499998093;10.0;3;21.3999996185;2;9.1160326004;8.5;5;18.3769934177;
8;2;14.6300001144;10.1999998093;3;21.7264003754;2;9.13482284546;8.5;5;18.8185193539;
9;2;14.7768793106;10.3632001877;3;22.8494274616;2;9.234167099;8.67000007629;5;19.2138732672;
10;2;15.282242775;10.9097137451;3;23.7921946049;2;9.32312107086;8.81392192841;5;19.5693782568;
11;2;17.2822418213;11.3658018112;3;24.5663278103;2;9.40311050415;8.93486309052;5;20.6569644213;
12;2;19.2822418213;11.7372808456;3;25.1909153461;2;9.64781665802;9.39324569702;5;21.6333289146;
13;2;20.3243255615;12.0336990356;4;25.6883610487;2;9.86749839783;9.78903102875;5;22.502530098;
14;2;21.3388690948;12.2662630081;4;26.0812431574;2;11.7342271805;10.1240053177;5;23.273829937;
15;2;22.3536624908;12.446267128;4;26.2221269608;2;13.7342271805;11.3900556564;5;23.959577322;
16;2;23.3687000275;12.5;4;26.2560760975;2;15.7342271805;10.6309299469;5;24.5733425617;
17;2;24.3839759827;12.5;4;26.2905418873;2;16.2269592285;11.8157100677;5;25.1285128593;
18;2;25.3994865417;12.5;4;26.3255085945;2;17.9471969604;10.9637317657;5;25.4747054577;
19;2;25.8464794159;12.5;5;26.3609591722;2;19.0087680817;11.0;5;25.7622475624;
20;2;25.8624305725;12.5;5;26.3968753815;2;19.7965068817;11.0;6;26.062766552;
21;2;25.8785934448;12.5;5;26.4332377911;2;19.8641242981;11.0;6;26.3750810623;
22;3;25.8949565887;12.5;4;26.4700255394;2;18.9500007629;12.0;6;26.6977396011;
23;3;25.25;12.5;4;26.5072168112;2;19.9500007629;11.0;6;27.0290365219;
24;3;25.9282474518;12.5;5;26.5447884798;2;18.9500007629;12.0;6;27.3670363426;
25;4;25.25;13.1179151535;4;26.5827163458;2;18.9500007629;13.0;6;27.7096123695;
26;4;25.25;13.1330862045;4;26.6209751368;2;18.9500007629;13.8548059464;7;28.0544948578;
27;4;25.25;13.1483898163;4;26.6595385075;4;18.9500007629;14.0272474289;5;28.3993287086;
28;4;25.25;13.1638154984;4;26.6983793974;4;18.9500007629;14.1996641159;5;28.7417359352;
29;4;25.25;13.1793518066;4;26.7374696732;4;18.9500007629;14.3708677292;5;29.0793800354;
30;4;25.25;13.1949882507;4;26.7767804861;4;16.9500007629;16.3708686829;5;29.4100308418;
31;4;25.25;13.2107124329;5;26.8162822723;4;15.9500007629;18.3708686829;5;29.7316241264;
32;4;25.25;13.2265129089;5;27.8559447527;4;14.9500007629;20.3708686829;5;30.042309761;
33;4;26.25;13.6423778534;5;27.9157372713;4;14.0;22.238079071;5;30.3404941559;
34;4;27.25;13.6662950516;5;27.9758244753;4;14.0;23.506444931;5;30.6248636246;
35;4;27.25;13.6903295517;5;28.0361689329;4;14.0;24.7623767853;6;30.894402504;
36;4;28.6162757874;16.6903305054;5;28.0967320204;4;14.0;26.0049629211;6;31.14839077;
37;4;28.643529892;19.6903305054;7;28.1574752331;4;14.0;27.2335510254;6;31.3863964081;
38;4;28.6708641052;22.6903305054;7;28.2183595896;4;14.0;28.4477577209;7;31.608253479;
39;4;28.698261261;25.6903305054;8;28.2793455124;5;14.0;29.6474266052;6;31.8140382767;
40;4;28.7257061005;27.5;8;28.3403940201;5;14.0;30.8326339722;7;32.0040340424;
41;4;28.7531776428;27.5;8;28.401465416;5;14.0;32.0036315918;7;32.1787014008;
42;4;28.7806587219;27.5;9;28.4625204802;5;14.0;33.1608314514;8;32.3386392593;
43;4;28.808134079;27.5;9;28.523520112;5;15.0;31.304775238;8;32.4845542908;
44;4;28.8355827332;27.5;10;28.5844256878;5;15.0;30.304775238;9;33.6172304153;
45;4;28.862991333;27.5;12;28.6451989412;5;17.0;30.304775238;10;33.7799992561;
46;4;28.8903388977;27.5;12;28.7058022022;5;18.4159374237;31.243024826;11;33.8363631964;
47;4;28.9176101685;27.5;13;28.7661980391;7;18.6631813049;30.304775238;10;48.8815953732;
48;4;28.9447898865;27.5;15;28.8263500929;7;17.4187507629;33.304775238;11;49.6781990528;
49;4;28.9718570709;27.5;15;28.8862229586;7;18.0;35.3651542664;13;50.39554739;
50;4;28.9988002777;27.5;15;28.9457817078;8;19.0;37.4083328247;11;66.0328018665;
51;4;29.0256023407;27.5;16;29.0049926043;8;21.0;40.4527359009;11;67.3424767256;
52;4;29.0522460938;27.5;16;29.0638228655;8;23.0;45.4527359009;11;68.4989454746;
53;5;29.0787200928;27.5;14;41.8722407818;8;25.0;50.4527359009;12;69.5079866648;
54;6;28.25;29.5;12;42.567715764;8;27.0;55.4527359009;12;70.3795589209;
55;6;29.25;29.5;13;43.2092489004;8;29.0;60.4527359009;12;71.1262997389;
56;6;29.25;31.5;13;44.2133076191;8;31.0;64.4527359009;13;71.6684823036;
57;6;29.4991664886;33.5;13;45.1397480965;8;33.1217956543;63.744228363;15;72.0347979069;
58;6;29.5144577026;35.5;13;47.2044693232;8;32.7410774231;65.1669998169;15;72.3500939608;
