"data.File";"data.Entries";"data.Mean";"data.Mean_normalized";"data.Variance";"data.Variance_normalized";"two_tailed_result";"two_tailed_result_normalized";"one_tailed_result";"one_tailed_result_normalized";"p";"p_normalized"
"SP_REPLICON/SP_CHATO";70;-0.271428571428571;0.364285714285714;0.925258799171843;0.231314699792961;TRUE;TRUE;TRUE;TRUE;0.0105313541009768;0.0115754759926232
"SP_REPLICON/SP_HUMAN";70;0.128571428571429;0.564285714285714;0.983229813664596;0.245807453416149;FALSE;FALSE;FALSE;FALSE;0.140884056433588;0.141029437880779
"SP_REPLICON/SP_SLY";70;0.214285714285714;0.607142857142857;0.953416149068323;0.238354037267081;TRUE;TRUE;TRUE;TRUE;0.03532417497053;0.0364990227150578
"SP_REPLICON/SP_FULVER";70;0.185714285714286;0.592857142857143;0.965010351966874;0.241252587991718;FALSE;FALSE;TRUE;TRUE;0.0591439688700084;0.0601164002684061
"SP_LAENFA/SP_REPLICON";70;0.185714285714286;0.592857142857143;0.965010351966874;0.241252587991718;FALSE;FALSE;TRUE;TRUE;0.0591439688700084;0.0601164002684061
"SP_LAENFA/SP_CHATO";70;0.157142857142857;0.578571428571429;0.974948240165631;0.243737060041408;FALSE;FALSE;TRUE;TRUE;0.0936975198282438;0.0942967210908815
"SP_LAENFA/SP_HUMAN";70;0.2;0.6;0.973913043478261;0.243478260869565;TRUE;TRUE;TRUE;TRUE;0.0472366194422202;0.0471321534206052
"SP_LAENFA/SP_EAXAW";70;-0.0857142857142857;0.457142857142857;1.00703933747412;0.25175983436853;FALSE;FALSE;FALSE;FALSE;0.238625405957459;0.236644732690045
"SP_LAENFA/SP_SLY";70;0.228571428571429;0.614285714285714;0.961490683229814;0.240372670807453;TRUE;TRUE;TRUE;TRUE;0.0276027338091396;0.02791464731962
"SP_LAENFA/SP_EGASSEM";70;0.342857142857143;0.671428571428571;0.895238095238094;0.223809523809523;TRUE;TRUE;TRUE;TRUE;0.00171146014313295;0.00206179880065493
"SP_LAENFA/SP_GEORGE";70;-0.114285714285714;0.442857142857143;0.972256728778468;0.243064182194617;FALSE;FALSE;FALSE;FALSE;0.167784255532386;0.169489921989561
"SP_LAENFA/SP_ETTY";70;0.114285714285714;0.557142857142857;1.00124223602485;0.250310559006211;FALSE;FALSE;FALSE;FALSE;0.171307847898529;0.169489921989561
"SP_LAENFA/SP_FULVER";70;0.557142857142857;0.778571428571429;0.685093167701864;0.171273291925466;TRUE;TRUE;TRUE;TRUE;1.78543624773653e-07;1.57039256865055e-06
"SP_LAENFA/SP_GYSACHE";70;0.0571428571428571;0.528571428571429;0.982194616977226;0.245548654244307;FALSE;FALSE;FALSE;FALSE;0.315522412367978;0.316292560848021
"SP_LAENFA/SP_SCYLIOR";70;0.0857142857142857;0.542857142857143;0.978053830227744;0.244513457556936;FALSE;FALSE;FALSE;FALSE;0.235409645658381;0.236644732690045
"SP_LAENFA/SP_TRITH";70;-0.2;0.4;0.944927536231884;0.236231884057971;TRUE;TRUE;TRUE;TRUE;0.0448303540074388;0.0471321534206052
"SP_CHATO/SP_SLY";70;0.442857142857143;0.721428571428571;0.801035196687371;0.200258799171843;TRUE;TRUE;TRUE;TRUE;4.83720460114911e-05;0.000105608379017852
"SP_CHATO/SP_FULVER";70;0.442857142857143;0.721428571428571;0.801035196687372;0.200258799171843;TRUE;TRUE;TRUE;TRUE;4.83720460114911e-05;0.000105608379017852
"SP_HUMAN/SP_CHATO";70;-0.285714285714286;0.357142857142857;0.93167701863354;0.232919254658385;TRUE;TRUE;TRUE;TRUE;0.00786071045220826;0.00841370474137848
"SP_HUMAN/SP_SLY";70;0.3;0.65;0.908695652173913;0.227173913043478;TRUE;TRUE;TRUE;TRUE;0.00521747707733344;0.00603689862156143
